; MAPPOS0401.YBC  len=0x1e76  [ADV YBC]
; nblocks=4 offs=['0x14', '0x3b0', '0x420', '0x3b0']
; rec1[0] = ""
; rec1[1] = "8"
;   txt#0 off=0x224 prm=0x3a0 "愛爾梅納斯呀……我衷心的祈求您能夠包容這些幼小的孩子們。"
;   txt#1 off=0x25e prm=0xa0 "黃金獵場"
;   txt#2 off=0x268 prm=0x40 "　"
;   txt#3 off=0x26c prm=0x300 "有人說這擁有著古老地層的荀洏是學舍的發祥地。�@"
;   txt#4 off=0x29c prm=0x4e0 "經過了長久的歲月，風化出一些充滿異樣氣氛的奇形怪岩，產生了一種自然的造型美。"
;   txt#5 off=0x2ea prm=0xc0 "坎普聶羅莊"
;   txt#6 off=0x2f6 prm=0x40 "　"
;   txt#7 off=0x2fa prm=0x300 "深受妖精們喜愛，被深邃的森林所圍繞的谷地村落。"
;   txt#8 off=0x32a prm=0x620 "近年來，這裡出現了不少像是「鎖匙之長」帕配修•斐，或是「滑步」雷吉奧斯•班德列塔之類的優秀精靈。"
;   txt#9 off=0x38c prm=0x3e0 "因為追求著榮耀，不知不覺間，學舍裡的人們被外人以賢者相稱……"
;   txt#10 off=0x3ca prm=0x540 "然而，這個地方卻一直保持著學舍草創時期的樸素氣質，現在也還靜靜地被大自然所擁抱著。"
;   txt#11 off=0x41e prm=0x100 "歌詠星辰的天蓋"
;   txt#12 off=0x42e prm=0x40 "　"
;   txt#13 off=0x432 prm=0x460 "三百年前，為那長久的黑薔薇戰爭畫下句點，是愛爾梅納斯首屈一指的天壇。"
;   txt#14 off=0x478 prm=0x460 "重複交疊的眾多魔法陣，和星辰的運行有密切的關聯，可以說是魔法的觸媒。"
;   txt#15 off=0x4be prm=0x440 "雖然它的威嚴被蔓生的青苔遮掩，但眾人仍然認為它正在守護著整個學舍。"
;   txt#16 off=0x502 prm=0x100 "眺望萬物的尖塔"
;   txt#17 off=0x512 prm=0x40 "　"
;   txt#18 off=0x516 prm=0x280 "守護著愛爾梅納斯西方的巨塔「伊力雅」。"
;   txt#19 off=0x53e prm=0x400 "它用言靈說明了世間一切的事物，可以說是一個永不歇息的研究機關。"
;   txt#20 off=0x57e prm=0x3a0 "在四大學級之一的帕蘭達因入主這裡之後，不到三年的時間內，"
;   txt#21 off=0x5b8 prm=0x3a0 "就以守護學舍的四大居城姿態，散發出無法動搖的力量與美感。"
;   txt#22 off=0x5f2 prm=0xa0 "中央校舍"
;   txt#23 off=0x5fc prm=0x40 "　"
;   txt#24 off=0x600 prm=0x4e0 "身為東方賢者學院愛爾梅納斯的中樞，這是一個可以讓全體師生共聚一堂的巨大建築。"
;   txt#25 off=0x64e prm=0x600 "建立在古代遺跡群上的中央校舍─羅亞爾•聖提，在「匍伏蔓延而來之物」的攻擊下，僅僅三天就陷落了。"
;   txt#26 off=0x6ae prm=0x5e0 "現在這裡正被混沌所包圍，化作了瓦礫的學舍精神象徵，不由得讓人感覺這代表著學舍的悲慘與屈辱……"
;   txt#27 off=0x70c prm=0xa0 "迷失之森"
;   txt#28 off=0x716 prm=0x40 "　"
;   txt#29 off=0x71a prm=0x260 "守護著愛爾梅納斯的天然屏障之一部分，"
;   txt#30 off=0x740 prm=0x540 "在高低起伏劇烈的地形上，生長著無數的巨樹，因而自古以來就被人睛穡是天然的婁響城砦。"
;   txt#31 off=0x794 prm=0x560 "土壤裡含有豐富的水分，受到那沃土所滋養的樹木，不曾被火焰侵蝕而度過了長久的安寧歲月。"
;   txt#32 off=0x7ea prm=0x100 "阿曼吉歐古戰場"
;   txt#33 off=0x7fa prm=0x40 "　"
;   txt#34 off=0x7fe prm=0x280 "曾經是被列為愛爾梅納斯三景之一的名勝。"
;   txt#35 off=0x826 prm=0x520 "黑薔薇戰爭末期，當那戰火甚至延燒到愛爾梅納斯的時候，這裡也不可避免地成為了戰場。"
;   txt#36 off=0x878 prm=0x500 "因為這裡只剩下一片寸草不生的荒野，因此，我們現在已經無法想像過去那一副美景了。"
;   txt#37 off=0x8c8 prm=0x60 "內海"
;   txt#38 off=0x8ce prm=0x40 "　"
;   txt#39 off=0x8d2 prm=0x360 "位在愛爾梅納斯的中心，瀰漫著一片鮮明蔚藍的豐饒海洋。"
;   txt#40 off=0x908 prm=0x4c0 "通往中央校舍的海路只有一條，那是通過不動的橋墩，然後與西方外海連接的航路。"
;   txt#41 off=0x954 prm=0x4e0 "據說，對那些懂得如何駕船的賢者來說，他們比較偏好利用海洋往來各地而不是陸地。"
;   txt#42 off=0x9a2 prm=0x60 "巴楊"
;   txt#43 off=0x9a8 prm=0x40 "　"
;   txt#44 off=0x9ac prm=0x260 "位在相當於從水路通往學舍的玄關位置。"
;   txt#45 off=0x9d2 prm=0x440 "棲息著眾多鳥類的燈塔有十二座，屹立在險峻的斷崖上守護著來往的船隻。"
;   txt#46 off=0xa16 prm=0x2a0 "要成為羽翼之長的人，就是在這裡接受稱號。"
;   txt#47 off=0xa40 prm=0x2c0 "那是擁有卓越的航海技術與操船技巧的證明……"
;   txt#48 off=0xa6c prm=0x4e0 "同時，那也代表著擁有能安全迎接朋友歸來，以及將他們送往遠方的偉大力量的稱號。"
;   txt#49 off=0xaba prm=0xe0 "拉傑尼斯海峽"
;   txt#50 off=0xac8 prm=0x40 "　"
;   txt#51 off=0xacc prm=0x1c0 "在不動橋墩內側的海路關卡。"
;   txt#52 off=0xae8 prm=0x600 "早春時分，當融雪流入內海的時候，這裡會出現足以把大帆船一舉吞沒的大型瀑布，那是相當壯麗的景觀。"
;   txt#53 off=0xb48 prm=0x4a0 "就算在不是瀑布的季節，這附近的海流也常常因為水與溫度差的變化而暗潮洶湧，"
;   txt#54 off=0xb92 prm=0x2a0 "就算是老練的駕船者也常在這裡傷透了腦筋。"
;   txt#55 off=0xbbc prm=0x500 "所以不動的橋墩是愛爾梅納斯裡船隻們最後的轉航點，這也可以說是一種不成文規定吧。"
;   txt#56 off=0xc0c prm=0xc0 "不動的橋墩"
;   txt#57 off=0xc18 prm=0x40 "　"
;   txt#58 off=0xc1c prm=0x600 "身處通往愛爾梅納斯中央海路的要衝，擁有悠久歷史的「賈拉哈諾夫」大橋，橫跨著這道極為狹窄的海峽。"
;   txt#59 off=0xc7c prm=0x560 "由黃昏的矮人們建造的堅固大橋，在四百年來的不斷增修之中，使海峽本身變成了龐大的城砦。"
;   txt#60 off=0xcd2 prm=0x480 "直到現在，在風平浪靜的時候，也會舉行季節性的慶典，長達十日的石雕宴會。"
;   txt#61 off=0xd1a prm=0x440 "四大學級之一的葛斯貝布洛與聚集在其中的重戰士們，駐守在不動的橋墩，"
;   txt#62 off=0xd5e prm=0x500 "也許，就是在這日復一日地與歷史遺產生活當中，培養出了貫徹道義與最初志向的信條。"
;   txt#63 off=0xdae prm=0xc0 "沉思的聖堂"
;   txt#64 off=0xdba prm=0x40 "　"
;   txt#65 off=0xdbe prm=0x420 "站在愛爾梅納斯光榮的四大學級頂點，聖瑟維艾斯所居住的北方守護堂。"
;   txt#66 off=0xe00 prm=0x6c0 "由於它豐富的資源與秘藏的古老遺產，學舍裡過去也曾為此發生不少弱肉強食的爭奪，秘密的佔領作戰不斷地重複發生。"
;   txt#67 off=0xe6c prm=0x4a0 "那充滿光輝的沉思聖堂的歷史，其實也就是持續著冷血的侵略與封殺的黑闇歷史。"
;   txt#68 off=0xeb6 prm=0xe0 "巴雷歐斯荒原"
;   txt#69 off=0xec4 prm=0x40 "　"
;   txt#70 off=0xec8 prm=0x300 "率領著暴風與雷電的雙頭龍─迪布羅瑪長眠的所在。"
;   txt#71 off=0xef8 prm=0x3c0 "悼念著祂的死亡的風之精靈，化作了狂風，如今也在此地呼嘯著。"
;   txt#72 off=0xf34 prm=0x80 "風之丘"
;   txt#73 off=0xf3c prm=0x40 "　"
;   txt#74 off=0xf40 prm=0x3a0 "內海的冷氣與大陸的暖氣交會而產生的強風，一定會經過這裡。"
;   txt#75 off=0xf7a prm=0x420 "利用這裡的風來與遠方的人們傳遞言靈，是孩子們之間廣為流行的遊戲。"
;   txt#76 off=0xfbc prm=0x80 "海神祠"
;   txt#77 off=0xfc4 prm=0x40 "　"
;   txt#78 off=0xfc8 prm=0x3c0 "祈禱內海安寧的信仰中心。內海與許多湖泊透過地下水道而連接。"
;   txt#79 off=0x1004 prm=0x620 "據說這種信仰的開端，是過去相信著海神的怒氣將會引發恐怖聲響的人們，為了安撫海神的情緒而奉上祭品。"
;   txt#80 off=0x1066 prm=0x3a0 "然而，現在人們反而相信能聽到那種奇特的聲音是一種吉兆了。"
;   txt#81 off=0x10a0 prm=0xc0 "白皙的城砦"
;   txt#82 off=0x10ac prm=0x40 "　"
;   txt#83 off=0x10b0 prm=0x660 "四大學級的居城之一。在羅亞爾•聖提損失了大部分戰力的純潔之盾，暫時放棄了這裡，而撤退到了艾爾貝洛瓦。"
;   txt#84 off=0x1116 prm=0x460 "在湖中映照著那美麗的白色倒影，不知從何時開始，這裡被人稱為安蒂米昂。"
;   txt#85 off=0x115c prm=0x400 "在它的南北兩方有著相當長的大橋，顯示它是愛爾梅納斯東方的要衝。"
;   txt#86 off=0x119c prm=0x80 "天秤洞"
;   txt#87 off=0x11a4 prm=0x40 "　"
;   txt#88 off=0x11a8 prm=0x3c0 "是行商或是交易維生的人們心目中的聖地，也是他們敬畏的地方。"
;   txt#89 off=0x11e4 prm=0xa0 "大圖書館"
;   txt#90 off=0x11ee prm=0x40 "　"
;   txt#91 off=0x11f2 prm=0x400 "在久遠的過去，被愛爾梅納斯的前身「帝都」修佩爾•寧菲司所建造。"
;   txt#92 off=0x1232 prm=0x600 "不但有著數量相當龐大的藏書，也有人說在那圖書館的黑暗深處，還有不少祕藏的書籍等待著人們去發現。"
;   txt#93 off=0x1292 prm=0xa0 "聖者墳墓"
;   txt#94 off=0x129c prm=0x40 "　"
;   txt#95 off=0x12a0 prm=0x440 "是歷代被冠上某種事物「之長」名銜的賢者們，被睛鞭聖者而長眠的地方。"
;   txt#96 off=0x12e4 prm=0x600 "在墓前獻花的人群絡繹不絕，因為像這樣地去接近他們，可以讓自己感受到這些賢者們生前的品德與力量。"
;   txt#97 off=0x1344 prm=0x680 "另外還有一種說法，在這些聖者們出生後到死亡前的這段時間裡，所擁有的東西，會有一小部份分給來參拜的人們。"
;   txt#98 off=0x13ac prm=0x140 "答雷歐斯的地下都市"
;   txt#99 off=0x13c0 prm=0x40 "　"
;   txt#100 off=0x13c4 prm=0x2e0 "深埋了許多令人不禁眼睛為之一亮的雕刻藝術品。"
;   txt#101 off=0x13f2 prm=0x4e0 "在地底深處盤根錯節，雖然從地面上看不出來，但是在地下，確實佔有相當大的空間。"
;   txt#102 off=0x1440 prm=0x620 "雖然也曾經被利用為迷宮探險的教學場地，不過，現在它的任務已經圓滿達成，之後就一直過著安靜的日子。"
;   txt#103 off=0x14a2 prm=0x100 "肯涅歐涅的樹海"
;   txt#104 off=0x14b2 prm=0x40 "　"
;   txt#105 off=0x14b6 prm=0x220 "在大白天裡也十分陰暗的茂密森林。"
;   txt#106 off=0x14d8 prm=0x340 "在這個地方，應該會讓人深深地感覺到自己有多渺小吧。"
;   txt#107 off=0x150c prm=0x4c0 "然而，在樹海中潛伏的許多危險，對冒險者們來說，說不定是一種不可或缺的刺激。"
;   txt#108 off=0x1558 prm=0xc0 "艾爾貝洛瓦"
;   txt#109 off=0x1564 prm=0x40 "　"
;   txt#110 off=0x1568 prm=0x460 "純潔之盾伊諾森提雅的發祥地，開祖德涅西亞•露弗鐸可勞出生長大的故鄉。"
;   txt#111 off=0x15ae prm=0x6e0 "當他們以四大學級的身分入主了「白皙的城砦」安蒂米昂之後，這裡就變成了一個讓他們輕鬆一下，或是用來靜養的別莊。"
;   txt#112 off=0x161c prm=0x4c0 "由於從內部匍伏蔓延而出的混沌攻陷了羅亞爾•聖提，四大居城同時也受到了威脅。"
;   txt#113 off=0x1668 prm=0x640 "在後來被稱為「羅亞爾•聖提撤退戰」的戰役中，失散了許多成員的純潔之盾，決定從那規模龐大的城砦撤退。"
;   txt#114 off=0x16cc prm=0x3e0 "而選擇來到這遠離愛爾梅納斯中樞的艾爾貝洛瓦避難，並蓄積實力。"
;   txt#115 off=0x170a prm=0xe0 "赫爾梅思草原"
;   txt#116 off=0x1718 prm=0x40 "　"
;   txt#117 off=0x171c prm=0x280 "在一望無際的草原中，隱藏著許多小動物。"
;   txt#118 off=0x1744 prm=0x340 "人類非常地清楚在各式各樣的家族之間有著深遠的牽絆。"
;   txt#119 off=0x1778 prm=0x300 "而且，也清楚地見證了這世上發生的各種悲慘情事。"
;   txt#120 off=0x17a8 prm=0x3a0 "因此，在偶爾能感受到溫馨的這裡，不是特別讓人心情舒暢嗎？"
;   txt#121 off=0x17e2 prm=0xc0 "瑟拉的水鄉"
;   txt#122 off=0x17ee prm=0x40 "　"
