0x00031E  我總是把她當成孩子般看待的帕彌菈，
0x000342  如今已是能照顧後輩的優秀魔法師了。
0x000366  孩提時就總是埋在書堆裡的伊里安，
0x000388  現在也在圖書館裡工作了。
0x0003A2  在那暴風雨的夜晚，
0x0003B6  瑟希莉絲聽我述說著你的故事，
0x0003D4  當時的她，
0x0003E0  對我們一同冒險的故事嚮往不已。
0x000400  今年這裡也有新的成員加入
0x00041A  彷彿那掌管世間因果的黎明大地─凱洛特•溫
0x000444  菲，以及那如同被黑闇深埋的北方雪花─夏朧
0x00046E  •佛洛斯蘋。
0x00047C  克服了千辛萬苦，
0x00048E  孑然一身地投靠了這賢者的學舍，
0x0004AE  他們靠著自己的力量來到這裡。
0x0004CC  ……我真的覺得很幸福，
0x0004E4  這裡有讓我傾訴想法、傳達思念的對象，
0x00050A  這是多麼地令人開心呀。
0x000522  因此……
0x00052C  我想保護他們。
0x00053C  保護這些總有一天要為夢想展翅高飛的孩子們
0x000566  ，保護這些有如未雕琢璞玉般的孩子們。
0x00058C  你現在正在做什麼呢？
0x0005A2  你正用那溫暖的雙手，
0x0005B8  展開這一紙書信嗎？
0x0005CC  現在，只有你的回音能讓我重拾希望。
0x0005F0  當年，我們在大雨中離別，
0x00060A  「無論有什麼困難，一定要告訴我……」，
0x000632  是你臨別的一語。
0x000648  你那時候的眼神，就算只有一瞬間，
0x00066A  我也不曾忘記。
0x00067A  儘管是最後一瞥也好……
0x000692  在聖潔的星光下，
0x0006A4  在天使鐘聲迴響的森林裡，
0x0006BE  再一次就好。
0x0006CC  啊啊……
0x0006D6  ……想再見你一面。
0x0006EE  給我親愛的朋友，
0x000700  如果你願意讓我如此稱呼你的話……
