0x0004B8  中央校舍「羅亞爾•聖提」，
0x0004D4  如今已經深陷在混沌的漩渦之中。
0x0004F4  是啊……
0x0004FE  「匍伏蔓延而來之物」竟然在三天之內擊破了
0x000528  這個賢者學舍，
0x000538  並佔領了它的中樞。
0x00054C  …………
0x000556  認為不需要借助孩子們的力量也可以戰勝，
0x00057E  賢者們就這樣向那死亡的深淵挑戰……
0x0005A2  …………
0x0005AC  然而……
0x0005B6  「匍伏蔓延而來之物」卻正是能夠映照對手力
0x0005E0  量的鏡子。
0x0005EC  …………
0x0005F6  如同所有人都熟知的一般。
0x000610  那越是燦爛的光輝下，黑影越發黯淡，
0x000634  他們的力量也就因此而增強。
0x000650  …………
0x00065A  棘手呀。
0x000664  映照出對手的罪業，隨著那罪惡的深重，
0x00068A  它們的力量也相應地強大。
0x0006A4  能夠抵抗「匍伏蔓延而來之物」的，
0x0006C6  就只有還擁有澄澈心靈的孩子們了。
0x0006E8  …………
0x0006F2  在學舍的四方有著守護的據點。
0x000710  北方有沉思的聖堂「凡迪斯裴爾」。
0x000732  南方是不動的橋墩「賈拉哈諾夫」。
0x000754  西方有眺望萬物的尖塔「伊力雅」。
0x000776  …………
0x000780  以及位在東方，白皙的城砦「安蒂米昂」。
0x0007A8  …………
0x0007B2  …………
0x0007BC  …………
0x0007C6  述說著光與闇的知識，潔身自愛的僧侶們組成
0x0007F0  「聖瑟維艾斯」聚集在沉思的聖堂。
0x000812  以道義為準繩、支撐霸道的棟樑，守信重義的
0x00083C  劍士們歸宿─「葛斯貝布洛」，駐守著不動的
0x000866  橋墩。
0x00086E  透徹地鑽研知識、驅策魔法，
0x00088A  睿智的殿堂「帕蘭達因」則棲身於眺望萬物的
0x0008B4  尖塔。
0x0008BC  而無垢的純潔之盾「伊諾森提雅」，
0x0008DE  則居住在被深綠圍繞的白皙之城砦。
0x000900  …………
0x00090A  正是如此。
0x000916  但四大學級如今面臨滅亡，
0x000930  有些人被剝奪了夢想的翅膀，
0x00094C  有些人被咒詛的鎖鏈束縛……
0x000968  總有一天，他們會再度迎風而立。
0x000988  ……而我們所能做的，
0x00099E  便只有等待那時機的到來。
0x0009B8  而那時機便是現在。
0x0009CC  而那時機便是現在。
0x0009E0  而那時機便是現在。
