0x00066C  你曾說過，一旦有什麼事發生，
0x00068A  你就會回來。
0x000698  難道……
0x0006A2  你現在捨不得「睿智殿堂」的虛名嗎？
0x0006C6  …………
0x0006D0  三年前，
0x0006DA  你說再這樣蹉跎下去是不行的。
0x0006F8  但是你也說，
0x000706  離開，並不表示討厭伊諾森提雅了。
0x000728  你說只是想朝著更遠大的目標前進，
0x00074A  但你現在不也掌握了那更高的目標嗎？
0x00076E  就算捨棄一切，也要在荊棘的道路上奮鬥。
0x000796  雖然你曾經這麼說過……
0x0007AE  然而現在不回純潔之盾，又要等到什麼時候？
0x0007D8  妳那預知的雙眼被矇蔽了嗎？
0x0007F4  呃……！？
0x000800  正因為是現在，我才不能回來。
0x00081E  因為我仍然在修行途中……
0x000838  我沒辦法半途而廢。
0x00084C  ……奧吉爾。
0x00085A  倒是羅沙麗亞妳，
0x00086C  像現在這樣繼續生活下去，可以嗎？
0x00088E  垂下雙眼，做著與天賦相違背的事情……
0x0008B4  繼續待在那無法容忍預知能力的純潔之盾裡，
0x0008DE  需要這麼地折磨自己嗎？
0x0008FC  ……尋求未知的答案，
0x000912  才是孩子們所需要的食糧。
0x00092C  只稍稍給予他們警示，
0x000942  並在一旁露出傲慢的微笑，這樣能滿足妳嗎？
0x00096C  …………
0x000976  難道你要我對這個只剩下三個人的純潔之盾，
0x0009A0  棄之不顧嗎？
0x0009AE  如果只是因為沒有了妳，
0x0009C6  就沒有辦法繼續維持下去的話……
0x0009E6  那這個純潔之盾，
0x0009F8  也就真的走到了命運的盡頭。
0x000A14  這妳應該是可以瞭解的。
0x000A2C  ……你還真是變得坦率了許多呢。
0x000A4C  如果只是為了把想法藏在心中。
0x000A6A  我又何必來愛爾梅納斯呢？
0x000A84  然而，在這與同伴共同努力的道路上。
0x000AA8  我希望能夠和妳在一起。
0x000AC0  一起加入帕蘭達因吧。
0x000AD6  妳的魔法以及妳預知的天賦，
0x000AF2  都只能在那眺望萬物的尖塔裡盡情發揮。
0x000B18  你是說……想要和我在一起，
0x000B34  想和這為人忌恨的預知之眼在一起嗎？
0x000B58  沒錯，我是這樣說的。
0x000B6E  然而……如果妳只想過著平靜安祥生活的話，
0x000B98  那也沒有關係。
0x000BA8  就讓我一個人去吧，
0x000BBC  妳可以留在這裡。
0x000BD6  …………
0x000BE0  從什麼時候開始的呢？
0x000BF6  你也走出了自己的道路。好吧。
0x000C14  在我所能預知的範圍外，
0x000C2C  你這份誓言能夠實現到什麼程度呢？
0x000C4E  就讓我用這雙眼睛見證到最後吧。
