0x0013B4  妳果然也安然無事呢，帕彌菈。
0x0013D2  羅沙麗亞……！！
0x0013E4  妳也安然無恙，真是令人開心。
0x001402  我就知道妳一定會來救我的。
0x00141E  難道妳待在這裡就是因為……
0x00143A  …………
0x001444  如果能生還的話……
0x001458  如果能生還的話，將再度立下誓約。
0x00147A  我們曾經這樣約定過的。
0x001492  …………
0x00149C  然而，一切都改變了。
0x0014B2  被黑闇覆蓋、遭混沌顛覆，
0x0014CC  連所要走的道路也被劇烈地扭曲。
0x0014EC  恐怕這裡也將不是可以棲身的地方了。
0x001510  羅沙麗亞……
0x00151E  有個消息要告訴妳。
0x001532  …………
0x00153C  奧吉爾不會回來了。
0x001556  他很堅定地說，
0x001566  從三年前離開了純潔之盾以後，
0x001584  心中連如塵埃般的懷念也沒有。
0x0015A2  …………
0x0015AC  對他還有所依戀嗎？
0x0015C0  真令人意外啊。
0x0015D0  妳在說什麼呀……
0x0015EA  身為德涅西亞長老的愛徒，
0x001604  妳如此地忠誠，
0x001614  再加上妳現在的能力，
0x00162A  就算是黃昏之月奧爾菲也為之欣羨。
0x00164C  …………
0x001656  就讓現在的伊諾森提雅，
0x00166E  眺望那前所未見的嶄新方向……
0x00168C  然後引導他到那遙遠的高空中吧。
0x0016AC  然而，若是妳我所選擇的道路，
0x0016CA  在日後有所交集的話……
0x0016E2  那時候的我們將會是敵人還是朋友，
0x001704  就不是現在的我可以確定的了。
0x001722  預知的賢者、
0x001730  能夠預見未來的妳……
0x001746  真心地要離開我們了，
0x00175C  這真令人無法預料啊，羅沙麗亞。
0x00177C  那現在就好好聽我說吧，帕彌菈。
0x00179C  雖然我有預知能力，
0x0017B0  但是這伊諾森提雅，
0x0017C4  最後仍然失去了四大學級的居城。
0x0017E4  雖然妳我曾經一同努力……
0x0017FE  …………
0x001808  比起德涅西亞長老所建立的黃金時代，
0x00182C  我曾經覺得……
0x00183C  雖然我們未能超越，卻也沒有讓他蒙羞。
0x001862  然而那只是我思慮淺薄的誤解罷了。
0x001884  …………
0x00188E  我好希望去引導那些孩子們哪。
0x0018AC  那些懷著充塞胸臆的熱情，
0x0018C6  舞動著熱情雙翅的鳳雛們呀。
0x0018E2  「希望妳能與我們一同努力……」
0x001902  難道這樣的願望也不能實現嗎，羅沙麗亞？
0x00192A  我不能再待在純潔之盾裡了。
0x001946  現在，我非得離開這裡了。
0x001960  看來妳終於找到了……
0x001976  是啊。
0x00197E  那必須去完成的使命。
0x001994  …………
0x00199E  帕彌菈啊，有些事情一旦瞭解了，
0x0019BE  就沒有辦法再忘記。
0x0019D2  而那就是妳現在所背負的苦難呀。
0x0019F2  我不會忘記，
0x001A00  那彷彿要將妳的心也燒盡的那份思念。
0x001A24  …………
0x001A2E  也就因為如此……
0x001A40  我不得不離開。
0x001A50  嗯嗯，是啊……
0x001A60  …………
