0x000BA4  一定要成為偉大的先知呀。
0x000BBE  從一開始，我就沒有可以回來的理由。
0x000BE2  只是為了告別。
0x000BF2  是為了要離開，才會再度回到這個地方。
0x000C18  …………
0x000C22  ……在這裡，沒有辦法磨練我的能力。
0x000C46  我現在並沒有那個餘裕，
0x000C5E  去引導生澀的孩子們。
0x000C74  三年前，
0x000C7E  奧吉爾也曾經拋棄了大家離開這裡。
0x000CA0  他當時的心情，
0x000CB0  如今，我想我稍微可以理解了。
0x000CCE  …………
0x000CD8  那時候，我也曾經哭泣。
0x000CF0  就算如此，
0x000CFC  也不能改變他非得離開不可的事實。
0x000D1E  現在……我也發覺，
0x000D32  就這樣一直保持現狀是不行的。
0x000D50  …………
0x000D5A  您不會阻止我吧？
0x000D6C  有著預知能力的妳呀，
0x000D82  並不是預見了將來的危機而慌忙逃竄，
0x000DA6  妳並不是因為這樣的原因而離開。
0x000DC6  …………
0x000DD0  而且妳也不是因為現在的苦難而萌生去意吧。
0x000DFA  既然必須離開的理由就如妳所說的，
0x000E1C  那便無須掛懷。
0x000E2C  我只遺憾沒能與妳好好暢談一番。
0x000E4C  …………
0x000E56  別輕言放棄呀，羅沙麗亞，
0x000E70  別放棄自己的道路。
0x000E84  您也一樣啊。
0x000E92  嗯嗯……
0x000E9C  ……只要你們還待在艾爾貝洛瓦，
0x000EBC  匍伏蔓延而來之物就不會對你們有所企圖吧。
0x000EE6  這裡，看起來並不是它們所想佔領的地方。
0x000F0E  …………
0x000F20  我已經沒辦法再為這裡做出什麼貢獻了。
0x000F46  但是我會一邊祈禱，
0x000F5A  一邊好好地見證著……
0x000F70  曾經撫育我長大的，純潔之盾的未來。
0x000F94  聽到妳這麼說，我也放心了不少。
0x000FB4  現在，只要有帕彌菈在就很足夠了。
0x000FD6  如果我也留在這裡的話，
0x000FEE  只會妨礙那些孩子們自由地成長罷了。
0x001012  羅沙麗亞……
0x001020  就像現在一樣，十一年前的某一天……
0x001044  你所深愛的先知，
0x001056  西絲汀娜•艾斯帕榭也像這樣地離開。
0x00107A  這就是因為身為先知的因緣哪。
0x001098  然而西絲汀娜最後還是回來了。
0x0010B6  難道妳要留下帕彌菈一個人，
0x0010D2  永遠也不再回來了嗎？
0x0010E8  這個嘛……
0x0010F4  …………
0x0010FE  儘管混沌匍伏蔓延而出、羅亞爾•聖提失陷，
0x001128  雖然如此，純潔之盾仍然存活下來了。
0x00114C  也許是因為賢者們的努力，
0x001166  幾乎所有的孩子都存活下來了。
0x001184  …………
0x00118E  然而在逃離中央校舍的那個晚上，
0x0011AE  我的眼中曾經瞬間閃過這樣的影像：
0x0011D0  在純潔之盾破滅的時候，垂首不語的少女，
0x0011F8  以及跪倒在她身邊的少年。
0x001212  在那令人恐懼的慘狀中，我受到很大的震撼。
0x00123C  ……！！
0x001246  如果未來將會發生連中央校舍的淪陷都無法比
0x001270  擬的悲劇的話。
0x001280  我並不希望這個預知成真。
0x00129A  然而，就算我待在這裡，
0x0012B2  也完全改變不了任何事情。
0x0012CC  …………
0x0012D6  …………
0x0012E0  ……總之，好好保重吧。
0x0012F8  然後，希望妳有一天能夠回到伊諾森提雅，
0x001320  再度成為那些孩子們的嚮導。
0x00133C  呼呼……
0x001346  「雖然擁有預知的力量，
0x00135E  卻不表示可以預知所有的事物。
0x00137C  然而從過去到現在、此刻、從今以後……
0x0013A2  我都會盡力用這份能力引導純潔之盾。」
0x0013C8  …………
0x0013D2  從你牽起我的手的那一天、那一刻開始，
0x0013F8  這份想法絲毫也不曾改變過。
0x001414  就算我只是某個人的代替品而已，
0x001434  我也感到很滿足。
0x001446  然而，從今以後就不是這樣了。
0x001464  總有一天。
0x001470  我要以一個賢者的身分，
0x001488  讓你注意到我的存在。
0x00149E  那麼，我就好好地期待著吧。
0x0014BA  希望你所要走的道路上，
0x0014D2  不會遭受渾沌的侵擾。
0x0014E8  ……奧吉爾就拜託妳了。
0x001508  …………
0x001512  你啊，有時候說出來的話……
0x00152E  就算是有預知能力的人，也會為之震驚呀。
0x001556  ……他是一個堅強，有著高潔自尊的人，
0x00157C  然而，當我再次注意到他的時候，
0x00159C  他就已經離開了。
0x0015AE  此後，這一生中恐怕已經沒有機會可以再見到
0x0015D8  他了也說不定。
0x0015E8  …………
0x0015F2  所以，如果妳有機會待在他身邊的話……
0x001618  就讓他隨著自己的意志去做，
0x001634  就算他在失敗中屈膝匍伏，
0x00164E  感覺毫無生機的時候。
0x001664  就算在那個時候，
0x001676  也希望妳能鼓勵他再繼續前進。
0x001694  看來你還真的很擔心他呢。
0x0016AE  …………
0x0016B8  我瞭解了……
0x0016C6  奧吉爾恐怕現在也正在什麼地方追尋著你的腳
0x0016F8  希望你也能把這件事情放在心上。
0x001718  嗯嗯……
0x001722  我知道。
0x00172C  ……那麼，再見了。
0x001740  嗯嗯……
0x00174A  別了，預知的天使──
0x001760  羅沙麗亞•奧笛納。
0x001774  總有一天我們會重逢的。
