0x001268  為什麼……
0x001274  為什麼事情會變成這樣呢……
0x001290  微風流動……
0x00129E  溪水潺湲……
0x0012AC  草木宜人……
0x0012BA  雖然表面上好像沒有改變，
0x0012D4  但這一切卻完全都變了呀……
0x0012F0  羅沙麗亞學姊。
0x001300  我從來也不曾想過，
0x001314  有一天妳竟然會離開我們。
0x00132E  可是以我的能力……
0x001342  沒辦法接替妳的位置呀。
0x00135A  如果……
0x001364  如果我以前能更努力一點就好了。
0x001384  如果我知道會發生這一切的話……
0x0013A4  一定會……
0x0013B0  中央校舍被攻陷，
0x0013C2  也放棄了安蒂米昂而逃出來……
0x0013E0  然而卻只有三個人……
0x0013F6  唔，難道這一切就要結束了嗎……
0x001416  真的很抱歉呀，帕彌菈學姊……
0x001434  所以你就只是在這裡哭泣嗎？
0x001458  要是有這種閒工夫哭的話……
0x001474  不如趕快去試著幫忙帕彌菈吧。
0x001492  奧……
0x00149A  奧吉爾學長……！？
0x0014AE  你…怎麼會…突然出現在這裡！？
0x0014CE  ……什麼忙都幫不上，
0x0014E4  難道你不感到遺憾嗎。
0x0014FA  …………
0x001504  ……這樣啊。
0x001512  你好像一直都是這個樣子呢。
0x00152E  可是……！
0x00153A  可是我們就只有三個人，
0x001552  又能做得了什麼事情呢……？
0x00156E  就算是要守住這裡也好……
0x001588  一定也做不到吧。
0x00159A  它們可是很瞭解你們哪……
0x0015B4  為了守護深愛的家園，
0x0015CA  你們是會豁出全力去戰鬥的。
0x0015E6  那從混沌中產生的本能，
0x0015FE  一定也會讓它們有這樣的感覺。
0x00161C  我們的對手不是「匍伏蔓延而來之物」嗎？
0x001644  為什麼你可以這麼肯定地判斷它們的想法呢？
0x00166E  就算是象徵著璀璨光芒的聖瑟維艾斯，
0x001692  也同時有著黑暗的一面。
0x0016AA  那麼，就算是在混沌的源頭裡，
0x0016C8  也一定會有秩序的火光啊。
0x0016E2  它們應該不會去挑起無益的戰鬥呀。
0x001704  可是這種推論……
0x001716  的確。
0x00171E  它們確實是把中央校舍擊垮了。
0x00173C  但我們還是都存活下來了。
0x001756  中央校舍支撐不到三天，就被佔領了。
0x00177A  接著安蒂米昂也是這樣地被攻破。
0x00179A  …………
0x0017A4  那麼，小小的艾爾貝洛瓦卻可以支撐到現在，
0x0017CE  到底是為什麼？
0x0017DE  為什麼它們沒有想到，
0x0017F4  要把愛爾梅納斯的人給趕盡殺絕？
0x001814  那是因為……
0x001822  所以說囉。
0x00182E  那是因為在你們的心中，
0x001846  有著無法言喻的悲痛與深沉的願望呀。
0x00186A  奧吉爾學長……
0x00187A  你……？
0x001884  就是這份對純潔之盾的承諾，
0x0018A0  這份深藏在心中的思念發揮了效用。
0x0018C2  如果……
0x0018CC  如果你願意回來的話……
0x0018E4  這樣的話……
0x0018F2  …………
0x0018FC  求求你……
0x001908  難道你不願意回到純潔之盾嗎？
0x001926  帕蘭達因肩負著拯救學舍的使命。
0x001946  現在我不能回來。
0x001960  在眺望萬物的尖塔，所能得到的東西非常多。
0x00198A  然而，會在那裡失去的東西也不少。
0x0019AC  而純潔之盾擁有著，
0x0019C0  卻不能在眺望萬物的尖塔裡找到的，
0x0019E2  那就是……能夠拯救愛爾梅納斯的力量吧。
0x001A0A  奧吉爾學長……
0x001A1A  ……別輕言放棄呀，伊里安。
0x001A36  如果會感到不安的話……
0x001A4E  既然你也覺得自己的力量不夠的話，
0x001A70  那就更應該……
0x001A80  更應該要努力向前呀。
0x001A96  …………
0x001AA0  回去吧。
0x001AAA  帕彌菈現在應該正在擔心你吧。
0x001AC8  啊……
0x001AD0  快點回去吧……！
0x001AE2  那個，能夠再跟你說話，真的很開心……
0x001B08  再見……奧吉爾學長。
0x001B1E  …………
0x001B28  哈哈，原來如此啊，
0x001B3C  原來你說要順道去一趟的地方，
0x001B68  不過話說回來……
0x001B7A  其實你對純潔之盾還是一直都很關心的嘛。
0x001BA2  …………
0x001BAC  為什麼呢？
0x001BB8  既然已經說服了告死的天使，
0x001BD4  為什麼不順便把白銀的薔薇一起招攬過來呢？
0x001BFE  真是搞不懂你耶。
0x001C10  她不是會加入帕蘭達因的人。
0x001C2C  至少，目前還不會是。
0x001C42  …………
0x001C4C  要不是因為愛爾梅納斯陷入了這樣的困境……
0x001C76  她早就已經踏上了以賢者為目標而修行的旅途
0x001CA6  是的，的確就像你說的這樣。
0x001CC2  也就是說，
0x001CCE  從這一點就能夠判斷她是很有能力的人呀。
0x001CF6  有能力的人，不論有多少都不會嫌多呀。
