0x000792  老實說吧。
0x00079E  它們的根據地到底在哪裡？
0x0007B8  妳一定很清楚吧。
0x0007CA  奈比洛斯•盧希弗吉。
0x0007E0  既然妳在學舍中掌握著光與闇的知識，
0x000804  妳不可能不知道的呀。
0x00081A  …………
0x000824  雖然這真是令人十分煩躁，
0x00083E  不過聖瑟維艾斯還真不愧是四大學級之一。
0x000866  對於不願意答覆的問題，就是堅持沉默以對。
0x000890  …………
0x00089A  想不到妳竟然維護「匍伏蔓延而來之物」到這
0x0008C4  種地步……
0x0008D0  看來，妳覺得它們比愛爾梅納斯的所有生命都
0x0008FA  還要來的重要呢。
0x00090C  …………
0x000916  那也沒關係呀，既然妳都有了這樣的覺悟，
0x00093E  那也是妳自己要選擇的道路。
0x00095A  …………
0x000964  既然如此，看來沉思的禮拜堂的所在位置，
0x00098C  也是不能洩漏的秘密對吧。
0x0009A6  …………
0x0009B0  原來如此，那就沒辦法了。
0x0009CA  我也只能去「問問」那些孩子們了。
0x0009EC  …………
0x0009F6  妳是不是正在想著：
0x000A0A  「沉思的聖堂是不可能被打敗的。
0x000A2A  屹立在四大學級頂點的聖瑟維艾斯，
0x000A4C  怎麼可能會被新加入的帕蘭達因打敗呢？」
0x000A74  對吧？
0x000A7C  「主掌驅除魔物，法理的守護者們，
0x000A9E  怎麼可能會敗在魔法師的手下？」
0x000ABE  對吧？
0x000AC6  …………
0x000AD0  看來，妳對羅亞爾•聖提撤退戰的情況，
0x000AF6  並不是很清楚嘛。
0x000B08  …………
0x000B12  妳所深愛的孩子們，
0x000B26  就算是孤軍奮戰也好，也能救出許多同伴。
0x000B4E  他們一直努力作戰到最後。
0x000B68  在戰場上的確是非常活躍，非常出色。
0x000B8C  不論是伊諾森提雅，還是葛斯貝布洛、
0x000BB0  或是我們帕蘭達因也好，
0x000BC8  都受到了你們莫大的恩惠。
0x000BE2  然而，現在卻失去了導師，
0x000BFC  只不過剩下一些屈指可數的成員還殘存著。
0x000C24  …………
0x000C2E  不過，這妳可不用擔心呀。
0x000C48  只要妳繼續像這樣地保持沉默，
0x000C66  那些孩子們就會繼續相信妳，
0x000C82  一心一意地相信妳，去挑戰各種難關。
0x000CA6  …………
0x000CB0  真是遺憾哪。
0x000CBE  「她為了那隱藏在自己身上的使命，
0x000CE0  而一直堅持沉默。」
0x000CF4  我可是不會對那些妳所指導的孩子們說這的。
0x000D1E  在漆黑的闇影中，孩子們流著眼淚嘆息，
0x000D44  那想必一定是很哀傷的聲音吧。
0x000D62  不，也許，連那些悲嘆的聲音，
0x000D80  也將消失在這沉默之中呀。
0x000D9A  …………
0x000DA4  妳可要牢牢地記住呀，
0x000DBA  沉思的聖堂之所以會墮入黑暗的深淵之中，
0x000DE2  都是妳的沉默所造成的。
0x000DFA  …………
0x000E04  愚蠢。
0x000E0C  妳就一輩子都這樣待在那裡吧。
0x000E2A  她還真是絲毫都不受影響呀。
0x000E46  的確如此。
0x000E52  ……有賢者回到純潔之盾了。
0x000E6E  是個從翡翠之都回來的年輕賢者。
0x000E8E  這樣啊。
0x000E98  ……要把他們列入提防的對象嗎？
0x000EB8  對付那種程度的對手，根本不用操心吧。
0x000EDE  就算是黃昏之月的奧爾菲也好，
0x000EFC  只要我們認真起來，也完全不是對手。
0x000F20  …………
0x000F2A  這樣真的好嗎？
0x000F3A  放任他們自生自滅吧。
0x000F50  現在的純潔之盾呀，
0x000F64  根本就沒有什麼力量可言。
0x000F7E  然而他們那邊還有……
0x000F94  白銀的薔薇和羽翼之長呀。
0x000FAE  …………
0x000FB8  沒錯，而且他們所引導養育的果實，
0x000FDA  才是最甜美的呀。
0x000FEC  …………
0x000FF6  然而……
0x001000  因為花朵美麗而摘取了無害的花朵的話，
0x001026  就得不到甜美的果實了呀。
0x001040  ……您所言甚是。
