0x00175A  我們身為四大學級之一，以後也要力求進步。
0x001784  因此，詳細地瞭解我們自己以及我們的盟友，
0x0017AE  是非常重要的。
0x0017BE  …………
0x0017C8  現在四大學級是什麼情況呢？
0x0017E4  不管你們知道多少也好，
0x0017FC  希望你們能把知道的事情都說出來。
0x00181E  ……首先，從聖瑟維艾斯開始。
0x00183C  伊里安。
0x001846  那是驅除黑闇的光明。
0x00185C  那是孕育光明的黑闇。
0x001872  將互相對立的兩種力量聚集在雙手上，
0x001896  集合了神聖的僧侶們……
0x0018AE  …………
0x0018B8  他們棲身在愛爾梅納斯的北方，
0x0018D6  在「沉思的聖堂」凡迪斯斐爾中，
0x0018F6  進行著嚴格的修行。
0x00190A  聖瑟維艾斯的領導者，
0x001920  是沉默之長─吉爾梅亞•凡瓦圖克的愛徒……
0x00194A  對於黑闇知識擁有高深造詣的，
0x001968  「漆黑」奈比洛斯•盧希弗吉閣下。
0x00198A  而帕蘭達因認為聖瑟維艾斯所司掌的黑闇，
0x0019B2  正是混沌的元兇……
0x0019C6  照理說，在魔法方面的交戰，
0x0019E2  聖瑟維艾斯應該握有絕對的優勢。
0x001A02  然而，聖瑟維艾斯卻令人難以想像地，
0x001A26  跪倒在帕蘭達因的膝下……
0x001A40  帕蘭達因絲毫不顧念羅亞爾•聖提攻防戰中，
0x001A6A  他們曾經犧牲的不少學員……
0x001A86  超越了學級隔閡，無私地支援我們撤退。
0x001AAC  不，不只是我們而已。
0x001AC2  就算是對攻打聖瑟維艾斯的帕蘭達因，
0x001AE6  他們也曾經毫無分別地加以援助呀……
0x001B0A  …………
0x001B14  「支柱」費爾德訥•派隆閣下，
0x001B32  是有著強壯身軀的鋼鐵聖者。
0x001B4E  而那向來率直生活的劍士，
0x001B68  艾爾雪•貝爾薩閣下。
0x001B7E  「絹絲」席菈•艾芬閣下。
0x001B98  「詠月」艾蕾•孟色雷斯閣下。
0x001BB6  還有那閃耀的公主，法娜，修貝流士閣下。
0x001BDE  聖瑟維艾斯將一切希望都托付給了法娜閣下，
0x001C08  然後就被吞沒在那無情的混沌中……
0x001C2A  ……我們純潔之盾，
0x001C3E  不知道曾經多少次與他們一同求學。
0x001C60  總有一天，一定要……
0x001C76  一定要再見他們一面……
0x001C8E  謝謝你，伊里安。
0x001CA0  法娜學姊……
0x001CAE  …………
0x001CB8  ……說得很好。
0x001CC8  坐下吧，伊里安。
0x001CE2  帕彌菈，請妳介紹一下帕蘭達因。
0x001D02  以世上數一數二魔法師為中心的睿智的殿堂。
0x001D2C  能力相當的各方才俊們，就像閃耀的星星般集
0x001D56  結，在聖瑟維艾斯滅亡的現在，
0x001D74  無論是名位或是實力，
0x001D8A  應該都已經是目前地位最高的學級。
0x001DAC  …………
0x001DB6  從西方俯視這整個愛爾梅納斯的，正是這些耀
0x001DE0  眼英才聚集的所在－眺望萬物的尖塔伊力雅。
0x001E0A  擁有無人可以比擬的才能，遵行正道的賢者─
0x001E34  「盲目」修奈鐸•華倫斯提，
0x001E50  擔任他們的統帥已經七年了。
0x001E6C  操縱著以理性為基礎的魔法，
0x001E88  在被列入四大學級的短短三年之間，
0x001EAA  就爬到了四大學級的頂點。
0x001EC4  他們的目標是史上最困難的任務─
0x001EE4  取得愛爾梅納斯的十二王杯。
0x001F00  所謂的十二王杯，
0x001F12  也就是可以壓制一切混沌的學舍至寶。
0x001F36  除了那些本來就與這個學級解不開羈絆的孩子
0x001F60  們之外，
0x001F6A  近年來更增加了不少新血，
0x001F84  或許，他們的悲願也即將要達成了吧。
0x001FA8  「言靈的驍將」奇法•史達布里茲、
0x001FCA  「雷鳴」伊歐娜•哈雷爾、
0x001FE4  「炎迅」娜芙忒卡•可爾貝特。
0x002002  老練的哈茲班•修寧格、
0x00201A  「幼小的水靈」莉莉絲•賽連恩格蘭、
0x00203E  「深綠」的謬菈•雅斯佩恩巴吉。
0x00205E  「天聖」傑斯達•普勞迪司之子─紐•普勞迪
0x002088  司、以及他的心腹「豪劍」瑪貝菈•帖忒拉。
0x0020B2  以及從我們純潔之盾轉藉過去的，
0x0020D2  奧吉爾•維因哈特。
0x0020E6  在羅亞爾•聖提的攻防戰中，
0x002102  不但勇敢地在戰鬥中獻身，
0x00211C  最後更以他們擅長的魔法漂亮地撤退。
0x002140  因被誇讚為能夠抹殺愛爾梅納斯一切混沌的急
0x00216A  先鋒，因此而受到了高度期待。
0x002188  然而，我們不能夠忘記，
0x0021A0  我們應該沒辦法忘記……
0x0021B8  那些連盟友也不能放過的無情意志。
0x0021DA  …………
0x0021E4  瑟希莉絲負責介紹的，是不動的橋墩。
0x002208  …………
0x002212  是的。
0x00221A  …………
0x002224  由堅毅的戰士們所組成的重戰士集團。
0x002248  礎石、霸道的正柱、遵循道義的靈魂結合。
0x002270  那就是葛斯貝布洛。
0x002284  熾天使學級五高徒之一的葛斯貝拉德•拉斯帕
0x0022AE  爾邁森，是這個學級的創立者，
0x0022CC  他聚集了不少近身肉搏戰的猛將，
0x0022EC  就像那在學舍南方的「不動的橋墩」賈拉哈諾
0x002316  夫一樣地堅忍不拔，
0x00232A  他們一向以此教導學生要有高潔的人格。
0x002350  他們的總帥布拉奇•巴圖閣下，
0x00236E  在之前的戰鬥中失蹤了。
0x002386  雖然如此，不動的橋墩仍然被那些堅忍的戰士
0x0023B0  們給守住了。
0x0023BE  「少年劍帝」派洛斯•菲克特班，雖然現在已
0x0023E8  然年老，卻不曾有任何衰退景象。加德摩斯•
0x002412  布萊修雅、「鐵壁」昱荻•薩札蘭德。
0x002436  繼承了開創者血脈的芙莉卡•拉斯帕爾邁森，
0x002460  以及新加入的成員，
0x002474  使用魔法的天才希里鄔司•謬斯。
0x002494  在羅亞爾•聖提的戰役中，
0x0024AE  他們有許多人負責殿後……
0x0024C8  雖然以他們的實力，
0x0024DC  用不著擔心他們究竟有沒有辦法逃出來。
0x002502  至少，這份恩情……
0x002516  我覺得我們應該要好好地報答呀。
0x002536  這是最後一個部分了，法娜。
0x002552  請妳毫不隱晦地，
0x002564  把你眼中的純潔之盾給敘述出來吧。
0x002586  …………
0x002590  …………
0x00259A  來，開始吧。
0x0025A8  ……確保那古老英靈安寧的守護者。
0x0025CA  由德涅西亞長老開創，
0x0025E0  再交給他的愛徒奧爾菲老師繼承，
0x002600  這是沒有多久以前的事情……
0x00261C  …………
0x002626  過去曾經孕育出不少光輝英雄的純潔之盾－伊
0x002650  諾森提雅。
0x00265C  是定居在學舍東方，
0x002670  聚集在「白皙城砦」安蒂米昂裡，
0x002690  風氣十分自由的名門。
0x0026A6  可是現在，
0x0026B2  我覺得純潔之盾正面臨了考驗。
0x0026D0  現在剩下的學生就只有瑟希莉絲•芬諾忒，
0x0026F8  以及伊里安•維奈特，
0x00270E  兩個人都才入學三年而已。
0x002728  還不能對他們有太大的期望。
0x002744  然而「劍將」奧吉爾和羅沙麗亞•奧笛納先後
0x00276E  離開，
0x002776  光是這一點就已經是很沉重的打擊。
0x002798  結果，身為學級的中樞，
0x0027B0  曾被稱為不敗的鐵三角之中，
0x0027CC  現在只剩下了帕彌菈•露弗鐸可勞一人。
0x0027F2  而在羅亞爾•聖提的攻防戰之中，
0x002812  有超過一半的學生至今還沒有回來。
0x002834  純潔之盾的少年劍士克莉絲•派勒汀，
0x002858  以及艾克索•安弗吉。
0x00286E  「雙子鐵壁」的格列佛與柏爾德則是重戰士。
0x002898  見習魔法師攸莉•文克裴雷。
0x0028B4  聖瑟維艾斯與純潔之盾曾經不只一次地一起上
0x0028DE  課、一起冒險。
0x0028EE  在那無拘無束的風格下所培養出的孩子們，
0x002916  也能夠自由自在地學習。
0x00292E  我曾經覺得十分羨慕……
0x002946  「他們一定經常在別人看不見的地方，
0x00296A  下了苦工吧。」
0x00297A  就如同聖瑟維艾斯的同伴們所想的一樣。
0x0029A0  我也是這麼認為的。
0x0029B4  很好，大家調查的很詳細嘛。
0x0029D0  除了這些資料以外，
0x0029E4  還有一件很重要的事情希望你們思考一下。
0x002A0C  也就是……對愛爾梅納斯來說，
0x002A2A  四大學級到底是什麼？　瑟希莉絲。
0x002A4C  …………
0x002A56  是的。
0x002A5E  在愛爾梅納斯無數的學級之中。
0x002A7C  以各自的成就與互相的推薦，
0x002A98  所選拔出來的四個學級。
0x002AB0  所謂的成就指的是什麼？
0x002AC8  無論是上課情況或是冒險的戰況，
0x002AE8  我們這些學生的所有行動都會被賢者們仔細觀
0x002B12  察並加以評比，
0x002B22  我是這麼聽說的。
0x002B34  …………
0x002B3E  所以，我覺得能夠位列四大學級之一，
0x002B62  是一件非常光榮的事情。
0x002B7A  那麼，四大學級的責任又是什麼？
0x002BA2  …………
0x002BAC  進駐守護中央校舍四方的居城，
0x002BCA  鎮守學舍的四方就是四大學級的任務。
0x002BEE  另外，平時也要互相切磋琢磨，
0x002C0C  以十二王杯為賭注舉行競賽。
0x002C28  並且為了成為賢者而出外旅行。
0x002C46  說得很好，那麼，像這麼重要的任務，
0x002C6A  為什麼要分成四個學級負責呢？
0x002C88  伊里安。
0x002C92  …………
0x002C9C  這個嘛……
0x002CA8  那就是，因為……
0x002CBA  就好像我，就只能是我一樣。
0x002CD6  …………
0x002CE0  而帕彌菈學姊也只能是帕彌拉學姊……
0x002D04  欸欸……咦？
0x002D12  用心點回答呀。
0x002D22  …………
0x002D2C  不，其實他還回答的不錯，
0x002D46  這是個很有趣的開頭呢。
0x002D5E  那麼，如果有一天變成只有一個人了，
0x002D82  會怎麼樣呢？
0x002D90  那就再也不用跟那些看不順眼的傢伙待在一起
0x002DC0  除了這個以外呢？
0x002DD2  …………
0x002DDC  如，如果只剩下我一個的話。
0x002DF8  如果有一天，
0x002E06  帕彌菈學姊或是法娜學姊離開的話……
0x002E2A  那我就會變得很孤單了。
0x002E42  …………
0x002E4C  那也就是說……
0x002E5C  碰到了困難的時候……
0x002E72  就沒有辦法尋求幫助了是嗎？
0x002E8E  兩個人都回答得很好。
0x002EA4  啊……
0x002EAC  …………
0x002EB6  互相協助合作，
0x002EC6  這就是四大學級之所以要分成四大的原因。
0x002EEE  …………
0x002EF8  沒錯。
0x002F00  而為了完成這個責任。
0x002F16  首先，我們要回到安蒂米昂。
0x002F32  …………
0x002F3C  再一次進入那白皙的城砦中學習知識，
0x002F60  就算進步得十分緩慢也好。
0x002F7A  …………
0x002F84  我是打算要這麼做的。
0x002F9A  你們的想法如何呢？
0x002FAE  啊……
0x002FB6  …………
0x002FC0  …………
0x002FCA  當然是要一起加油啦！！
0x002FE2  對吧☆
0x002FEA  是的！！
0x002FF4  是的！！
