0x00042A  怎麼啦？
0x000434  我上的課有這麼無聊嗎？
0x00044C  欸，啊，嗯嗯。
0x00045C  其實我覺得，很有趣。
0x000472  …………
0x00047C  紐把妳帶來這裡的時候，
0x000494  我還真的嚇了一大跳呢……
0x0004AE  這樣看起來，
0x0004BC  其實妳還有其他想做的事情嘛。
0x0004DA  …………
0x0004E4  其實呢，我對魔法也是有很大興趣的。
0x000508  但是呢……
0x000514  …………
0x00051E  但是我真正想做的事情，
0x000536  應該是跟你所教的東西，
0x00054E  有一點小∼小的不同。
0x000564  原來是這樣啊。
0x000574  基本上，在這個世界裡，
0x00058C  應該是沒有兩件事情之間是完全無關的。
0x0005B2  …………
0x0005BC  魔法這種東西也是，
0x0005D0  使用它的方式、它的意義、思考它的方式，
0x0005F8  無論是什麼想法也好，
0x00060E  也可以在某個領域裡活用出來。
0x00062C  …………
0x000636  雖然是這麼說，
0x000646  但是要達到那種融會貫通的程度，
0x000666  得十分用心地打下基礎。
0x00067E  也許，那豐饒的大地對現在的妳來說……
0x0006A4  是很必要的吧。
0x0006BC  妳呀……
0x0006C6  如果有什麼想做的事情，
0x0006DE  或是有什麼地方想去的話，
0x0006F8  那就照著自己的想法去做吧。
0x000714  …………
0x00071E  每天都關在教室裡面，對妳來說太可惜了。
0x000746  妳所擁有的翅膀，
0x000758  應該是只有在天空中翱翔的時候，
0x000778  才能顯現它的美麗。
0x00078C  老師……
0x000796  你知道我爺爺的事情嗎？
0x0007AE  ……這個嘛，
0x0007BC  詳細的事情我並不是很清楚。
0x0007D8  但是，那在深遂森林中沉眠的，
0x0007F6  白皙的城砦─安蒂米昂，
0x00080E  才真的能稱之為那一位人物的故鄉。
0x000830  感謝您！！
0x00083C  我一定會再回來的！
0x000850  嗯嗯，再見了。
0x000860  《帕蘭達因也變了呀。
0x000876  　雖然理性與邏輯的結晶才能稱之為魔法……
0x0008A0  　但是這種把學生硬壓進同一個模子裡的教育
0x0008CA  　方式，不就像是使用道具一樣地操縱他們嗎
0x0008F4  　……》
