0x002250  我誠心惶恐地向你們請求……
0x00226C  帕蘭達因高貴的各位呀，
0x002284  求求你們傾聽我的願望。
0x00229C  請你們再一次，現在再好好考慮一次！
0x0022C0  求求你們拯救聖瑟維艾斯吧。
0x0022DC  我誠心地懇求你們……
0x0022F2  ……無論如何，
0x002302  妳也是從那信奉沉默的聖瑟維艾斯出身嘛。
0x00232A  否則，曾經被讚美為「劍麗」的艾爾雪•貝爾
0x002354  薩，應該不是這麼容易就會驚惶失措的人吧。
0x00237E  …………
0x002388  唉，妳就別再這樣說了吧。
0x0023A2  曾經是故鄉的地方，現在居然淪陷了，
0x0023C6  會感到慌張也是沒辦法的呀。
0x0023E2  難道……這就是整個帕蘭達因的態度嗎？
0x002408  到底是為什麼！？
0x00241A  本來是互相砥礪的盟友，
0x002432  為什麼要毀滅我們呢？
0x002448  唉，請妳冷靜一下。
0x00245C  因為聖瑟維艾斯也可能是無辜的，所以我們並
0x002486  沒有要趕盡殺絕，沉思的聖堂也還完好如初。
0x0024B0  如果說我們毀了聖瑟維艾斯的話，
0x0024D0  那就講得太難聽了。
0x0024E4  ……紐。
0x0024EE  求求你，
0x0024F8  至少也幫我轉達這件事給修奈鐸閣下吧。
0x00251E  如果你希望的話，
0x002530  我也可以安排你跟他見面。
0x00254A  但是呀，如果你們和那黑闇之間的關係，
0x002570  還隱瞞在那灰色地帶的話……
0x00258C  …………
0x002596  老師不是很有空閒的。
0x0025AC  也不是妳隨便有什麼事情，
0x0025C6  都可以跟他見面交談的。
0x0025DE  …………
0x0025E8  在羅亞爾•聖提淪陷之後，雖然我們號召盟友
0x002612  出戰，但他們卻刻意保持沉默。
0x002630  而且一直都是這樣的態度。
0x00264A  就算已經邀請了他們一同出戰，
0x002668  但他們仍舊不願意跟我們並肩奮鬥。
0x00268A  …………
0x002694  只是堅守在自己的堡壘，
0x0026AC  不願意坦率地付出力量一起合作。
0x0026CC  這就是聖瑟維艾斯呀。
0x0026E2  那是因為……
0x0026F0  如果不付出犧牲對抗「匍伏蔓延而來之物」的
0x00271A  話，這樣能夠勝利嗎？
0x002730  …………
0x00273A  就算我們要面對的敵人，
0x002752  是那些在大賢者們奔走於世界時乘虛而入，
0x00277A  隨著混沌的潮流從黑闇中匍伏蔓延而出……
0x0027A2  那些差點就完全毀了愛爾梅納斯的卑劣傢伙，
0x0027CC  你們也不願意出力嗎？
0x0027E2  這其中一定有原因。
0x0027F6  一定是有什麼原因，就算不開口說明也……
0x00281E  就算不開口說明也好，
0x002834  那沉思的心中，必定也自有斟酌，是嗎？
0x00285A  而那造成的結局就是這樣。
0x002874  對於別人的質問，閃爍其詞扯開話題的手段，
0x00289E  我們已經受夠了。
0x0028B0  …………
0x0028BA  雖然你們十分瞭解愛爾梅納斯中的黑闇，
0x0028E0  卻還想這樣地隱瞞下去嗎？
0x0028FA  不論是誰，都不希望聖瑟維艾斯一直保持沉默
0x00292A  …………
0x002934  沉默的禮拜堂究竟在哪裡？
0x00294E  只要妳告訴我們這件事情就好……
0x00296E  這樣的話，
0x00297A  妳所深愛的聖瑟維艾斯就能獲得救贖呀。
0x0029A0  …………
0x0029AA  為什麼不說話了呢？
0x0029BE  既然你們沒有什麼不可告人的秘密，
0x0029E0  為什麼不告訴我們那深藏在沉思的聖堂裡的禮
0x002A0A  拜堂位置呢？
0x002A18  還是說……
0x002A24  因為你們跟「匍伏蔓延而來之物」有所密約，
0x002A4E  所以必須保守這個秘密？
0x002A66  …………
0x002A70  雖然加入了聖瑟維艾斯，卻捨棄了朋友，
0x002A96  為了拯救自己的主人，
0x002AAC  轉而幫助葛斯貝布洛……
0x002AC4  妳果然感染了他們的毅力呀，
0x002AE0  然而這卻不能幫助妳突破現在的困境，是吧。
0x002B0A  在我們之間，有著血濃於水的深厚關係存在。
0x002B34  那是一種無法切斷的羈絆。
0x002B4E  ……這樣真的好嗎？
0x002B62  妳應該可以瞭解這其中的道理呀，
0x002B82  艾爾雪。
0x002B8C  沉思的聖瑟維艾斯，
0x002BA0  的確是由那高貴綻放著光明的舵手所領導。
0x002BC8  …………
0x002BD2  然而，也不要懷疑帕蘭達因的判斷力呀。
0x002BF8  她背後所隱藏的另外一隻手裡，
0x002C16  放出的光芒之中，
0x002C28  也必然會孕育出黑闇的邪惡呀。
0x002C46  …………
0x002C50  沒錯，聖瑟維艾斯庇護「匍伏蔓延而來之物」
0x002C7A  的行為……
0x002C86  也就表示了他們的根源與「匍伏蔓延而來之物
0x002CB0  」一樣，根本就是同類！！
0x002CCA  ∼∼∼∼！！
0x002CD8  怎麼啦，艾爾雪•貝爾薩？
0x002CF2  被讚美為「聖堂的劍麗」的妳，
0x002D10  難道就只會低著頭顫抖而已嗎？
0x002D2E  …………
0x002D38  這麼地頹喪呀。
0x002D48  守護深愛的故鄉，
0x002D5A  不正是你們聖瑟維艾斯所講求的榮譽嗎？
0x002D80  難道為了拯救自己的夥伴，
0x002D9A  妳就連一個字都不願意回應嗎？
0x002DB8  或者是……
0x002DC4  因為被希里鄔司•謬斯豢養，
0x002DE0  無論是身體還是心靈，
0x002DF6  都已經被葛斯貝布洛所俘虜了嗎？
0x002E16  …………
0x002E20  沒關係，就算妳垂下雙眼逃避事實也好。
0x002E46  那刻印卻是永遠都不會消失的。
0x002E64  那在妳體內某處所烙下的混沌刻印，
0x002E86  是永遠都不會消失的。
0x002E9C  …………
0x002EA6  如果妳能夠忍耐這種屈辱的話，
0x002EC4  那就繼續忍耐吧。
0x002ED6  就算妳什麼都不說，也沒有關係。
0x002EF6  因為聖瑟維艾斯的燈火，早就在那一天，
0x002F1C  與法娜•修貝流士一同墮入了黑闇之中。
0x002F42  …………
0x002F4C  ……真是無聊耶。
0x002F5E  如果能讓她也嚐嚐那令人哭喊的痛苦的話，
0x002F86  至少可以讓她瞭解什麼是應該珍惜的東西吧。
0x002FB0  「這個無能的劍士對她所尊崇的賢者還真是
0x002FD8  『非常重視』呀。」
0x002FEC  不過……只是保持沉默的話，
0x003008  無論是誰都做得到吧。
0x00301E  吉爾梅亞閣下不常說話的原因，
0x00303C  其實是因為邪惡已經寄宿在他的口中，
0x003060  不希望開口之後，讓那惡毒反噬自身，對吧？
0x00308A  ……去。
0x003094  唉呀，到底從她的再傳弟子口中，
0x0030B4  會洩露出什麼樣的東西呢？
0x0030CE  是那召喚混沌的邪淫之聲呢，
0x0030EA  還是那黑闇的氣息呢？
0x003100  收回你剛剛所說的話……
0x003118  ……看來妳還是很擔心自己的小命嘛。
0x00313C  但是不行呀。
0x00314A  如果妳什麼都不肯告訴我們的話，
0x00316A  我可是不會讓妳看到明天的太陽。
0x00318A  你這個愚蠢的傢伙。
0x00319E  就算我將墮入什麼樣的黑闇之中也好，
0x0031C2  我又有什麼值得悲傷的呢？
0x0031DC  …………
0x0031E6  然而，你竟敢在聖瑟維艾斯成員面前侮辱吉爾
0x003210  梅亞閣下，真是不可原諒。
0x00322A  請你小心接下來所要說的話，
0x003246  因為那將是用你的生命所換來的。
0x003266  …………
0x003270  …………
0x00327A  ……真是失禮了。
0x00328C  我以後不會再來打擾你們了。
0x0032A8  難道妳以為能夠全身而退嗎？
0x0032C4  別動手，沒用的。
0x0032D6  羅沙麗亞，妳這傢伙……
0x0032EE  我敬佩妳敢單槍匹馬來到此地的武勇，
0x003312  不愧是艾爾雪•貝爾薩。
0x00332A  然而，妳現在還是比較適合流浪。
0x00334A  妳不但失去了聖瑟維艾斯的榮譽，
0x00336A  同時也無法清除自己所背負的黑闇。
0x00338C  …………
0x003396  甚至無法遵循那為義而生的葛斯貝布洛信念。
0x0033C0  無論是怎樣的生活方式，妳都無法貫徹。
0x0033E6  所以就只有流浪的生活適合妳了。
0x003406  雖然那是比墮入黑闇還要更加痛苦的道路……
0x003430  ……永別了。
0x00343E  …………
0x003448  要從艾爾雪的口中套出什麼線索，
0x003468  果然是很困難的嗎……
0x00347E  簡直就是不可能的任務嘛。
0x003498  ……紐。
0x0034A2  不要太執著於王杯的事情。
0x0034BC  那是尊榮的四大學級之間互相競爭，
0x0034DE  以澄澈的心靈去贏得的東西。
0x0034FA  …………
0x003504  並不是非要將對手踩在腳下蹂躪，
0x003524  才能奪取的東西。
0x003536  如果用太過強烈的慾望去追求，
0x003554  說不定會有出乎意料的邪惡與王杯一同到來。
0x00357E  …………
0x003588  妳這話會被老師聽見的。
0x0035A0  ……我所說的話，
0x0035B2  都是述說我所能預知的事實。
0x0035CE  只要帕蘭達因還需要預知的力量，
0x0035EE  我就不會對我要說的話有所顧忌。
0x00360E  ……隨妳便吧。
0x00361E  嗯嗯，那暫別了吧。
0x003632  那如同天一般的聖者，
0x003648  傑斯達•普勞迪斯的子嗣呀。
0x003664  …………
0x00366E  《可惡……
0x00367A  　奧吉爾為什麼要帶來如此引人忌恨的傢伙呀
0x0036A4  　……？
0x0036AE  　這傢伙違背了帕蘭達因所尊崇的理性，
0x0036D4  　竟然還敢這麼地囂張……！！》
0x0036F4  想不到，紐居然是會做出這種事情的人哪。
0x003724  你剛剛真是過分耶。
0x003738  凱洛……
0x003742  妳什麼時候來的……
0x003756  要是我知道你是這樣的人的話，
0x003774  就不會來了。
0x003782  不，不是這樣的。
0x003794  聖瑟維艾斯的那些人，真的是……
