0x001584  身在這個被茂密樹林包圍的山間小徑裡，
0x0015AA  聽得到樹木們嘆息的聲音。
0x0015C4  雖然如此，
0x0015D0  這個地方卻仍然充滿著溫暖的陽光呢。
0x0015F4  真是奇妙呀。
0x001602  ……唷，你來了呀。
0x001616  長老，能看到你這麼有精神，
0x001632  真是比什麼都令人開心。
0x00164A  難怪純潔之盾至今仍然能毫不退縮地前進，
0x001672  不過，這次的難關還真的是很難克服呀。
0x001698  …………
0x0016A2  真是很久沒有拜見您了呢，鎖匙之長。
0x0016C6  真慶幸您能安然無恙……
0x0016DE  我的朋友呀，你好像瘦了點？
0x0016FA  我想，如果你再瘦一點的話，
0x001716  恐怕就不能上陣戰鬥了呢。
0x001730  啊啊……
0x00173A  我帶了不錯的土產呢。
0x001750  我們不如就暫時把這困境中的問候省略，
0x001776  先乾一杯吧？
0x001784  那還真是讓我受寵若驚呀。
0x00179E  可是，當然不是在這裡喝啦。
0x0017BA  那些危險的傢伙可是還在這附近遊蕩呢。
0x0017E0  這裡和迷失之森不一樣啊，
0x0017FA  想在這裡盡情大醉，恐怕是很難吧。
0x00181C  不過，要是到迷失之森那裡去的話，
0x00183E  就該換我感覺不自在了吧。
0x001858  何必到現在都還這麼客氣咧。
0x001874  以後一定要常來拜訪我呀，我的朋友。
0x001898  ……是的。
0x0018A4  倒是……鎖匙之長您今天又是為了什麼來這兒
0x0018D4  真懷念呀。
0x0018E0  你就像以前一樣，又開始問「為什麼」了。
0x001908  …………
0x001912  是因為有東西要轉交給長老呀。
0x001930  從沉默之長那裡傳來的。
0x001948  吉爾梅亞閣下……！
0x00195C  他現在過得好嗎？
0x00196E  還好吧。
0x001978  …………
0x001982  在靜寂之都？
0x001990  是的。
0x001998  最近他跑去住在聖者的墳墓那兒了。
0x0019BA  簡直就變成了守墓之長呢。
0x0019D4  …………
0x0019DE  是這樣嗎？
0x0019EA  但是能平安無事是最好的。
0x001A04  那麼……
0x001A0E  我可能要暫時在這裡打擾一下了，
0x001A2E  我還蠻喜歡這裡的。
0x001A42  ……不知道我的朋友同不同意？
0x001A60  嗯嗯，那是當然的啦。
0x001A76  倒是您……願意幫我們教教這些孩子嗎？
0x001A9C  唉呀，你願意讓我教他們嗎？
0x001AB8  我也很期待能夠幫忙教導朋友的學生呀。
0x001ADE  那銀髮的薔薇最近過得好嗎？
0x001AFA  最近可真是多虧了她的幫忙呀。
0x001B18  就是說嘛……
0x001B26  我以前就對她有很深的期待呀。
0x001B44  希望她不只是個性溫柔、氣質高貴，而且英姿
0x001B6E  凜凜，並繼承長老的嚴格作風。
0x001B8C  然後，最好要嚴格到偶爾還會跟長輩頂嘴呢。
0x001BB6  …………
0x001BC0  你在說什麼呀。
0x001BD0  我只不過是想教養出一個可愛而又沉穩的女兒
0x001BFA  而已，
0x001C02  其他的，我可是沒有想那麼多呀。
0x001C22  …………
0x001C2C  何況我怎麼可能讓我的女兒感覺不自由呢。
0x001C54  就算是你，
0x001C60  也不會跟我選擇不同的教養方式吧。
0x001C82  ……老師，我還沒有女兒呀。
0x001C9E  那如果你把她當作女兒的話，
0x001CBA  你也不會選擇不同的教養方式吧。
0x001CDA  啊……？
0x001CE4  …………
0x001CEE  這就對啦。
0x001CFA  她並不只是可憐地被父親給拋棄了，
0x001D1C  而是根本被忘記了吧。
0x001D32  哈哈哈，哈哈，哈哈哈！
0x001D4A  …………
0x001D54  …………
0x001D5E  唉呀，對我們這種老人來說，
0x001D7A  能讓我們這麼開心的還有什麼呢？
0x001D9A  就只有當孫子們，或甚至是曾孫們都陪在身邊
0x001DC4  的時候了吧。
0x001DD2  ……咦？
0x001DDC  …………
0x001DE6  那麼，我不是很擅長製造令人感動的重逢氣氛
0x001E10  。所以你就照你的意思去處理吧，
0x001E30  我暫時到這附近去晃晃。
0x001E48  …………
0x001E52  …………
0x001E5C  父親大人！！！
0x001E6C  啊啊啊！！！
0x001E7A  真的，真的是父親大人嘛！？
0x001E96  什、什麼……！？！？
0x001EAC  啊啊，這個味道……
0x001EC0  我，奎絲忒，就算只聞過一次，
0x001EDE  也絕對不會忘記……！！
0x001EF6  奎絲忒……！？
0x001F06  是的！！
0x001F10  妳就是，那個，奎絲忒……！？
0x001F2E  是的！！！
0x001F3A  可是，不，是為什麼要叫我父親，
0x001F5A  而不是老師呢？
0x001F6A  而且……不管是怎樣地敬稱，
