0x000818  因為神秘藏在深奧的綠色山麓裡，
0x000838  而出名的莊嚴學舍。
0x00084C  為了那些必須要守護的事物，
0x000868  為了那些必須要完成的使命，
0x000884  磨練自己的信念與靈魂的聖地。
0x0008A2  「那就是我最後的歸處，
0x0008BA  安息之地─『愛爾梅納斯』。」
0x0008D8  朝著自己的目標邁進，彼此間交換約定，
0x0008FE  有時候會背負某些原則，完成自己的誓願。
0x000926  無論男女老幼。
0x000936  無論是操縱魔法的人、
0x00094C  鍛鍊得有如鋼鐵般堅實的人、
0x000968  順應神明奇蹟的人、
0x00097C  或是拉動顫抖的弓弦的人……
0x000998  對於那些追求著某種事物的人來說，
0x0009BA  這裡簡直是樂園。
0x0009CC  然而，這世界的末日已經近了。
0x0009EA  就算歷史的齒輪鏽蝕了，
0x000A02  它的動作仍然不會因此而停止。
0x000A20  在誰也沒有注意到的情況下，
0x000A3C  靜靜地蓄積它的力量。
0x000A52  將這個世界引導向混沌的災變與黑闇，
0x000A76  現在正不斷地逼近而來。
0x000A8E  能識見萬物的隱者，垂下雙眼紡織著警言，
0x000AB6  歌頌月亮的巫女，憂鬱地編寫咒文。
0x000AD8  只能感受到有危機即將降臨的賢者，
0x000AFA  在那寒冷的雨夜中，向著災變的漩渦而去。
0x000B22  朝向遠方的地平線，對無數人們伸出了援手，
0x000B4C  治療他們、拯救他們、指導他們。
0x000B6C  感念賢者們的辛勞，
0x000B80  留下來的我們，該努力負責的任務，
0x000BA2  就是保護他們的故鄉呀。
0x000BBA  ……由那沉默的調停者所寄來的最後一封信，
0x000BE4  是在賢者們出發旅行後的第一個新月送達的。
0x000C0E  白銀的月色，
0x000C1C  染上令人心寒卻又美麗的緋紅。
0x000C3A  在那引人墮入黑闇的迷霧中靜靜浮現。
0x000C5E  擔任學舍祭司長的獨眼大賢者……
0x000C7E  應該一輩子都忘不了吧……
0x000C98  他所珍愛的不死鳥，
0x000CAC  拼盡最後的生命也要帶給他的訊息。
0x000CCE  總是能逃過一切災厄的賢者學舍，
0x000CEE  那是從古時候就被妥善保護的稀有城砦。
0x000D14  就算是能夠顛覆世界的黑闇，
0x000D30  也無法掩蓋他們所孕育的光明。
0x000D4E  為了磨礪追求那通往無上的鎖鑰，
0x000D6E  賢者們往漆黑的大地展開旅行。
0x000D8C  通往賢者學舍的大門卻安靜地，
0x000DAA  確實地封鎖了。
0x000DBA  於是，失去了賢者們的學舍，
0x000DD6  損失實在難以想像，
0x000DEA  人們屈膝跪地、祈禱、哀嘆、悔恨，
0x000E0C  最後也只能無言地仰望蒼天。
0x000E28  只留下在苦難環境中的人們以及賢者。
0x000E4C  不……
0x000E54  被遺留下來的究竟是他們，
0x000E6E  還是愛爾梅納斯呢？
0x000E82  現在我所寄身的學舍，
0x000E98  就好像在大海之中漂流的方舟一般。
0x000EBA  是呀，用那些被尊稱為賢者的生命當作牲品，
0x000EE4  這世界已經墮入了深沉的黑闇之中。
0x000F06  然而──
0x000F10  又有誰能夠想像得到這種結果呢？
0x000F30  連愛爾梅納斯都已經陷入了混沌的漩渦中。
0x000F58  歌詠星辰的天蓋，
0x000F6A  今晚也在月光下展現她的美景。
0x000F88  英靈的長城，
0x000F96  也一如往常地守護著學舍。
0x000FB0  寂靜安息的法塔，
0x000FC2  也保衛我們到了最後的一分一秒。
0x000FE2  然而，在我的胸中卻翻湧著令人心焦的不安，
0x00100C  使肌膚刺痛的熱傷也無法痊癒。
0x00102A  我們真的有辦法再度在天空中展翅翱翔嗎？
0x001052  我們真的有辦法成為那消去混沌、
0x001072  照破黑暗的光明嗎？
0x001086  但是，我們至少可以努力堅持、永不放棄。
0x0010AE  直到我們能以自己的力量重新站起來為止。
0x0010D6  直到那數以千百計的賢者原石，
0x0010F4  都成為照亮人類的燈火為止───────
0x00111C  …………
0x001126  唉呀∼
0x00112E  妳的才能果然不只僅限於劍術而已嘛∼
0x001152  薛莉爾。
0x00115C  有時候也要試試看，
0x001170  把妳的熱情發揮在一些其他東西上呀。
0x001194  那樣的話，也許就可以發現一些以前從來沒有
0x0011BE  想像過的事物呢。
0x0011D0  …………
0x0011DA  畢竟以後會碰到的疑問，
0x0011F2  或是可能會遇到的狀況，
0x00120A  都不是現在可以預料的哪。
0x001228  唉呀，我們被包圍了呢。
0x001240  ……赫。
