0x000A6E  法娜……
0x000A78  ……艾爾雪。
0x000A86  我好想見妳呀。
0x000A96  嗯嗯，我也是。
0x000AA6  見到妳平安無事真好。
0x000ABC  ……只有我從那裡逃出來了。
0x000AD8  妳知道其他人的情況怎樣了嗎？
0x000AF6  他們都被囚禁在眺望萬物的尖塔。
0x000B16  至少薛莉爾是這樣說的，另外……
0x000B36  ……這樣啊。
0x000B44  大家都被關起來了嗎……
0x000B5C  雖然這樣並不是什麼好事，但還是太好了，
0x000B84  真的……！
0x000B90  大家都還活著真是太好了。
0x000BAA  我見過了紐•普勞迪斯之後，
0x000BC6  從他所說的話來推斷，應該也是這樣。
0x000BEA  妳去過帕蘭達因了？
0x000BFE  抱歉。
0x000C06  ……妳還真是都沒變呢。
0x000C1E  但是，如果妳是去做了什麼無理逞強的事情的
0x000C4E  那我可是不會原諒妳的唷。
0x000C6E  呵呵。
0x000C76  …………
0x000C80  …………
0x000C8A  老師……
0x000C94  妳就是聖瑟維艾斯的艾爾雪•貝爾薩對吧？
0x000CBC  …………
0x000CC6  我想你已經看出來了吧。
0x000CDE  那你是？
0x000CE8  ……我是暫時管理伊諾森提雅事務的人。
0x000D0E  說到貝爾薩這個姓氏……
0x000D26  就讓我想起了一位偉大的前輩。
0x000D44  …………
0x000D4E  菲迪•貝爾薩……
0x000D60  她也曾經在純潔之盾和我們一同求學。
0x000D84  你是第一個聽到了貝爾薩的姓氏，
0x000DA4  卻沒有問我跟「劍聖」是什麼關係的人呢。
0x000DCC  雖然她做事風格保守……
0x000DE4  卻也是個有話直說的人呀。
0x000DFE  原來母親她……
0x000E0E  母親……
0x000E18  這樣啊，原來是這樣啊。
0x000E30  這大概就是所謂的因緣吧。
0x000E4A  …………
0x000E54  愛爾梅納斯在混沌之中喘息，
0x000E70  聖瑟維艾斯屈服在那混沌的毒牙之下。
0x000E94  葛斯貝布洛的疲病無所隱藏，
0x000EB0  帕蘭達因的專橫昭然若揭。
0x000ECA  …………
0x000ED4  在這危急的時刻，
0x000EE6  純潔之盾的意志又是如何？
0x000F00  我可以聽聽看嗎？
0x000F12  ……帕蘭達因認為黑闇是混沌的根源，
0x000F36  因此毫不留情地攻打了聖瑟維艾斯。
0x000F58  …………
0x000F62  …………
0x000F6C  無論他們有什麼理由也好……
0x000F88  我們也得向帕蘭達因問個清楚。
0x000FA6  …………
0x000FB0  但首先，我們必須回到「白皙的城砦」─
0x000FD6  安蒂米昂去，並且升起級旗，
0x000FF2  宣告四大學級之一的純潔之盾回來了。
0x001016  就算回到了安蒂米昂……
0x00102E  你們的對手，
0x00103C  可是擁有賢者圓桌做為靠山的帕蘭達因呀。
0x001064  你的意見又能傳達給他們多少？
0x001082  在我們的想法可以完全地傳達給他們之前，
0x0010AA  我們都會繼續努力。
0x0010BE  純潔之盾有著這樣的決心，
0x0010D8  我們純潔之盾不會忘記過去曾經受過聖瑟維艾
0x001102  斯的恩惠。
0x00110E  這是你們所有人的共識嗎？
0x001128  這其中連一絲一毫的虛假都沒有嗎？
0x00114A  我希望妳能用自己的雙眼來確認，艾爾雪。
0x001172  …………
0x00117C  我希望能夠獲得妳的幫助，
0x001196  在混亂的愛爾梅納斯裡前進的時候，
0x0011B8  妳的劍對我們來說是必要的。
0x0011D4  ……無論是光明或是黑闇，
0x0011EE  甚至連道義都無法貫徹。
0x001206  所以，我所能做的事情，
0x00121E  就只有磨利這把劍了吧。
0x001236  如果心中有所疑惑，劍刃將會變鈍。
0x001258  …………
0x001262  那麼，我就將我的劍刃磨到透明，
0x001282  斬斷心中的迷霧。
0x001294  如果不能對任何人都誠心相待的話，
0x0012B6  至少就讓我與劍一體共存吧。
0x0012D2  …………
0x0012DC  你說了，它是必要的呢。
0x0012F4  無論是誰都不願意肯定的，我的劍呀。
0x001318  嗯嗯。
0x001320  你真是一個善良的人。
0x001336  真是超乎我期待的答案呢。
0x001350  我艾爾雪•貝爾薩。
0x001364  加入了純潔之盾以後，
0x00137A  一定會竭盡全力地幫助您完成心願。
