0x0009D6  萬物都染上了黃昏的顏色。
0x0009F0  雖然即將到來的是漆黑的闇影，
0x000A0E  但此刻卻如斯耀眼。
0x000A22  妳這樣……會著涼的。
0x000A38  法娜……
0x000A42  …………
0x000A4C  …………
0x000A56  以前的日子還真是快樂呀。
0x000A70  嗯嗯。
0x000A78  以贏得王杯為目標而揮劍的日子……
0x000A9A  而妳當時正努力地在修練光的魔法……
0x000ABE  出外旅行、互相磨礪劍術。
0x000AD8  發現賢者們的鬍髭沾上了牛奶的時候，
0x000AFC  還真是讓人忍不住笑出來呢。
0x000B18  呵，那倒是真的呢。
0x000B2C  ……第一次看到艾爾雪這個樣子呢。
0x000B52  常常說著：「只要有我這把劍在的話，
0x000B76  就不需要學什麼咒文啦。」
0x000B90  一直都是很有活力的樣子。
0x000BAA  能讓奈比洛斯閣下氣到臉都僵硬了的，
0x000BCE  空前絕後的，就只有妳一個了呢。
0x000BEE  呵呵，這種事情我可是不記得了。
0x000C0E  真的……
0x000C18  就算只有今天晚上也好……
0x000C32  真想回到那段時光呀。
0x000C48  想不到法娜•修貝流士也會說出這麼喪氣的話
0x000C78  …………
0x000C82  當然是要讓所有的事物都回復到像過去那樣，
0x000CAC  用我們的力量。
0x000CBC  艾爾雪。
0x000CC6  現在……
0x000CD0  …………
0x000CDA  現在的生活並不讓人開心……
0x000CF6  不能像那個時候一樣，想幹什麼就幹什麼。
0x000D1E  不過呢，在這裡也可以體驗一些誰都沒有嘗試
0x000D48  過的冒險。
0x000D54  嗯……
0x000D5C  艾爾雪呀，我覺得呢……
0x000D74  無論是完成了多麼偉大的功績，
0x000D92  那都沒有什麼了不起。
0x000DA8  …………
0x000DB2  真正有意義的，
0x000DC2  是瞭解了事情會變得非常危險的時候，
0x000DE6  明明知道要捨棄一切，
0x000DFC  但仍然投身於冒險之中。
0x000E14  我覺得這才是真正了不起的事情。
0x000E34  我一直很嚮往能夠做這樣的事情。
0x000E54  …………
0x000E5E  雖然如此，我所能感覺到的……
0x000E7C  卻總是……就算有機會，
0x000E94  也不敢去好好掌握的自己。
0x000EAE  艾爾雪……
0x000EBA  捨棄一切自己珍視的東西，
0x000ED4  然後展開旅行，像這樣的事情……
0x000EF4  我一定做不到吧，這我一直都很清楚。
0x000F18  …………
0x000F22  但是，來到了愛爾梅納斯以後，
0x000F40  我想我稍微有一點改變了。
0x000F5A  所謂的冒險呀，
0x000F6A  並不只是捨棄某些東西而已。
0x000F86  …………
0x000F90  冒險中也會有必須守護的珍貴事物，
0x000FB2  值得我們去奮鬥的時候。
0x000FCA  為了某些重要的事物，是吧？
0x000FE6  嗯嗯。
0x000FEE  而且，教我這項道理的人，
0x001008  就是妳呀，法娜。
0x00101A  …………
0x001024  …………
0x00102E  ……那麼，艾爾雪是為了什麼而努力的呢？
0x001056  我才想問妳這個問題呢。
0x00106E  ……嘿。
0x001078  ……呵呵。
0x001084  我瞭解啦，這是秘密，秘密∼
0x0010A0  現在還不是說出來的時候。
0x0010BA  嗯嗯，是呀。
0x0010C8  現在還不是說出來的時候。
0x0010E2  …………
0x0010EC  那∼麼。
0x0010F6  要好好地努力下去嗎，艾爾雪•貝爾薩？
0x00111C  當然啦，法娜•修貝流士。
0x001136  加油吧。
0x001140  我們一起加油吧。
