0x000CE8  她的情況怎麼樣了呢？
0x000CFE  看來是睡著了。
0x000D0E  睡得很熟呢。
0x000D1C  恐怕，她已經見到了那些可怕的怪物吧……
0x000D44  不過，她能夠平安是最重要的。
0x000D62  …………
0x000D6C  ……這位少女究竟是從哪裡漂流而來的呢。
0x000D94  不管是凱洛特也好，或是這個少女也好……
0x000DBC  這是因為愛爾梅納斯已經陷入混亂了嗎，
0x000DE2  迷路的人還真是不少。
0x000DF8  …………
0x000E02  老師……
0x000E0C  伊里安。
0x000E16  你準備怎樣安置她呢？
0x000E2C  我是說那個女孩……
0x000E40  你希望怎樣處理呢？
0x000E5C  那個……
0x000E66  那個，不是我……可以決定的吧……
0x000E88  瑟希莉絲的想法是怎樣的呢？
0x000EA4  …………
0x000EAE  我不知道……
0x000EBC  …………
0x000EC6  你們兩個……
0x000ED4  難道都不想幫她，
0x000EE6  而是想要趕她出去嗎……？
0x000F00  …………
0x000F0A  我才沒有說要把她趕出去呢……！
0x000F2A  只是……
0x000F34  只是什麼！！
0x000F42  ……法娜。
0x000F4E  她和那些「匍伏蔓延而來之物」混在一起，
0x000F76  這也是事實呀。
0x000F86  而且我們也沒辦法確定，
0x000F9E  她為什麼可以和它們相安無事呀。
0x000FBE  …………
0x000FC8  何況，誰也不能保證她不會再和它們有接觸。
0x000FF2  不是嗎？
0x000FFC  但是艾爾雪呀……！
0x001010  就算是這樣也好……
0x001024  我也不會把她放著不管的……！
0x001042  …………
0x00104C  法娜……
0x001056  她是這麼地可憐……！
0x00106C  她這麼細小的手指上劃滿了血痕……
0x00108E  拜託你們！
0x00109A  要我做什麼都可以！
0x0010AE  照顧這個孩子的事情我會負責的！
0x0010CE  …………
0x0010D8  …………
0x0010E2  …………
0x0010EC  我也為她請求大家……
0x001102  雖然誰也不能確定她會不會帶來危險。
0x001126  但是，我不認為這純粹是因為偶然而結下的緣
0x001156  帕彌菈……
0x001162  …………
0x00116C  …………
0x001176  你們兩個又是怎麼想的呢？
0x001190  …………
0x00119A  我……
0x0011A2  我跟帕彌菈學姊的意見相同。
0x0011BE  …………
0x0011C8  我，那個……
0x0011D6  ……我想聽聽那個孩子說話。
0x0011F2  想聽她說的話，也想看清楚她的眼神。
0x001216  …………
0x001220  既然大家都希望把這個少女留下來的話……
0x001248  這樣就可以了吧，法娜？
0x001260  是的……！！！
0x001270  非常感謝大家！！！
0x001284  《在暖爐搖曳的火光裡凝視著她，
0x0012A4  　深夜的曲調靜靜地在耳中躍動。
0x0012C4  　安祥地沉睡的少女臉龐，
0x0012DE  　就如同陶瓷一般地美麗。》
0x0012FA  《那讓「匍伏蔓延而來之物」也順從的強大魔
0x001324  　力，從這可愛的睡臉之中，
0x001340  　怎麼可能看得出端倪呢。》
0x00135C  為什麼法娜會這麼強烈地想要收留這個少女呢
0x00138A  您明明很清楚原因是什麼，
0x0013A4  卻還是這樣問了呢。
0x0013B8  那麼，妳認為是為了什麼呢？
0x0013D4  ……應該是因為法娜把她的遭遇跟自己的重疊
0x0013FE  在一起了吧。
0x00140C  孤獨地離開了聖瑟維艾斯，
0x001426  與那些心靈相通的夥伴分離。
0x001442  …………
0x00144C  克服了悲傷，最後終於和艾爾雪重逢，
0x001470  可以互相勉勵扶持。
0x001484  因而也重拾了過去自信的光輝。
0x0014A2  所以她希望至少不要讓這個孩子也留下悲傷的
0x0014CC  回憶。
0x0014D4  法娜應該是不想放逐她一個人離開，
0x0014F6  使她心碎。
0x001502  而是想自己主動地變成她的朋友吧。
0x001524  …………
0x00152E  您以前曾經這樣說過：
0x001544  「不論是因為什麼理由，
0x00155C  每個人一定都各自背負著痛苦與煩惱。」
0x001582  …………
0x00158C  所以，總是喜歡探索問題根源的法娜，
0x0015B0  竟然會毫無疑慮地，
0x0015C4  直覺要去保護這位少女。
0x0015DC  這讓我感覺……
0x0015EC  非常地開心。
0x0015FA  嗯嗯，原來如此。
0x00160C  是這樣的呀。
