0x000A22  《不過這樣真的好嗎？
0x000A38  　在愛爾梅納斯的邂逅，不會是單純的偶然。
0x000A62  　而且，不論是她們的背景、本性，
0x000A84  　或是她們所追求的事物，我們都不清楚。》
0x000AAE  《只是單純地收容她們，
0x000AC6  　不對她們有任何疑問，就這樣地包容她們，
0x000AF0  　然後視如己出地照顧她們。》
0x000B0E  現在回想起來……當初，老師是多麼地辛苦。
0x000B38  而當我受他照顧的那個時候，
0x000B54  卻完全都沒有注意到。
0x000B6A  現在，我對他們所必須付出的包容，
0x000B8C  應該可以當作是我對老師的報答吧。
0x000BAE  ……老師。
0x000BBA  凱洛特……
0x000BC6  我可以問妳一件事情嗎？
0x000BDE  嗯啊？
0x000BEE  妳第一次見到我的時候，
0x000C06  為什麼知道我是這裡的老師呢？
0x000C24  嗯∼∼啊，因為我看了你的日記……
0x000C46  「會好好寫日記的人，不會是壞人。」
0x000C6A  這是我爺爺說的。
0x000C7C  …………
0x000C86  要好好寫日記的話，
0x000C9A  就得仔細地回想每一天的種種……
0x000CBA  不論是好事或是壞事，
0x000CD0  如果不能在心中一一地面對，
0x000CEC  就沒辦法寫下去了呢。
0x000D02  所謂的壞人呀，
0x000D12  不就是沒辦法好好反省自己的人嗎？
0x000D34  …………
0x000D3E  欸嘿嘿，既然我自己也是這樣想的。
0x000D60  那就抱歉啦。
0x000D6E  我不應該偷看你的日記的……
0x000D8A  我會好好反省的。
0x000D9C  …………
0x000DA6  嗯嗯，嗯∼的確。
0x000DB8  不過既然看都已經看了，也沒辦法追究了。
0x000DE0  …………
0x000DEA  而且，如果只是因為看了這本日記，
0x000E0C  就讓妳對伊諾森提雅這麼地有信心的話。
0x000E32  那就沒有什麼比這更令人開心的了。
0x000E54  欸嘿嘿……
0x000E60  這麼說……
0x000E6C  妳是為了什麼會來到這裡呢？
0x000E88  因為中央校舍已經整個都亂七八糟了。
0x000EAC  所以我就朝著森林裡的城堡走過來了！
0x000ED0  就妳一個人？
0x000EDE  嗯！！
0x000EE6  …………
0x000EF0  …………
0x000EFA  《羅亞爾•聖提已經墮入了混沌之中……
0x000F20  　她真的是從那裡過來的嗎？
0x000F3C  　在純潔之盾連安蒂米昂都無法收復的時候？
0x000F66  　就算是如此，還是來了這裡？》
0x000F86  真是多虧妳能走到這裡了。
0x000FA0  嗯∼∼
0x000FA8  因為有人教我怎麼走過來嘛。
0x000FC4  ……誰？
0x000FCE  一個鬍渣很多的大叔。
0x000FE4  …………
0x000FEE  他看起來是個很快樂的人呢。
0x00100A  ……在哪裡碰到的？
0x00101E  在森林裡面的城堡。
0x001032  ……他說他叫什麼名字？
0x00104A  羅弗利。
0x001054  ……這傢伙。
0x001062  你認識他？
0x00106E  他啊，
0x001076  待在一個有好∼粗的鎖鏈鎖起來的房間裡。
0x00109E  他說因為在那裡很安全，
0x0010B6  所以要在那邊休息一下。
0x0010CE  …………
0x0010D8  謝謝妳，凱洛特。
0x0010EA  這真的是很重要的消息。
0x001108  那，老師晚安！！
0x00111A  嗯嗯，晚安。
0x001128  就算不特地去回想，
0x00113C  老朋友的臉龐也會自然地浮現在腦海中。
0x001162  老師……
0x00116C  真是個好孩子。
0x00117C  嗯嗯……
0x001186  而且，看來凱洛特真的是老爺子的孫女呢。
0x0011AE  那就非得好好照顧她不可了。
0x0011CA  那孩子的祖父是我的同學呀，
0x0011E6  答哈忒瑪的貝爾納雷信。
0x0011FE  他是被人歌頌為「弓神」的森林賢者呀。
0x001224  那麼，那孩子會來到安蒂米昂的原因是……
0x00124C  也許是對貝爾納雷信的思念，
0x001268  把她引導到這裡來的吧。
0x001280  ……現在這種情況下，
0x001296  正好也需要多一個目光銳利的孩子呢，
0x0012BA  她來了，真的是一大助力呀。
0x0012D6  既然你也這麼想的話，
0x0012EC  那我當然也只有為老朋友感到高興了。
0x001310  而且也可以跟她多聊聊旅途上的見聞了呢。
0x001338  ……老師。
0x001344  請不要老是說這種喪氣話呀。
0x001360  純潔之盾的未來，不是才正要開始嗎。
0x001384  ……什麼？
0x001390  等你跟羅弗利見過面之後，
0x0013AA  就不能沒有像我這樣的覺悟了呀，是吧？
