0x00072C  下雨了呢……
0x00073A  真是冰冷的雨呀……
0x00074E  嗯嗯，就像那天一樣……
0x000766  冷到彷彿要凍結的雨呀。
0x00077E  嗯……？
0x000788  那是……老師出發旅行的那一天。
0x0007A8  與吉爾梅亞閣下一起……
0x0007C0  啊……
0x0007C8  雨水的香氣和聲音……
0x0007DE  令我想起了別離，雖然令人傷感，
0x0007FE  然而，那也是曾經一同走過的證據。
0x000820  所以，雖然這樣的日子令人不捨……
0x000842  我卻還是好喜歡……
0x000856  …………
0x000860  而且，下過雨的話，
0x000874  深夜裡的星光將會更加地璀璨。
0x000892  我們……真的回到這裡來了呢。
0x0008B0  嗯嗯……
0x0008BA  大家……！
0x0008C6  看，快看呀……
0x0008D6  星星……
0x0008E0  對呀，今天不就是……
0x0008F6  銀鐘祭……
0x000902  希望混沌永遠不要再出現……
0x00091E  就像這世上沒有永不結束的長夜……
0x000940  嗯……
0x000948  現在，我們還只踏出了小小的一步。
0x00096A  這是我們的，小小的小小的銀鐘祭。
0x00098C  然而我不會忘記，這個立下誓約的夜晚。
0x0009B2  我會努力的。
0x0009C0  ……就算只有一點點幫助也好。
0x0009DE  也希望能夠讓老師感覺我值得信賴。
0x000A00  凱洛……
0x000A0A  嗯嗯，就是這樣。
0x000A1C  就算到了最後，我們仍然將各分東西……
0x000A42  …………
0x000A4C  至少在那之前，大家也要在一起努力。
0x000A70  我們就此約定。
0x000A86  加油吧……！
