0x0004F4  老師。
0x0004FC  希里鄔司•謬斯要來這裡的消息是真的嗎？
0x000524  嗯嗯，終於……
0x000534  貝爾鐸可勞的世家，
0x000548  謬斯大公殿下也要有動作了，
0x000564  準備一下吧，
0x000572  我們對他的接待至少也不能太輕率。
0x000594  那信上的簽名當然要弄清楚是否屬實，
0x0005B8  不，也許那應該說是我們得弄清楚他的本意究
0x0005E2  竟是什麼。
0x0005EE  那有可能是可以原諒的，
0x000606  也有可能是不可原諒的。
0x00061E  雖然可以確認這件事情的真偽，
0x00063C  但卻不代表可以解開所有的謎團，
0x00065C  可是我們仍然得去確認，是嗎？
0x00067A  …………
0x000684  …………
0x00068E  從一開始我就認為，
0x0006A2  他不可能是會送來那種信的人。
0x0006C0  艾爾雪。
0x0006CA  也許他正受到了很大的壓力與痛苦吧。
0x0006EE  我是這麼想的。
0x0006FE  …………
0x000708  …………
0x000712  如果他真的是為了要讓我們臣服，
0x000732  而送了那封信過來的話……
0x00074C  應該要在純潔之盾回到安蒂米昂之前，
0x000770  就動手才對吧。
0x000780  ……的確。
0x00078C  …………
0x000796  我很想知道他們的目的究竟是什麼。
0x0007BE  那剛好，其實呢，
0x0007D0  對方指名了要妳跟他們交涉。
0x0007F2  雖然我對沒辦法跟他們交談而感到遺憾……
0x00081A  但是也許對他們來說，
0x000830  重要的並不是我這個賢者吧。
0x00084C  帕彌菈。
0x000856  …………
0x000860  與貝爾鐸可勞的大公殿下的會面，
0x000880  就交給妳負責了。
