0x0004A2  你們現在的心情如何啊，純潔之盾呀。
0x0004C6  希里鄔司•謬斯。
0x0004D8  差不多也該好好確認一下了吧。
0x0004F6  純潔之盾究竟是否有位列四大學級的實力呢？
0x000520  …………
0x00052A  …………
0x000534  唉呀唉呀，你們兩位都需要冷靜一下唷。
0x00055A  可以嗎？
0x000564  不要多管閒事啦，
0x000576  像修貝流士這樣的小國，
0x00058E  沒有資格做這種事情。
0x0005A4  唉唷∼
0x0005AC  你不要老是注意那些無聊的事情嘛。
0x0005CE  倒是呢，你們只不過來了五個人，
0x0005EE  這樣就想打贏我們？
0x000602  …………
0x00060C  無論如何，
0x000618  這都是很輕率的舉動呀，不是嗎∼
0x000638  如果我們全部都一起來，
0x000650  就沒辦法感受你們那微小的實力了。
0x000672  ……很好∼
0x00067E  …………
0x000688  那麼，艾爾雪。
0x000698  如果妳不想跟他們作戰的話，
0x0006B4  是不是現在退下會比較好？
0x0006D4  我是為了戰鬥才加入這裡的。
0x0006F0  怎麼可能會有退縮的理由呢。
0x00070C  那麼，就為我們期待已久的宴會揭開序幕吧。
