0x0004B2  殿下他真的長大了呀……
0x0004CA  ……我也是這麼認為的呀，長老先生。
0x0004EE  …………
0x0004F8  這應該也是上天所指示的道路吧，
0x000518  簡直就像整個心靈都被洗淨了。
0x000536  這種感覺就如同在深遂的霧中迷失，
0x000558  然後被一雙溫柔的手引導出來般幸福。
0x00057C  …………
0x000586  …………
0x000590  唔……
0x000598  那麼，我們不如也追隨純潔之盾吧。
0x0005BA  這一切都是為了支持殿下所走的道路。
0x0005DE  長老……
0x0005E8  然而，
0x0005F0  我卻沒有辦法棄吾師、吾友於不顧。
0x000612  所以我要待在這裡，
0x000626  等待吾友布拉奇•巴圖歸來。
0x000642  …………
0x00064C  ……加德摩斯閣下。
0x000660  過去與殿下一同戰鬥，
0x000676  讓我這把老骨頭度過了許多快樂時光，
0x00069A  在這個橋墩之下，
0x0006AC  沒有辦法忘記的回憶，實在是太多太多。
0x0006D2  那我也要留下。
0x0006E2  …………
0x0006EC  那麼我也是。
0x0006FA  …………
0x000704  昱荻。
0x00070C  派洛斯……
0x000718  抱歉。
0x000720  那我也……
0x00072C  芙莉卡。
0x000736  是的……
0x000740  妳可是逝世的葛斯貝拉德大人的後嗣，
0x00076C  去妳祖父的學友－羽翼之長的身邊。
0x00078E  怎麼這樣……
0x00079C  知道嗎，妳沒有其他方法可以逃避這條路。
0x0007C4  妳不能不支持希里鄔司閣下。
0x0007E0  不動的橋墩的信念，
0x0007F4  將在妳所展示的道路之中。
0x00080E  加德摩斯閣下……
0x000820  知道了嗎，芙莉卡。
0x000834  我們會在這裡保護葛斯貝布洛的基礎。
0x000858  而妳，則要變成那偉大的支柱，
0x000876  支撐著這個愛爾梅納斯。
0x00088E  是的……！！
