0x000780  呼哇∼∼∼∼
0x00078E  不管是什麼時候來這裡，
0x0007A6  總是這麼地令人開心呢∼！！
0x0007C2  一邊泡著溫泉，一邊又可以欣賞美景，
0x0007E6  這真是奢侈的享受呀。
0x0007FC  唉呀唉呀，
0x000808  雖然把大家都放在一邊然後自己跑來這裡，
0x000830  是感覺有點不好意思……
0x000848  但這實在令人太開心啦！！
0x000862  呵，這一點我沒有異議。
0x00087A  喔耶∼∼∼喔，耶∼∼
0x000890  同樣地。
0x00089A  這真是一個好溫泉呢。
0x0008B0  艾∼爾∼雪∼∼∼
0x0008C2  ……嗯？
0x0008CC  好像什∼麼疲勞都可以消除了呢∼∼∼
0x0008F0  嗯嗯，是啊，真的是這樣呢。
0x00090C  妳怎麼好像都沒啥感動的樣子咧∼∼∼
0x000930  才沒有那樣咧……
0x000942  是妳表現得太誇張了啦。
0x00095A  真是讓人受不了呢。
0x00096E  除了妳以外，可是沒有人可以看到的唷∼
0x000994  可是我剛剛是說，我看到之後會覺得很困擾。
0x0009BE  ……妳想看嗎？
0x0009CE  別、別開玩笑了！！
0x0009E2  呼∼∼∼
0x0009EC  我•可•是•很•想•看•唷☆
0x000A0A  住手，不要用那種眼神看著我。
0x000A28  嗚啊啊∼∼我是開玩笑的啊！
0x000A44  把劍收起來啦，拜託拜託啦？
0x000A60  ……不准再有下次囉。
0x000A76  唉唷∼∼∼
0x000A82  明明稍微變溫柔一點就會比較好的∼∼
0x000AA6  啊啊，我這樣就可以了。
0x000ABE  可是呢∼
0x000AC8  這樣不好嗎∼
0x000AD6  ……妳是在說什麼？
0x000AEA  可以和希里鄔司待在一起啊。
0x000B06  這都是託帕彌菈的福啊。
0x000B1E  大概吧。
0x000B28  嗯∼∼∼那∼妳吃醋了嗎？
0x000B42  ……有一點，吧。
0x000B54  雖然他身為謬斯家的嫡子，
0x000B6E  我也希望他變得成熟一點……
0x000B8A  但是從今以後，就不再需要我去保護他了，
0x000BB2  還真有點寂寞呢。
0x000BC4  但就是這樣才更是求之不得啊，不是嗎？
0x000BEA  呵，這倒也是。
0x000BFA  唉呀，看來我泡的太久，頭有點昏了。
0x000C1E  我先起來囉？
0x000C2C  好啊好啊∼妳就先起來吧∼
0x000C46  我可是還要再享受一下唷∼
