0x0006B0  《雖然這麼說，
0x0006C0  　但如果這件事情不能說是不可思議，
0x0006E4  　那麼還有什麼事情算是不可思議的呢。》
0x00070C  怎麼啦，艾爾雪？
0x00071E  奎絲忒……
0x00072A  發生了什麼不開心的事情嗎？
0x000746  不忘掉不開心的事情是不行的唷？
0x000766  謝謝妳，奎絲忒。
0x000778  抱歉，讓妳擔心了。
0x00078C  但是這件事情我不可以忘記。
0x0007A8  嗯∼∼
0x0007B0  本來以為還在聖瑟維艾斯的法娜，
0x0007D0  應該也會在這裡。
0x0007E2  而且殿下，不，希里鄔司後來也來到了這裡。
0x00080C  讓我感覺心情漸漸地開朗了起來。
0x00082C  不管是誰，想事情都不能太鑽牛角尖啊。
0x000858  為什麼啊，艾爾雪，
0x00086C  妳會用「殿下」來稱呼希里鄔司呢？
0x00088E  啊啊……
0x000898  我從小的時候就開始侍奉他了。
0x0008B6  雖然自從來了這裡以後，
0x0008CE  一切的身分關係都不重要了……
0x0008EC  不過，還是有一些習慣沒辦法改變。
0x000914  一旦離開了愛爾梅納斯，
0x00092C  殿下他就是貝爾鐸可勞的支柱，
0x00094A  謬斯大公家的正統繼承人。
0x000964  …………
0x00096E  我是為了保護那繼承偉大的貝爾鐸可勞魔法師
0x000998  之血的殿下，
0x0009A6  而誕生到這個世界上的。
0x0009BE  就算是現在，我也如此地相信著。
0x0009DE  為什麼你們兩個會到這裡來呢？
0x0009FC  因為發生了激烈的戰爭，
0x000A14  在殿下長大成人之前，要在這裡躲避戰禍。
0x000A3C  …………
0x000A46  但是現在可以跟他面對面相處，並桌而坐，
0x000A6E  這樣地一起求學，真的很開心。
0x000A8C  是這樣子啊。
0x000A9A  奎絲忒。
0x000AA4  跟妳在一起的時候，
0x000AB8  我不知不覺間就成了口風不緊的城市女孩呢。
0x000AE2  真是不可思議。
0x000AF2  所以請妳好好打起精神囉？
0x000B0C  嗯嗯。
0x000B14  說不定，本來應該待在純潔之盾的羅沙麗亞•
0x000B3E  奧笛納也是。
0x000B4C  …………
0x000B56  雖然被肉眼不能看見的絲線所操縱，
0x000B78  然而卻還是死命地反抗，
0x000B90  所以才會去帕蘭達因吧。
0x000BA8  我也不可以輸給命運呀。
0x000BC0  是啊！！
0x000BCA  《羅沙麗亞學姊她……去了帕蘭達因！？》
0x000BF2  …………
