0x00086E  老師您是不是也……
0x000882  是不是也有，那個，悲傷的往事呢……
0x0008A6  您有經歷過那種沒辦法跟任何人說的悲傷往事
0x0008D0  嗎……？
0x0008DA  ……嗯嗯，說不定有呢。
0x0008F2  那個……
0x0008FC  雖然我覺得這樣是多管閒事……
0x00091A  雖然我覺得這樣做很粗魯……
0x000936  如果是這樣的話，那就不要做就好啦。
0x00095A  請您不要捉弄我了……
0x000970  我想要問問看老師。
0x000984  老師的……
0x000990  那個、不是，是您的事情……
0x0009AC  一定都是一些很無聊的事情啦。
0x0009CA  可是，對我來說，那個，
0x0009E2  雖然我不是很清楚啦……
0x0009FA  可是，一定是很特別的吧……
0x000A16  …………
0x000A26  對，我都不知道啊……！
0x000A3E  對我來說。
0x000A4A  嗚，我什麼、什麼都不知道呀……！
0x000A6C  瑟希莉絲？
0x000A78  對奧吉爾學長也是……！
0x000A90  對帕彌菈學姊也是……！
0x000AA8  對羅沙麗亞學姊也是……！
0x000AC2  通通都不知道！
0x000AD2  也通通都不想知道！！
0x000AE8  …………
0x000AF2  大家都說要保護純潔之盾。
0x000B0C  我也很希望這樣。
0x000B1E  但是奧吉爾學長走了，羅沙麗亞學姊也走了。
0x000B48  雖然那預知的雙眼中，
0x000B5E  應該看得見應該要怎麼做……
0x000B7A  他們兩個竟然加入了帕蘭達因，
0x000B98  在那不但毀滅了聖瑟維艾斯，
0x000BB4  現在更威脅著純潔之盾安危的帕蘭達因呀！
0x000BDC  …………
0x000BE6  而且，再加上甚至連阻止他們意願都沒有的帕
0x000C10  彌菈學姊，那時候，好討厭……！！
0x000C32  …………
0x000C3C  嗚，可是……
0x000C52  我還是想守護愛爾梅納斯……！
0x000C70  我還是想守護純潔之盾……！
0x000C8C  可是，嗚，要怎麼做才好呢……
0x000CAA  我就是不知道要怎麼做才好呀……！
0x000CCC  …………
0x000CD6  我……
0x000CDE  請您讓我相信您吧……！
0x000CF6  至少，就算只有您可以讓我相信也好……！！
0x000D20  《我一直以為，
0x000D30  　她就像那靜靜地流動的河川一樣……
0x000D54  　然而今晚的這個時候，
0x000D6C  　一直壓抑在她心中的感受，
0x000D88  　讓她煩悶得受不了了嗎……》
0x000DA6  …………
0x000DB0  …………
0x000DBA  妳不但心靈非常純真……
0x000DD2  而且也是個很能忍耐的孩子呢，瑟希莉絲。
0x000DFA  老師……
0x000E04  只要像妳以往一直所做的一樣，
0x000E22  好好地繼續下去就好。
0x000E38  既然妳都能夠走到今天這一步了，
0x000E58  一定也可以繼續下去的。
0x000E70  …………
0x000E7A  懂了嗎。
0x000E84  我是為了要保護妳才待在這個地方的。
0x000EA8  我是為了指導你們、支撐你們，
0x000EC6  才會待在這個地方的。
0x000EDC  老師……
0x000EE6  就算只剩下我一個人也好，
0x000F00  我也會相信您的。
0x000F12  我希望能夠幫上您的忙。
0x000F2A  ……所以，請您指導我該怎麼做吧。
0x000F4C  …………
0x000F56  這是當然的，瑟希莉絲。
0x000F6E  ……老師。
0x000F7A  …………
0x000F84  現在已經很晚了，趕快回去休息吧。
0x000FA6  ……是的。
