0x0008D4  《貝爾鐸可勞的謬斯……
0x0008EC  　為什麼，自從聽到了這句話之後，
0x00090E  　讓我的胸口一直有一種鬱悶的感覺……》
0x000936  《如果連我自己都不能相信自己的話，
0x00095A  　又怎麼能夠被別人相信呢？
0x000976  　然而，無論我怎樣地苦惱，
0x000992  　我也很清楚，
0x0009A2  　這是一個沒有答案的問題。》
0x0009C0  《哪怕是我的一切都已經被破壞了也好，
0x0009E6  　這誓言的枷鎖，
0x0009F8  　仍然會牢牢地把我束縛住吧。》
0x000A18  怎麼了嗎？
0x000A24  妳這表情很久沒有看到過了喔。
0x000A42  這麼陰沉的表情。
0x000A54  希里鄔司•謬斯。
0x000A66  貝爾鐸可勞的大公殿下。
0x000A7E  ……我不想被妳用這種方式稱呼。
0x000A9E  …………
0x000AA8  雖然妳可能不是很清楚吧……
0x000AC4  但那真是一個非常令人討厭的地方。
0x000AE6  我以前可是迫不及待地想要從那個地方逃出來
0x000B14  …………
0x000B1E  但是我現在已經是捨棄了貝爾鐸可勞的謬斯家
0x000B48  家紋的人了。
0x000B56  無論是白天也好，晚上也好，
0x000B72  那些傢伙最喜歡的就只有戰鬥。
0x000B90  那裡有一群擁有著強大力量的魔法師，
0x000BB4  他們的身心都已經腐敗，終日以殺戮為樂。
0x000BDC  他們都很愛護我。
0x000BEE  用他們那染滿鮮血的手來照顧我。
0x000C0E  而我是為了捨棄那裡的一切，
0x000C2A  才來到純潔之盾。
0x000C3C  踐踏了雅斯斐斯北壁的那些人，
0x000C5A  就是你們嗎？
0x000C68  …………
0x000C72  沒辦法對我說不是嗎？
0x000C88  沒辦法對我說那是假的嗎？
0x000CA2  北壁的雪花，妳，難道是……
0x000CBE  我現在在問你，
0x000CCE  是不是你們毀滅了雅斯斐斯！！
0x000CEC  是謬斯家的人嗎……！
0x000D02  是跟你流著相同血液的人們所做的嗎……！！
0x000D2C  …………
0x000D36  這件事情我不知道。
0x000D4A  ……希里鄔司。
0x000D5A  …………
0x000D64  可能是他們做的也說不定。
0x000D7E  可能不是他們做的也說不定。
0x000D9A  但我不是他們。
0x000DAA  …………
0x000DB4  妳問了他這件事之後，打算怎麼辦呢？
0x000DD8  凱洛……
0x000DE2  夏朧，不可以唷。
0x000DF4  好不好？
0x000DFE  ……不行，不是這樣的！！
0x000E18  夏朧……
0x000E22  為什麼。
0x000E2C  為什麼會這樣……
0x000E3E  …………
0x000E48  神呀……
0x000E52  為什麼會這樣……
0x000E64  夏朧……？
0x000E70  不要對我這麼溫柔！！！
0x000E88  …………
0x000E92  不要對像我這樣的人……！！
0x000EAE  抱歉，凱洛特。
0x000EBE  可是，呃，我……！！！
0x000ED6  …………
0x000EE0  我不能不對希里鄔司報復呀……！！
