0x000492  嗯∼∼∼嗯……
0x0004A2  哈啊∼∼∼
0x0004AE  呼咻∼∼∼
0x0004BA  好漂亮的日出……
0x0004CC  不過，以前也曾經看過陰氣沉沉的日出呀……
0x0004F6  現在的夏朧也是。
0x000508  那樣地陰氣沉沉呀……
0x00051E  夏朧呀。
0x000528  她在那雪地中發過誓了。
0x000540  是流出了自己的鮮血而立下的毒誓。
0x000562  所以，那是沒辦法改變的。
0x00057C  絕對是沒辦法改變的。
0x000592  奎絲忒∼∼∼
0x0005A0  拜託妳別這樣講嘛……
0x0005B6  好不好？
0x0005C0  難道沒有什麼我們可以做的事嗎？
0x0005E0  嗯∼∼∼
0x0005EA  不是有一句俗話是說，
0x000600  只要有三人合力的話，就可以……？
0x000622  對，就是那個！！
0x000634  ……嗯，那還少一個人！
0x00064C  要找誰比較好咧？
0x00065E  這個嘛。
0x000668  老師？
0x000670  哪一個？
0x00067A  嗯∼∼∼
0x000684  找最老的？
0x000690  好，就是他！
0x00069E  那麼，有幹勁嗎？
0x0006B6  ……這麼一說咧，奎絲忒。
0x0006D0  啊啊？
0x0006D8  ……我們現在要往哪裡走才好啊？？？
