0x0019F2  ……這是沒辦法逃避的宿命嗎？
0x001A10  再一次想起來吧，那悽慘的雪原呀。
0x001A32  那些引燃地獄火焰的貝爾鐸可勞魔法師呀。
0x001A5A  …………
0x001A64  就像妳曾經經歷過的那些苦難，
0x001A82  妳也要讓那些人也嘗到一模一樣的經歷。
0x001AA8  想起那個誓約、那些話語、那遺憾的心情、
0x001AD0  那冰冷的土地、還有那暴風雪咆哮的聲音。
0x001AF8  我沒辦法……
0x001B06  那麼，這一切就會將妳吞噬。
0x001B22  ……我知道。
0x001B30  但是，我沒有辦法認同。
0x001B48  失去了朋友跟家庭，我曾經感覺，
0x001B68  在這世界上，
0x001B76  已經沒有任何值得我留戀的事物了。
0x001B98  …………
0x001BA2  但就在那個時候，我遇見了凱洛特，
0x001BC4  遇見了瑟希莉絲、遇見了大家，
0x001BE2  然後遇見了希里鄔司。
0x001BF8  為什麼，我……
0x001C08  就算如此，我……
0x001C1A  神哪……
0x001C24  如果你真的存在的話，你真是殘酷呀。
0x001C48  妳要好好掌握住自己的靈魂呀……！
0x001C6A  難道妳想被吞噬嗎！？
0x001C80  那樣也好。
0x001C8C  我已經對什麼都不留戀，
0x001CA4  怎麼樣都沒有關係了。
0x001CBA  不可以！
0x001CC4  不可以這樣就放棄了自己的靈魂呀！
0x001CE6  就算在那冰封的大地上，
0x001CFE  也不要放棄綻放妳的意志呀！！
0x001D1C  北壁的雪花呀，妳怎麼了！？
0x001D38  她已經死了……
0x001D48  我啊，我沒有辦法對希里鄔司復仇……
0x001D6C  沒辦法復仇……
0x001D7C  我曾經希望要有這樣的覺悟，就算要捨棄我所
0x001DA6  有珍視的東西，那也沒有關係。
0x001DC4  …………
0x001DCE  但是，我終究沒辦法做到呀。
0x001DEA  無論是怎樣的誓願也好，
0x001E02  現在都是如此地薄弱。
0x001E18  我已經沒辦法再綻放出什麼了。
0x001E36  夏朧……！
0x001E42  羅沙麗亞……！
0x001E52  妳，難道……
0x001E60  帕彌菈，把希里鄔司帶過來。
0x001E7C  只有希里鄔司，
0x001E8C  才是解開夏朧身上咒縛的關鍵。
0x001EAA  夏朧的，咒縛！？
0x001EBC  希里鄔司正是她的第一步。
0x001ED6  從遙遠的北壁帶著誓願而來的可憐少女，
0x001EFC  她的復仇計畫裡值得紀念的第一步……
0x001F28  她一直都活在向一切復仇的誓言中。
0x001F4A  快點。
0x001F52  如果讓她繼續陷入黑闇中的話，
0x001F70  就再也沒有機會讓她恢復囉！！！
0x001F90  不，不用了，這樣就好了。
0x001FAA  什麼……！？
0x001FB8  妳究竟在慌張些什麼？
0x001FCE  難道，
0x001FD6  妳沒有聽見這個可憐小女孩的心願嗎？
0x001FFA  …………
0x002004  在僅僅八歲的時候，就被奪走了父母，
0x002028  失去了兄長，失去了妹妹，
0x002042  失去了在雅斯斐斯的所有同胞。
0x002060  白銀的城市被貝爾鐸可勞的火焰包圍，
0x002084  民宅被軍靴踐踏摧毀，
0x00209A  結實纍纍的田地被毫無遺漏地蹂躪。
0x0020BC  求救的呼喊在空中虛弱無力地掙扎，
0x0020DE  然後消散，對著賢者們訴說他們的遺憾，
0x002104  與那苦澀大地的冷漠。
0x00211A  在紛飛的冰屑中，一個人茫然地泣訴，
0x00213E  哭泣著，嘶吼著。
0x002150  就算如此，她也沒有放棄生存，
0x00216E  最後來到了這裡。
0x002180  夏朧……！？
0x00218E  那故鄉被業火燒盡的痛苦，妳忘記了嗎？
0x0021B4  連在那萬念俱灰的生活中，
0x0021CE  深刻在心中的痛苦，妳也忘記了嗎？
0x0021F0  …………
0x0021FA  這簡直就是你的寫照不是嗎。
0x002216  這個小女孩的經歷，
0x00222A  正在重蹈你過去人生的覆轍。
0x002246  我有說錯嗎！
0x002254  德涅西亞•露弗鐸可勞！！！
0x002270  你這傢伙……！？
0x002282  以我黑衣施咒者之名……
0x00229A  當妳遵守誓約的時候，幫助妳復仇。
0x0022BC  當妳毀棄誓約的時候，則給予妳永久的咒縛。
0x0022E6  ……烏洛波羅斯。
0x0022F8  雖然令人哀傷，但她沒辦法完成復仇的心願。
0x002322  差那麼一點點，就連誓約都要被破壞了。
0x002348  到時候，我會將那恐怖的黑色咒語灌注到她身
0x002372  體裡，讓她就此魂飛魄散。
0x00238C  就要在這北壁的雪花能夠完全綻放之前……
0x0023B4  父親……？
0x0023C0  老師！！？
0x0023D4  是要遵守誓言，走向復仇的道路呢？
0x0023F6  還是要放棄誓約，讓自己的身心都墮入黑闇，
0x002420  受到那永久的咒縛所控制呢？
0x00243C  無論妳選擇哪一個方向，
0x002454  那都是朝向地獄的道路，再也不能回頭了。
0x00247C  …………
0x002486  無論要花多久的時間，
0x00249C  至少就讓妳好好地掙扎一下吧。
0x0024BA  然後就讓妳在那無可改變的結局中沉睡吧。
0x0024E2  夏朧！？
0x0024EC  唔……
0x0024F4  …………
0x0024FE  …………
0x002508  平靜下來了嗎……
0x00251A  是的……
0x002524  她現在睡得很熟。
0x002536  這孩子現在就跟她剛到這裡的時候一樣……
0x00255E  …………
0x002568  那所謂的黑衣施咒者……
0x002580  以前曾經被稱為學舍的七哲之一？
0x0025A0  愛爾梅納斯在極大的混亂中逮捕了他們，
0x0025C6  而在那之後，
0x0025D4  他們就被關入了不見天日的牢獄中。
0x0025F6  那是我才二十六歲時候的事情了。
0x002616  …………
0x002620  那是我身為熾天使的羽翼，
0x00263A  總是莽撞戰鬥的時代。
0x002650  原來這孩子遇到了他呀。
0x002668  從虛無之中，
0x002676  將混沌召喚到這愛爾梅納斯的黑衣施咒者呀。
0x0026A0  ……不會吧。
0x0026AE  趁著愛爾梅納斯陷入了混沌之中，
0x0026CE  準備實現多年來一直策劃著的復仇嗎？
0x0026F2  竟然有這樣的事情……！
0x00270A  …………
0x002714  老師……
0x00271E  …………
0x002728  ……抱歉。
0x002734  …………
0x00273E  …………
0x002748  只要用我的生命交換，
0x00275E  就可以拯救夏朧了對吧？
0x002776  希里鄔司，你……
0x002788  …………
0x002792  ……現在暫時是那樣的。
0x0027AA  但是，只有這樣是沒辦法完全解決問題的。
0x0027D2  那北壁的誓約，
0x0027E2  是要將你們整個家族血脈都完全斷絕的誓言。
0x00280C  如果夏朧曾經經歷過那樣痛苦的話。
0x00282E  那麼，現在就是輪到我的時候了。
0x00284E  冷靜點，希里鄔司。
0x002862  …………
0x00286C  我要把我的生命獻給她。
0x002884  雖然妳說那不能完全解決問題。
0x0028A2  但是……
0x0028AC  那對我來說一點也不重要。
0x0028C6  希里鄔司……
0x0028D4  別阻止我！！
0x0028E2  我已經說了是我自己想要這麼做！！
0x002904  呼∼∼∼！
0x002910  對，怎樣都可以，怎樣做都沒關係啦！！
0x002936  你也是個賢者對吧！？
0x00294C  …………
0x002956  那滿溢的詠月之泉可以映照人的內心，
0x00297A  從那白皙城砦的深處，
0x002990  可以潛入這少女內心的黑闇之中。
0x0029B0  …………
0x0029BA  詠月之泉……
0x0029C8  為了要斬斷咒縛的根源，
0x0029E0  而必須到那個地方的人，
0x0029F8  通常已經沒有太大的希望了。
0x002A14  …………
0x002A1E  要對付像黑衣施咒者這麼老練的敵人……
0x002A44  您認為這些孩子們做得到嗎？
0x002A60  …………
0x002A6A  為了一個不知道本性如何的孩子，
0x002A8A  就要賭上全體純潔之盾的安危嗎？
0x002AAA  …………
0x002AB4  …………
0x002ABE  不管是誰都好，
0x002ACE  不管事情到底是怎樣都好！！
0x002AEA  難道大家不是一起在愛爾梅納斯共同生活的同
0x002B14  伴嗎！？
0x002B1E  我想要幫助她……！！
0x002B34  …………
0x002B3E  在夏朧破壞了她心中的誓約之前。
0x002B5E  如果這樣就能夠拯救她的話，
0x002B7A  要做什麼我都願意。
0x002B8E  我們能做的，只有埋葬那個以烏洛波羅斯為根
0x002BB8  源的黑闇。至於是否能克服那誓約的咒縛，
0x002BE0  就要看夏朧自己了。
0x002BF4  如果她的心靈能夠聽進朋友的話語，
0x002C16  那麼也許還有機會。
0x002C2A  …………
0x002C34  至少肯定會比什麼都不做要好。
0x002C52  …………
0x002C5C  ……我瞭解了。
0x002C6C  我們要拯救夏朧，
0x002C7E  要驅逐那佔據夏朧心靈的混沌。
0x002C9C  是！！！
0x002CA6  …………
0x002CB0  是的……！
0x002CBC  是！！！
0x002CC6  瞭解。
0x002CCE  加油吧！
