0x0010A2  《我……
0x0010AC  　還活著嗎……》
0x0010BE  沒什麼大問題吧？
0x0010D0  老、老師……
0x0010DE  太好了，妳恢復了……
0x0010F4  啊……
0x0010FC  …………
0x001106  我……
0x00110E  我是……！！
0x00111C  夏朧……
0x001126  沒事了，已經沒事了。
0x00113C  可是，我……
0x00114A  我連老老師都欺騙了……
0x001162  ……那個，我想啊。
0x001176  不管妳對我隱瞞了什麼……
0x001190  總之，
0x001198  妳能夠像現在這樣活著回來真是太好了。
0x0011BE  老老師……
0x0011CA  可以再一次這樣地跟我交談。
0x0011E6  我想，應該沒有比這更令人開心的事情了。
0x00120E  啊……
0x001216  …………
0x001220  …………
0x00122A  ……妳應該知道吧？
0x00123E  凱洛特來這裡的原因呀，
0x001256  就只是為了思念她那已經忘記了長相的祖父。
0x001280  而且她已經不記得有關父母的事情了。
0x0012A4  咦……？
0x0012AE  妳沒辦法瞭解那孩子的心情……
0x0012CC  也不是沒有道理的……
0x0012E2  妳追求的是讓自身的心靈更堅定。
0x001302  所以妳沒有辦法瞭解那孩子豐富的內心。
0x001328  ……怎麼會。
0x001336  就算只有稍微多一點也好。
0x001350  試試看多接近那顆心，多接近那份笑容吧。
0x001378  啊，啊啊……
0x001386  我希望妳能夠克服自己的命運。
0x0013A4  能夠切斷妳身上咒縛鎖鏈的，
0x0013C0  就只有夏朧妳自己了。
0x0013D6  不是其他的任何人，就是妳自己。
0x0013F6  …………
0x001400  《……本來以為，只有我自己是痛苦的。
0x001426  　然而，並不是這樣的。
0x00143E  　老老師告訴了我……》
0x001456  《在凱洛特那溫暖的笑容下，
0x001472  　隱藏著多麼深沉的悲傷。
0x00148C  　我，竟然從來都沒有發現過。》
0x0014AC  《在這裡……
0x0014BA  　有著能讓內心充滿憎恨的人，
0x0014D8  　失去了憎恨理由的那種空虛感……
0x0014FA  　五年前的那一天，因為立下了復仇的誓言。
0x001524  　所以我才能活到今天。》
0x00153E  《我總是向對我這麼好的凱洛特撒嬌，
0x001562  　但是我……
0x001570  　而我竟然都不知道，
0x001586  　不知道凱洛特的心中有那麼深的傷痛。》
0x0015AE  《啊啊。
0x0015B8  　在愛爾梅納斯的邂逅不會只是偶然。
0x0015DC  　我瞭解這是什麼意思了。
0x0015F6  　因為大家都一樣地，
0x00160C  　朝著那遙遠的崇高理想邁進啊。》
0x00162E  《付出自己的真心，
0x001642  　專注地、全力地前進。
0x00165A  　就因為那胸中洶湧的熱血，
0x001676  　不論是內心的迷惑或是混沌的痛苦，
0x00169A  　都可以消除。》
0x0016AC  …………
0x0016B6  真的，這個地方充滿了我不知道的事情。
0x0016DC  …………
0x0016E6  明明就只是很短暫的時間而已。
0x001704  但是沒看到妳那張陰沉的臉的日子，
0x001726  竟然會這麼寂寞，這種事……
0x001742  我從來也沒有想過。
0x001756  希里鄔司……
0x00176C  妳為什麼中途放棄了復仇的念頭呢？
0x00178E  …………
0x001798  我才要問你呢，
0x0017A8  為什麼要走過那麼危險的橋樑呢？
0x0017C8  只要一不小心走歪了，就會死的呀。
0x0017EA  只要能把那個準備吞噬妳靈魂的傢伙打敗，
0x001812  那就足夠了。
0x001820  只要我的這條命可以為妳出一點力的話，
0x001846  那就足夠了。
0x001854  …………
0x00185E  雖然我這樣做了，
0x001870  但是妳所失去的那些重要東西，
0x00188E  卻不可能失而復得。
0x0018A2  不管我做了什麼也好，
0x0018B8  也沒辦法減輕妳心中的痛苦。
0x0018D4  但是，比起什麼都不做，
0x0018EC  我想……還是這樣比較好。
0x001906  希里鄔司。
0x001912  我啊……
0x00191C  沒有辦法瞭解妳的痛苦。
0x001934  但是，如果我喜歡的人到了另一個世界，
0x00195A  因而再也不能相見的話……
0x001974  我會覺得很難過的。
0x001988  …………
0x001992  所以，如果妳真的希望我死的話，
0x0019B2  我也並不會留戀這條性命。
0x0019CC  就隨便妳要殺要剮吧。
0x0019E2  …………
0x0019EC  怎麼了嗎……？
0x0019FC  在妳心中燃燒的仇恨，難道就到此為止了嗎？
0x001A26  …………
0x001A30  復仇啊……
0x001A3C  我已經忘記了……
0x001A4E  …………
0x001A58  但是為了讓世界上不再有……
0x001A74  那些經歷與我同樣悲慘命運的靈魂。
0x001A96  我希望總有一天，
0x001AA8  我要斬斷那些邪惡的罪業、
0x001AC2  邪惡的道路以及混沌。
0x001AD8  …………
0x001AE2  還是說，你覺得我把這些事情也全都忘記，
0x001B0A  這樣會比較好呢？
0x001B1C  不會吧。
0x001B26  為什麼這些事情要問我的意見呢？
0x001B46  希里鄔司。
0x001B52  …………
0x001B5C  那是因為我覺得你是我重要的朋友。
0x001B7E  所以我想聽聽你的意見。
0x001B96  ……無論是什麼時候都可以跟我說。
0x001BB8  那時候，我一定會幫助妳的。
0x001BD4  …………
0x001BDE  ……夏朧。
0x001BEA  笨蛋。
0x001BF2  嗚，你這個笨蛋。
0x001C04  你根本就是個大笨蛋……！
0x001C1E  把眼淚擦一擦吧。
0x001C30  ……可惡。
0x001C3C  看來好像是我把妳惹哭了。
0x001C56  那你就讓我自己一個人哭下去吧。
0x001C76  就算你都不管，我也會自己停下來的，
0x001C9A  總有一天會。
0x001CA8  …………
0x001CB2  只有現在，我最想看到的，
0x001CCC  就是你覺得苦惱的表情。
0x001CE4  …………
0x001CEE  …………
0x001CF8  嗯嗯，好啦，我知道了。
0x001D10  既然這是我們兩個人之間的秘密，
0x001D30  那就扯平啦。
0x001D3E  …………
0x001D48  無論是我體內流動的污穢血統。
0x001D66  還是妳的眼淚。
