0x00040C  利用了夏朧身上咒縛的黑衣施咒者，
0x00042E  叫做烏洛波羅斯。
0x000440  既然愛爾梅納斯還沒有被毀滅，我推測，
0x000466  他真正的力量應該還是在被封印的狀態下。
0x00048E  竟然利用別人的誓言呀，
0x0004A6  他做事的手段真是卑劣。
0x0004BE  …………
0x0004C8  在羅亞爾•聖提淪陷之後，
0x0004E2  黑衣的施咒者馬上就出現了……
0x000500  …………
0x000512  這些被囚禁的人們，
0x000526  到底是受到混沌的力量幫助他們解開了束縛，
0x000550  還是……
0x00055A  …………
0x000564  雖然我們不清楚「匍伏蔓延而來之物」對愛爾
0x00058E  梅納斯的企圖究竟是什麼……
0x0005AA  但它們在侵略的途中，
0x0005C0  到底有沒有順便解開那些被囚禁的施咒者的鎖
0x0005EA  鏈呢？
0x0005F2  …………
0x0005FC  我想，它們恐怕是欣喜若狂地把那些囚禁者從
0x000626  牢房裡給放了出來吧。
0x00063C  …………
0x000646  從羅亞爾，聖提的深處，
0x00065E  那些傢伙們蜂擁而出。
0x000674  …………
0x00067E  無論是在地上、地下、城牆中、城堡裡……
0x0006A6  它們出沒在散置各地的祕寶收藏處，
0x0006C8  以及那些封鎖邪惡的鎖鏈旁。
0x0006E4  像烏洛波羅斯這樣的人，
0x0006FC  究竟還有多少呢？
0x00070E  據我所知，被稱為黑衣七哲的那些人，
0x000732  名位都很高，
0x000740  烏洛波羅斯也是其中的一個。
0x00075C  …………
0x000766  那也就是說，像他這樣的人還有六個囉……！
0x000790  賢者的圓桌之所以會容許帕蘭達因的專橫，
0x0007B8  也許正是因為預見了這樣的事情吧。
0x0007DA  ……如果集結十二王杯，
0x0007F2  消除黑闇是帕蘭達因的使命。
0x00080E  …………
0x000818  那麼，要討伐那些阻撓修奈鐸的黑衣施咒者，
0x000842  就確實是我們純潔之盾的責任了。
0x000862  ……無論他過去曾經做過些什麼嗎？
0x000884  ……無論他過去曾經做過些什麼。
0x0008A4  …………
0x0008AE  …………
