0x000C9C  唉呀，你來迎接我的時機還抓得真是準呀。
0x000CC4  雖然到了最後，還是不能再見到奧爾菲，
0x000CEA  而讓我感到很遺憾。
0x000CFE  但是，我卻見到了你。
0x000D14  讓我可以很驕傲地說，大家都是我的學生，
0x000D3C  這比什麼都令我開心。
0x000D52  而且大家也的確把我視為老師來尊敬。
0x000D76  像這樣的人生，真是令人感到滿足，
0x000D98  那就是我現在的想法。
0x000DAE  我想……是沒有比這還要令人開心的事情了。
0x000DD8  我要好好地感謝你呀，我的愛徒。
0x000DF8  這樣……就算哪天我的生命走到了盡頭，
0x000E1E  我也不會有所悔恨了。
0x000E34  老師呀，請您千萬不要說這樣的話。
0x000E56  一切都才正要開始而已。
0x000E6E  呼哈哈，的確是呢。
0x000E82  應該還有一些我這把老骨頭能做的事情吧。
0x000EAA  你這傢伙可不要讓我太閒散了呀。
0x000ECA  那從今以後也請您多多幫忙了。
0x000EE8  喔喔，彼此彼此呀。
0x000EFC  我的女兒就麻煩你照顧了。
0x000F16  純潔之盾也麻煩你照顧了。
0x000F30  趕快一起過去吧。
0x000F42  大家可都在等你這位主客呀。
0x000F5E  呼嗯。
0x000F66  那麼，另外一位主客現在還沒到嗎？
0x000F88  別擔心，她一定會來的，馬上就到。
0x000FAA  嗯嗯，那就好。
0x000FBA  各位從那遙遠的大地，
0x000FD0  帶著各自的思念，來到這裡。
0x000FEC  應該也有時候會不由自主地想起故鄉吧。
0x001012  應該也有些時候會感覺萬念俱灰吧。
0x001034  雖然如此，在這個時候，
0x00104C  我要致上衷心的謝意，
0x001062  因為你們各位願意留在這裡。
0x00107E  為了將來有一天能夠成為賢者，
0x00109C  到世界各地去旅行。
0x0010B0  總有一天將會和大家勞燕分飛，
0x0010CE  但是在那離別、苦難、悲傷之中，
0x0010EE  我也絕對不會忘記大家的笑容。
0x00110C  我們並不是為了要各自分散而聚在一起。
0x001132  雖然可能無法再見面，也無法再交談，
0x001156  然而，如果我們的思念重合，
0x001172  一同想起那過去共同度過的日子，
0x001192  那就能夠算是重逢了。
0x0011A8  所以，至少在那即將會到來的別離之前。
0x0011CE  讓我們聚在一起。
0x0011E0  …………
0x0011EA  邂逅、互相扶持、然後前進。
0x001206  貫徹那毫不迷惘的信念。
0x00121E  在那不斷凝視著的每一天，
0x001238  我知道她會在那未知的道路上，
0x001256  受到別人的幫助。
0x001268  還有她下定決心要去追求目標的事情，
0x00128C  這一切我都知道。
0x00129E  …………
0x0012A8  …………
0x0012B2  …………
0x0012BC  啊……
0x0012C4  ……老師！！
0x0012D2  大家……！！
0x0012E0  歡迎回來，瑟希莉絲。
0x0012F6  歡迎回來。
0x001302  妳回來了真好。
0x001312  歡迎回來！！
0x001320  歡迎！！
0x00132A  …………
0x001334  歡迎回來，瑟希莉絲。
0x00134A  去郊遊回來了嗎。
0x00135C  歡迎。
0x001364  歡迎回來，瑟希莉絲小姐。
0x00137E  …………
0x001388  嗯，我回來了……！！
0x00139E  大家對不起……
0x0013AE  也謝謝大家……！！
0x0013C2  …………
0x0013CC  老師，我回來了……！
0x0013E2  嗯嗯，歡迎回來。
0x0013F4  …………
0x0013FE  喔喔，喔喔。
0x00140C  妳的眼神好像燃燒起來了呢。
0x001428  在像今天這樣的日子裡，要再一次這樣地聚在
0x001452  一起，恐怕也沒有什麼機會了，
0x001470  這樣的聚會，真的是很難得呀。
