0x00181A  能夠這樣地迎接新的一年……
0x001836  能夠這樣地跟你交談，真是幸運呀。
0x001858  修奈鐸•華倫斯提……
0x00186E  終於能夠和你見面了。
0x001884  …………
0x00188E  …………
0x001898  如果可以的話，真希望可以早點跟你碰面。
0x0018C0  …………
0x0018CA  ……能夠見到羽翼之長，我也很榮幸呀，
0x0018F0  您看起來也很有精神的樣子，
0x00190C  真是令人高興。
0x00191C  …………
0x001926  …………
0x001930  …………
0x00193A  我們彼此都走了好長的一段路才來這裡，
0x001960  兩條路之間也曾經有無法接受的歧異。
0x001984  既然是身在眺望萬物的尖塔……
0x0019A2  不，就因為我們擅長於言靈。
0x0019BE  反而使得我們所要走的道路更加辛苦，
0x0019E2  就連此時要好好接待各位的餘裕都沒有了呀。
0x001A0C  …………
0x001A16  聖瑟維艾斯的罪，無論是哪一項，
0x001A36  都沒有成立。
0x001A44  我想……這就是我們之間最大的誤解了。
0x001A6A  ……也就是說，他們都是無辜的。
0x001A8A  是啊。
0x001A92  這件事情就讓它這樣地結束吧。
0x001AB0  …………
0x001ABA  …………
0x001AC4  ……大家都平安無事。
0x001ADA  這樣就好了。
0x001AE8  …………
0x001AF2  …………
0x001AFC  那十二王杯呢？
0x001B0C  很快地，它們就會通通被收集到我們眺望萬物
0x001B36  的尖塔了。
0x001B42  …………
0x001B4C  帕蘭達因將會消除混沌，
0x001B64  只有這件事是我們所希望的。
0x001B80  那麼……
0x001B8A  純潔之盾就會支持你們。
0x001BA2  非常感謝。
0x001BAE  …………
0x001BB8  …………
0x001BCA  …………
0x001BD4  巴雷歐斯荒原的風開始狂暴了起來。
0x001BF6  而我們所能看見的預兆，是蛇……
0x001C16  出現了兩頭一尾的蛇……
0x001C2E  在遙遠的過去就已經死亡的，
0x001C4A  荒涼原野的主人……
0x001C5E  封印在白皙城砦裡的「灼炎」博亞鐸拉，
0x001C84  現在已經以殘骸的形象復活了，對吧。
0x001CA8  …………
0x001CB2  「匍伏蔓延而來之物」以及黑衣施咒者，
0x001CD8  他們重新賦予那些只有在古書裡才能看到的怪
0x001D02  物生命。
0x001D0C  ……可見他們的實力真的是深不可測。
0x001D30  ……既然連「雙頭龍」迪布羅瑪都要復活了，
0x001D5A  為什麼還要找純潔之盾來擔當這個重責大任呢
0x001D88  發生了這樣的情況，
0x001D9C  相信你也想去見識一下吧。
0x001DB6  雖然你們也許不能信任我……
0x001DD2  …………
0x001DDC  …………
0x001DE6  但聖瑟維艾斯與葛斯貝布洛就更不會了。
0x001E0C  現在我們也只能依靠你們了。
0x001E28  …………
0x001E32  …………
0x001E3C  只要迪布羅瑪輕輕揮動它那八片翅膀中的一片
0x001E66  ，就可以輕易地飛越高山，
0x001E80  如果它真的復活了，
0x001E94  我想我們根本沒有辦法可以阻止它。
0x001EB6  如果你們也相信這個傳說的話……
0x001ED6  就請你們在它復活之前，用魔法降服它吧。
0x001EFE  …………
0x001F08  …………
0x001F12  雖然說這麼講真的很誇張……
0x001F2E  但是，我們為了尋找最後的王杯，
0x001F4E  已經用盡了所有的力量，在帕蘭達因裡，
0x001F74  已經沒有任何一個人有餘裕去處理其他事情了
0x001FA2  …………
0x001FAC  無論如何，你也不希望純潔之盾失敗。
0x001FD0  沒錯吧？
0x001FDA  …………
0x001FE4  …………
0x001FEE  我想，眺望萬物的尖塔的考量，
0x00200C  我是可以理解的。
0x00201E  …………
0x002028  純潔之盾將會擔下平定那狂亂暴風的任務。
0x002050  非常感謝您的幫助……
0x002066  在這裡，我也先向純潔之盾的孩子們道謝。
0x00208E  …………
0x002098  …………
0x0020A2  希望你的任務一切順利。
0x0020BA  彼此彼此。
0x0020C6  彼此彼此。
0x0020D2  但願，我們能在安穩的春天，
0x0020EE  安寧的學舍裡，有機會再度相逢……
0x002110  ……這樣真的好嗎？
0x002124  難道就不幫聖瑟維艾斯報仇了嗎？
0x002144  …………
0x00214E  ……只要聖瑟維艾斯的大家都平安無事的話，
0x002178  要怎麼處置帕蘭達因，我一點意見都沒有。
0x0021A0  帕蘭達因將會驅散混沌。
0x0021B8  而我們，則會成為保護他們的盾。
0x0021D8  壓制黑衣施咒者的任務，
0x0021F0  將會成為拯救愛爾梅納斯的關鍵。
0x002210  …………
0x00221A  …………
0x002224  …………
0x00222E  為什麼呢？
0x002240  為了拯救愛爾梅納斯，而收集王杯的事情。
0x002268  因為聖瑟維艾斯的拒絕，而強取豪奪的事情。
0x002292  到最後，竟然會變成了對的選擇。
0x0022B2  …………
0x0022BC  雖然如此，但帕蘭達因所經過的地方……
0x0022E2  卻充滿了悲傷的淚水……
0x0022FA  連絲毫的微笑也未曾浮現……
0x002316  難道，
0x00231E  這就真的是愛爾梅納斯所希望的嗎？
0x002340  這麼一說，倒不如去帕蘭達因一趟，
0x002362  這樣就可以弄清楚了吧。
0x00237A  妳不要老是說一些笨話嘛。
0x002394  我決定要去了。
0x0023A4  我要去帕蘭達因一趟。
0x0023BA  這樣也好。
0x0023C6  既然妳已經決定了，那就去吧。
0x0023E4  喂等等呀，帕彌菈！？
0x0023FA  …………
0x002404  帕彌菈，妳……
0x002414  帕彌菈學姊……！？
0x002428  抱歉了，希里鄔司。
0x00243C  抱歉了，大家。
0x00244C  不過，這件事我已經決定了。
0x002468  我決定要去帕蘭達因了。
0x002480  ∼∼∼！？
0x00248C  …………
0x002496  帕彌菈學姊……
0x0024A6  …………
0x0024B0  …………
0x0024BA  嗚喂∼∼∼∼∼
0x0024CA  唷∼∼∼∼∼
0x0024D8  …………
0x0024E2  …………
0x0024EC  為什麼……？
0x0024FA  帕彌菈學姊，為什麼……
0x002512  你已經長大了呢。
0x002524  不，所有在純潔之盾裡求學的人，
0x002544  大家都已經長大了。
