0x000B60  啊∼∼結果啊，全部都變成這樣了。
0x000B82  也就是說……
0x000B90  我們繼承了對抗黑衣施咒者的任務囉？
0x000BB4  ……嗯嗯。
0x000BC0  失去了白銀的薔薇……
0x000BD6  帕蘭達因還真是讓我們撲空了呢。
0x000BF6  修奈鐸說的是對的，真的，
0x000C10  我們還真的見識到了不少東西呢。
0x000C30  …………
0x000C3A  但是，這樣做究竟正不正確呀……
0x000C5A  連我都開始不能確定了。
0x000C72  …………
0x000C7C  我想……
0x000C86  不管有什麼理由也好，
0x000C9C  如果心裡想著要去做某件事，但又不去動手，
0x000CC6  那麼，又要等到什麼時候再來做呢？
0x000CE8  無論什麼事情，
0x000CF8  總會有想要分辨出它是好是壞的時候，
0x000D1C  這就是人性哪……
0x000D2E  雖然如此，但無論是誰，
0x000D46  如果可以的話，
0x000D56  應該都想活得像老師一樣那麼長壽吧。
0x000D7A  羅弗利……
0x000D86  喂喂，正在等你的人，
0x000D9C  可是已經聚集了一大群呀，
0x000DB6  我們還是趕快過去吧。
0x000DCC  …………
0x000DD6  走了呢。
0x000DE0  ……原來是這麼地重要嗎。
0x000DFA  她在這裡的地位。
0x000E0C  如果你會擔心帕彌菈的話，
0x000E26  那麼，你也一起去帕蘭達因不就好了嗎？
0x000E4C  誰要去像帕蘭達因那樣腐敗的地方呀……！
0x000E7A  什麼啦……！
0x000E88  你會這樣說，我是可以理解你的心情啦。
0x000EAE  ∼∼∼！
0x000EB8  真的好嗎！？
0x000EC6  真的，這樣就好了嗎……！？
0x000EE2  帕彌菈學姊也有她必須要完成的事情呀。
0x000F08  如果連我們都不相信她，
0x000F20  那又有誰會相信她？
0x000F34  就像這樣地什麼事情都不做，
0x000F50  妳覺得那也能叫做信任的表現嗎！？
0x000F72  妳對帕彌菈的關心，
0x000F86  就只有到這種程度而已嗎！？
0x000FA2  那麼，你又打算怎麼辦呢？
0x000FBC  帕蘭達因所要完成的任務，
0x000FD6  不就是收集十二王杯嗎……！？
0x000FF4  但因為聖瑟維艾斯拒絕合作，
0x001010  就被他們攻陷的這件事，又要怎麼解決！？
0x001038  …………
0x001042  我所信任的白銀薔薇，
0x001058  她的真面目到底是什麼……！？
0x001076  我想要弄清楚呀……！！
0x00108E  我想要弄清楚她究竟是好是壞呀……！！
0x0010B4  希里鄔司……
0x0010C2  就算要跟她戰鬥也在所不惜？
0x0010DE  總之，我就是不能忍受什麼事情都不做呀！
0x001106  …………
0x001110  這個賭注可是很危險的。
0x001128  重要的並不是勝負將會如何。
0x001144  重要的是，要不要去做。
0x00115C  夏朧……
0x001166  老師……！
0x001172  拜託您了……！！
0x001184  …………
0x00118E  …………
0x001198  …………
0x0011A2  《比起什麼都不做而空自悔恨，
0x0011C0  　還寧可選擇做了之後再去後悔嗎？
0x0011E2  　要讓他去試試看嗎，或者……》
0x001202  那麼，妳覺得怎麼樣咧，瑟希莉絲。
0x001224  …………
0x00122E  ……咦？
0x001238  現在純潔之盾裡，年資最長的成員，
0x00125A  就是妳了呀，瑟希莉絲。
0x001272  啊……
0x00127A  …………
0x001284  …………
0x00128E  老師……
0x001298  嗯嗯。
0x0012A0  ……那麼我們就試試看吧。
0x0012BA  …………
0x0012C4  …………
0x0012CE  就讓我們去驅散那瀰漫在心中的迷霧吧。
0x0012F4  我瞭解了。
0x001300  然後，最後一定要拯救這愛爾梅納斯。
0x001324  是的。
0x00132C  一定會的。
