0x00054C  老師。
0x000554  《這一刻……
0x000562  　果然還是來了嗎。》
0x000578  老師？
0x000580  請進。
0x000588  …………
0x000592  老師……
0x00059C  第十三王杯是什麼東西？
0x0005B4  ……那是在九年前失落的，最後的王杯。
0x0005DA  它擁有什麼能力？
0x0005EC  可以消除混沌……？
0x000600  …………
0x000610  那是可以讓人隨心所欲的東西，
0x00062E  無論是混沌、秩序、光明、黑闇……
0x000650  不管是什麼樣的願望，都可以實現的東西。
0x000678  什麼樣的願望都可以實現……？
0x000696  …………
0x0006A0  如果「匍伏蔓延來而之物」想要毀滅愛爾梅納
0x0006CA  斯的話……
0x0006D6  那也可以實現他們的心願。
0x0006F0  怎麼會……！
0x0006FE  這麼說的話……
0x00070E  帕彌拉學姊她……！？
0x000724  愛爾梅納斯，危險了……
0x00073C  老師！！
0x000746  老師！！
0x000750  …………
0x00075A  嗯嗯，出發吧。
0x00076A  去完成大家的心願吧。
