0x0004FC  看來，你比較喜歡自己一個人獨處呢。
0x000520  ……修奈鐸先生。
0x000532  我本來還以為你會是更熱絡的人呢。
0x000554  抱歉。
0x00055C  …………
0x000566  如果能早一點理解這些事情的話，也不會……
0x000590  不，也不見得就會比較好。
0x0005AA  就因為一切發展成現在這樣，
0x0005C6  所以大家還是要朝著不同的方向努力……
0x0005EC  這樣，我們才能夠像今天一樣地再次見面呀。
0x000616  現在，你也這樣地相信嗎？
0x000630  呵……
0x000638  追求著理性的帕蘭達因，
0x000650  應該沒有辦法對抗第十三王杯吧。
0x000670  …………
0x00067A  我總是不體諒孩子們的想法……
0x000698  只是要他們走上那已經決定好、
0x0006B6  最有效率的道路。
0x0006C8  我只不過是一直在做這樣的算計而已。
0x0006EC  …………
0x0006F6  「匍伏蔓延而來之物」是愛爾梅納斯的病魔…
0x000720  她竟然會想要結束自己的生命……
0x000740  這些都是我從來沒有想到的事情。
0x000760  …………
0x00076A  再加上，既然第十三王杯會對強烈的思念有所
0x000794  反應。
0x00079C  那麼，從我們帕蘭達因口中所發出的言靈，
0x0007C4  說不定會有反效果吧。
0x0007DA  修奈鐸先生。
0x0007E8  是的。
0x0007F0  生命的法燈即將要毀滅的時候是……？
0x000814  ……當天空中的光輝都消失的時候。
0x000836  毀滅將會從那深沉黑夜的彼方而來。
0x000858  …………
0x000862  就像黑衣施咒者們墮入黑闇中的日子一樣……
0x00088C  在三月的第四週。
0x00089E  那一天將會是「匍伏蔓延而來之物」的目標吧
0x0008CC  還剩下兩個月……
0x0008DE  …………
0x0008E8  在那之前，
0x0008F4  在毀滅「匍伏蔓延而來之物」之前，
0x000916  我希望能好好地磨練我們的心靈和戰技……
0x00093E  那麼，要前往深沉的迷宮所做的準備，
0x000962  做得如何了？
0x000970  或者是……
0x00097C  是要前往那廣大的圖書館而所做的準備？
0x0009A2  ……現在，就算要立刻出發也可以。
0x0009C4  那麼，我們就開始吧。
0x0009DA  開始那在無謀與勇氣之間的戰鬥。
0x0009FA  …………
0x000A04  希望你的領導，
0x000A14  永遠都不要有任何的迷惘與遲疑……
0x000A36  …………
0x000A40  那麼，既然你決定要去了，
0x000A5A  就盡情地好好發揮吧。
