0x000D0C  現在，到今天為止，
0x000D20  你們已經持續地努力了很久。
0x000D3C  持續努力地前進。
0x000D4E  從今以後，你們應該也能夠繼續下去吧。
0x000D74  我希望你們為了自己，
0x000D8A  同時，也是為了其他人，
0x000DA2  燃燒自己的生命去前進。
0x000DBA  先是與你們相逢，然後是別離……
0x000DDA  我能夠與你們邂逅，真的感覺非常幸福。
0x000E00  回想起來，就算是那些辛苦的日子，
0x000E22  現在也都能令人感覺很溫暖。
0x000E3E  你們能夠瞭解這種感覺嗎？
0x000E58  而那不斷地朝你們迎來的每一個日子，
0x000E7C  都是不會再來第二次的。
0x000E94  所以，至少就對你們心中暗藏的心願立誓，
0x000EBC  然後前進吧。
0x000ECA  無論結果會如何也好。
0x000EE0  我都希望你們繼續向前。
0x000EF8  ……謝謝您，老師。
0x000F0C  謝謝您為我取了這麼好的名字。
0x000F2A  您曾經對我這麼地愛護，我永遠也不會忘記。
0x000F54  雖然心中也不免感到痛苦，
0x000F6E  但是我真的，真的感覺非常地快樂。
0x000F90  …………
0x000F9A  謝謝您，老師。
0x000FAA  感謝您給了我這麼美好的回憶。
0x000FC8  我曾經懦弱、優柔寡斷，做事情也慢吞吞的。
0x000FF2  但是老師您仍然願意相信我。
0x00100E  真的令我很開心。
0x001020  …………
0x00102A  奎絲忒……
0x001036  伊里安……
0x001042  希望那慈愛的風，
0x001054  吹拂在那正要展翅起飛的孩子們的羽翼上！！
0x00107E  希望你們有一天，能夠這樣地在理想中翱翔。
0x0010A8  我願意忍耐這彷彿要將我撕裂的離別日子，
0x0010D0  關心、祝福你們，並且為你們的旅途祈禱。
0x0010F8  …………
0x001102  然後，我會把和你們再度相逢的事情，
0x001126  當作我一生的回憶。
0x00113A  我真的是很幸福呀。
0x00114E  老師……
0x001158  我是這麼地愛著你們，當然也不求你們回報。
0x001182  那麼，就把一切都拋在腦後，
0x00119E  賭上你們生命裡的所有。
0x0011B6  踏出這一步吧，踏出這小小的一步……！
0x0011DC  而那個時候，也就是你們畢業的時候了。
0x001202  ∼∼∼！！
0x00120E  …………
0x001218  別這樣說呀，老師。
0x00122C  雖然我待在這裡的時間很短，
0x001248  但是我真的很快樂。
0x00125C  如果是為了您的話，
0x001270  我法娜•修貝流士願意奉獻我的生命。
0x001294  法娜……
0x00129E  …………
0x0012A8  我艾爾雪•貝爾薩對此也毫無異議。
0x0012CA  老師，真的非常感謝您。
0x0012E2  我想做的事情其實就是這樣。
0x0012FE  這是為了你、為了大家，
0x001316  而且也是為了愛爾梅納斯。
0x001330  …………
0x00133A  我帕彌菈•露弗鐸可勞，
0x001352  也將會付出我生命中的一切。
0x00136E  我將盡力到生命終結為止。
0x001388  為了要成為那對立的人們之間的橋樑。
0x0013AC  就算心靈會因為痛苦而碎裂。
0x0013C8  就算敗倒在泥濘之中，
0x0013DE  無論身在何處也要繼續奮鬥。
0x0013FA  因為我跟大家在一起。
0x001410  也因為有您的存在。
0x001424  …………
0x00142E  前進吧。
0x001438  然後，要活著回來，一定。
0x001452  雖然這裡不是我出生的所在。
0x00146E  然而愛爾梅納斯是我成長的地方。
0x00148E  而且您也曾經這樣用心地指導過我。
0x0014B0  …………
0x0014BA  妳聽見了嗎，愛爾梅納斯！！
0x0014D6  這些孩子們的心聲呀！！
0x0014EE  深信著你的這些孩子們的心聲呀！！
0x001510  …………
0x00151A  我希望妳能夠再一次地包容……
0x001538  這些在愛爾梅納斯努力求學的孩子們呀……
0x001560  拜託妳了。
0x00156C  希望這份願望可以傳達給妳……！
0x00158C  那麼，就準備決戰吧……！
0x0015A6  我要對各位在這場戰役中豁出一切奮鬥的畢業
0x0015D0  生們說：
0x0015DA  大家都要活著回來。
0x0015EE  都要帶著笑容一起回來。
0x001606  是！！！
0x001610  是！！！
0x00161A  是！！！
0x001624  是！！！
0x00162E  是！！！
0x001638  是！！！
0x001642  …………
0x00164C  是！！！
0x001656  是！！！
0x001660  是！！！
0x00166A  是！！！
0x001674  是！！！
0x00167E  是！！！
