0x000EF0  畢業生致詞。
0x000EFE  在這度過了寒冬的學舍，
0x000F16  飛舞的鳥兒啼叫的藍天下，
0x000F30  沐浴在天賜恩惠的這一天裡。
0x000F4C  青草的綠意也正在萌發，
0x000F64  溫柔地包圍著我們的雙腳。
0x000F7E  現在，讓我們回憶一下。
0x000F96  是的，我們並沒有那種……
0x000FB0  快樂到無論是誰聽見了也會立刻露出微笑的回
0x000FE0  …………
0x000FEA  只有那些每天都辛苦努力，
0x001004  連彎下腰休息片刻都沒有辦法的無數歲月。
0x00102C  就算是在那聆聽傳說的熱鬧祭典裡，
0x00104E  合唱時也沒有餘裕去感受那種感動。
0x001070  說到出外旅行的話，
0x001084  也只有帶著武器出外行軍的經驗。
0x0010A4  拉動那鳴響的弓弦，
0x0010B8  用徹底鍛鍊過的魔法互相競爭，
0x0010D6  以行雲流水般的劍術對決。
0x0010F0  但是，就算是這樣也好。
0x001108  嗯嗯，這樣真的很好。
0x00111E  為什麼呢？　因為我們知道。
0x00113A  在那種生活裡，有我們要學習的道理。
0x00115E  也曾經被優秀的老師指導過。
0x00117A  而且，有著無可取代的朋友們，
0x001198  現在也還對著我們微笑。
0x0011B0  那喜歡格言的奈比洛斯老師。
0x0011CC  曾經不知道多少次讓我們在他的教誨中嘆服。
0x0011F6  …………
0x001200  帕佩修老師。
0x00120E  在藥草學的課程中，總是帶著我們東跑西跑。
0x001238  說到羅弗利老師，
0x00124A  雖然我覺得他好像老是被別人責怪……
0x00126E  不過我們拜託你，從今以後，
0x00128A  還是稍微正經一點，
0x00129E  多回答一下學生的問題好嗎？
0x0012BA  德涅西亞老老師。
0x0012CC  我們大家的溫柔老爺爺。
0x0012E4  在那嚴厲的臉上有著佈滿皺紋的微笑、
0x001308  英氣凜凜的鬍髭和閃爍光芒的眼神。
0x00132A  然後，所有的老師們呀。
0x001342  真的一直承蒙你們照顧了。
0x001364  把這麼美好的愛爾梅納斯深藏在回憶中，
0x00138A  我們要出外旅行了。
0x00139E  …………
0x0013A8  雖然曾經那樣地痛苦、那樣地辛酸，
0x0013CA  無論怎樣去回憶，
0x0013DC  幾乎都沒有什麼快樂的事情。
0x0013F8  然而，日後會想起的，
0x00140E  就只有那震撼我們心靈的鼓動。
0x00142C  老師曾經說過：
0x00143C  「不論是誰也背負著自己的痛苦與悲傷。」
0x001464  在這條路上前進……
0x001478  當然會有痛苦。
0x001488  也會有悲傷。
0x001496  然而，不意間回頭一看，
0x0014AE  才發現我們曾經走過的道路，
0x0014CA  是受到了多少的恩惠呀。
0x0014E2  沒有可以引導自己的老師、
0x0014FC  沒有能夠互相交心的朋友、
0x001516  同時也無法發現自己信念的人，
0x001534  當然也有他們自己的人生。
0x00154E  …………
0x001558  但是，我想傳達給大家知道，
0x001574  在愛爾梅納斯所邂逅的這份思念。
0x001594  將它傳達到以後即將相逢的，
0x0015B0  那一個嶄新的世界。
0x0015C4  今天，就在今天，
0x0015D6  我們將第一次離開愛爾梅納斯，
0x0015F4  展翅飛向外面的世界。
0x00160A  懷抱著在學舍中經歷的不安、憧憬、熱情，
0x001632  再一次地擁抱那純真的思念，
0x00164E  全心全意地前進。
0x001660  這一份恩情、過去的那些時光、
0x00167E  還有那引導我們的溫暖雙手，
0x00169A  這一切我們都不會忘記。
0x0016B2  曾經在愛爾梅納斯求學的過去，
0x0016D0  我們絕對不會忘記。
0x0016E4  …………
0x0016EE  …………
0x0016F8  …………
0x001702  …………
0x00170C  …………
0x001716  …………
0x001720  …………
0x00172A  …………
0x001734  …………
0x00173E  …………
0x001748  …………
0x001752  …………
