0x00030E  剛剛我們收到了薛莉爾傳來的言靈，
0x000330  她說她在巴洛斯隘口被困住了。
0x00034E  …………
0x000358  …………
0x000362  與地底深處的黑闇相隔遙遠的山中隘口，
0x000388  並不是永遠都可以保持安全的哪。
0x0003A8  如果我們能夠瞭解「匍伏蔓延而來之物」的想
0x0003D2  法的話，
0x0003DC  就不用這麼辛苦了呢。
0x0003F2  如果聖瑟維艾斯之長還在的話，
0x000410  她想要來艾爾貝洛瓦，
0x000426  應該也不是什麼難事呀……
0x000440  但是現在她也沒有辦法去幫助那個孩子了，
0x000468  所以薛莉爾才會對我們發出言靈呀。
0x00048A  聽呀，我的朋友。
0x00049C  那就好像幼犬在求救的聲音，
0x0004B8  真是微弱的言靈呀。
0x0004CC  …………
0x0004D6  …………
0x0004E0  就算那裡有守護塔與聖者之泉在，
0x000500  但也不是任何人就可以隨隨便便地啟動它們。
0x00052A  除了點燃那守護塔與聖者之泉的火光以外，
0x000552  要打開長距離的傳送門，
0x00056A  也只有四大學級之長才擁有這個力量。
0x00058E  但是，那孩子卻不得不選擇了這條困難重重的
0x0005B8  道路，
0x0005C0  聖瑟維艾斯果然也……？
0x0005D8  …………
0x0005E2  …………
0x0005EC  ……去援救她吧。
0x0005FE  嗯嗯，很好。
0x00060C  …………
0x000616  當然，一切都是要照著你的想法去做。
