0x000636  從現在開始，
0x000644  我們就要啟程回去安蒂米昂了，對吧？
0x000668  是的。
0x000670  在我們穿越地下迷宮之前……
0x00068C  可能要暫時犧牲一些悠閒的睡眠時間了。
0x0006B2  …………
0x0006BC  …………
0x0006C6  在通往白皙城砦的迷宮中，
0x0006E0  可能會發生激烈戰鬥的地點有三個。
0x000702  我們必須解開通往安蒂米昂道路的封印，
0x000728  那就在霍雷斯迴廊。
0x00073C  接著，是被深沉的黑闇所包圍的喀爾布迷宮。
0x000766  最後，是地下城砦「貝倫」。
0x000782  …………
0x00078C  在我們穿越了地下城砦之後，
0x0007A8  會有一個可以稍做休息的地方。
0x0007C6  那就是我們收復安蒂米昂的立足點。
0x0007F0  雖然那是一個比這裡還要狹小的地方……
0x000816  但那也表示著，
0x000826  那裡會是一個比這裡還要安全的地方。
0x00084A  …………
0x000854  那真的是個安全的地方嗎？
0x00086E  九年前，我曾經去過那裡一次。
0x00088C  那裡就算是「匍伏蔓延而來之物」，
0x0008AE  也沒辦法……
0x0008BC  …………
0x0008C6  不，就算是比「匍伏蔓延而來之物」還要厲害
0x0008F0  的敵人，也沒有辦法攻陷。
0x000912  …………
0x00091C  那麼，我們可以一直待在那裡嗎……？
0x000940  …………
0x00094A  很遺憾，那裡沒有田地，也看不到陽光。
0x000970  沒辦法在那裡久住。
0x000984  …………
0x00098E  …………
0x000998  加油吧。
0x0009A2  …………
0x0009AC  能夠這樣地一起前進到今天，
0x0009C8  心裡面真的是有許許多多的感受。
0x0009E8  教導了你們不少的事情，
0x000A00  相對地，也被你們教導了許多。
0x000A1E  ……老師。
0x000A2A  我打從心裡感覺，你們真的是我的驕傲。
0x000A50  …………
0x000A5A  …………
0x000A64  而且，我相信著，
0x000A76  在你們的心中有著想要保護故鄉的心情。
