0x00024A  純潔之盾的首領呀。
0x00025E  ……老師。
0x00026A  您這樣稱呼我，實在是……
0x000284  雖然這樣可能有點太快了，
0x00029E  不過現在是個很好的時機，
0x0002B8  差不多也該設置個特訓專用的練習場了吧？
0x0002E0  您是說特訓場嗎？
0x0002F2  應該沒有比霍雷斯更合適的地方了吧？
0x000316  從地下湧出的混沌、令人不安的黑闇，
0x00033A  還有許多等待人們去發現的古代珍寶。
0x00035E  ……原來如此。
0x00036E  聽您這麼一說，的確是很適合的樣子。
0x000392  那就不要在這裡磨磨蹭蹭的啦。
0x0003B0  我會趕快開始著手準備的。
0x0003CA  不不。
0x0003D2  ……那應該是我的任務。
0x0003EA  就從這一週開始，
0x0003FC  讓我把它當作課程的其中一個環節來考慮吧。
0x000426  那麼……？
0x000432  我會用我全副的心力去安排，
0x00044E  所以就請你等到最後再來下評斷。
0x00046E  到了那個時候，再請你稍微做一些調整吧，
0x000496  大概就是這樣了。
