0x00035A  在這附近好像有一股強力的咒禁呢。
0x00037C  而且它的力量真的很深沉。
0x000396  …………
0x0003A0  …………
0x0003AA  這表示有人在這附近被困住了嗎……
0x0003CC  雖然不知道是誰在那裡。
0x0003E4  不過要去看看嗎？
0x0003F6  …………
0x000400  當然要過去看看。
0x000412  不過……好不容易才回到了安蒂米昂，
0x000436  結果竟然還要再回到地底下一次……
0x000458  如果我說我並沒有因此而感到不快的話，
0x00047E  那肯定就是在說謊了。
0x000494  哈哈哈……
0x0004A0  你不是常常說你最喜歡在迷宮裡面探險，
0x0004C6  最喜歡那些獨一無二的迷宮嗎？
0x0004E4  所以你才沒辦法在迷失之森裡冷靜下來嘛。
0x00050C  …………
0x000516  哈哈哈，哈哈，哈哈哈。
0x00052E  這樣不是很好嘛。
0x000540  …………
0x00054A  總之，還是過去看看吧。
0x000562  對那些孩子們來說，地下迷宮雖然恐怖又討厭
0x00058C  ，但應該也是很喜歡去探險的地方吧。
0x0005B0  我的朋友呀，有時候也要像羅弗利一樣，
0x0005D6  只要這樣地一笑置之就好啦。
0x0005F2  …………
0x0005FC  至少比起在這裡閒著，什麼事都不做，
0x000620  去那裡晃晃應該會有一點好處吧。
