0x000442  黑衣施咒者已經困住了不動的橋墩。
0x000464  他們配合著「匍伏蔓延而來之物」展開了行動
0x000494  ……或者是說，葛斯貝布洛真正的實力，
0x0004BA  已經衰落到這種地步了嗎？
0x0004D4  那是因為他們的對手，
0x0004EA  不是簡單用刀劍就可以對抗的吧。
0x00050A  是施展著超強魔法的敵人嗎？
0x000526  還是實力超乎想像的混沌騎士呢？
0x000546  …………
0x000550  …………
0x00055A  如同火炎之長所說的，
0x000570  他們是不能逃避的對手。
0x000588  就算要與四大學級交手，
0x0005A0  他們也不會有絲毫的遲疑吧。
0x0005BC  嗯嗯。
0x0005C4  我想，
0x0005CC  純潔之盾還是得去完成自己能夠做到的事情。
0x0005F6  …………
0x000600  我們已經為了要幫助別人而鍛鍊自己很久了。
0x00062A  而且現在也的確有人在等待我們的援救……
0x000652  如果今天我們對這件事情坐視不管的話，
0x000678  那麼以後可能就得這樣一直袖手旁觀下去了。
0x0006A2  …………
0x0006AC  嗯嗯，我能理解。
0x0006BE  打從一開始我就不打算要阻止你。
0x0006DE  …………
0x0006E8  不過，要順著帕蘭達因的意思去做事，
0x00070C  還真是令人嚥不下這口氣呀。
0x000728  不是這樣的，羅弗利先生……
0x000748  無論如何，
0x000754  這也是純潔之盾自己做的決定呀。
0x000774  ……嗯嗯，這樣啊。
0x000788  的確是這樣沒錯。
0x00079A  …………
0x0007A4  羅弗利……
0x0007B0  不用在意我的想法。
0x0007C4  你們只要好好地把事情做好就好。
0x0007E4  ……那就跟孩子們說，
0x0007FA  我們要出發了。
0x00080A  …………
0x000814  是的。
