0x000458  你是認真的嗎？
0x000468  …………
0x000472  雖然釋放了聖瑟維艾斯的人是一件好事啦……
0x00049C  但是現在讓他們回沉思的聖堂是很危險的，
0x0004C4  難道你看不出來嗎！！！
0x0004DC  ……他們已經對我們請求很多次了。
0x0004FE  ∼∼∼∼！！！
0x00050E  那些孩子明明知道這樣很危險……
0x00052E  但是仍然希望離開這裡。
0x000546  那奈比洛斯閣下呢！？
0x00055C  他現在非常地衰弱。
0x000570  恐怕連要離開眺望萬物的尖塔的體力都沒有了
0x00059E  …………
0x0005A8  …………
0x0005B2  在眺望萬物的尖塔裡所遵行的邏輯，
0x0005D4  還真是相當古怪呀……！
0x0005EC  ……羅弗利。
0x0005FA  現在沒有時間責怪他們了。
0x000614  可惡……！
0x000620  ……所以情況怎樣了？
0x000636  沉思聖堂的底層已經被「匍伏蔓延而來之物」
0x000660  所佔領，
0x00066A  但是在靠近聖堂頂層的部分，
0x000686  還保持著原有的力量。
0x00069C  也就是說……
0x0006AA  只要幫他們爭取逃脫的時間就可以了？
0x0006CE  ……是的。
0x0006DA  聖堂頂端的守護塔……
0x0006F0  我曾經去過一次呢。
0x000704  是啊，我們一起去的。
0x00071A  ……是在那裡呀。
0x00072C  守護塔應該還在吧？
0x000740  這是當然的。
0x00074E  ……去把孩子們救出來吧。
0x000768  是的……！
0x000774  …………
0x00077E  一切就拜託各位幫忙了。
0x000796  …………
0x0007A0  沒什麼時間了，趕快出發吧。
