0x0005EE  那個……
0x0005FC  那個，有客人要找老師。
0x000614  …………
0x00061E  我聽說純潔之盾已經恢復了過去的盛況……
0x000646  雖然現在才來道賀是有點晚，
0x000662  不過我還是來了。
0x000674  你是……
0x00067E  我是耶魯法•修華洛茲。
0x000696  果然是你……你長大了呢。
0x0006B0  巴提那西昂的劍匠閣下現在過得好嗎？
0x0006D4  在羅亞爾•聖提攻防戰的前一天晚上……
0x0006FA  他往貝爾德拉奇出發了，
0x000712  還說要把以後的事情交給我處理。
0x000732  …………
0x00073C  那麼，聖者的墳墓的守衛現在是……
0x00075E  目前還是從缺的情況。
0x000774  雖然還有吉爾梅亞閣下用盡全力地去守護……
0x00079E  …………
0x0007A8  ……還真是發生了不少事情呢。
0x0007C6  沉默之長與守墓之長。
0x0007DC  就算是吉爾梅亞閣下……
0x0007F4  要身兼這兩個責任，也實在太辛苦了呢。
0x00081A  …………
0x000824  唉呀，
0x00082C  現在可是愛爾梅納斯危急存亡的關頭呀。
0x000852  在聖者墳墓裡面的各位先人，
0x00086E  應該也會稍微體諒一下，
0x000886  我們不能好好看顧他們的困境吧。
0x0008A6  可是……也不能老是這樣說吧，
0x0008C4  既然「匍伏蔓延而來之物」已經出現在那裡了
0x0008EE  ，就表示它們一定有什麼企圖的。
0x00090E  那麼，帕蘭達因呢？
0x000922  …………
0x00092C  他們認為那只不過是「匍伏蔓延而來之物」們
0x000956  改變了行動方式而已……
0x00096E  他們也無意幫忙維護墳墓的安寧。
0x00098E  畢竟他們無論怎麼做都並不穩當吧。
0x0009B0  ……雖然他們背後有賢者圓桌的支持，
0x0009D4  而且校長目前也不在學舍裡。
0x0009F0  儘管他們仍有號召大家的資格，
0x000A0E  但是目前好像還是沒辦法有所動作的樣子。
0x000A36  ……呼嗯。
0x000A42  所以你才會來這裡呀。
0x000A58  ……如果，
0x000A64  純潔之盾願意為愛爾梅納斯出這一份力的話，
0x000A8E  我也希望可以加入你們。
0x000AA6  …………
0x000AB0  ……你要加入純潔之盾？
0x000AC8  是的。
0x000AD0  ……這真是令人開心。
0x000AE6  無論什麼時候，
0x000AF6  我們都會多加留意聖者的墳墓的狀況，
0x000B1A  只要我們還有能力去注意的話……
0x000B3A  …………
0x000B44  我跟你約定，
0x000B52  我們一定會驅除混沌，
0x000B68  保護那些在墳墓中長眠的聖者。
0x000B86  ……我打從心底地期待您說出這樣的話來，
0x000BAE  此後我就任您差遣，赴湯蹈火在所不辭。
0x000BD4  ……為了我們的尊嚴與誓約。
0x000BF0  為了我們的尊嚴與誓約。
0x000C08  為了我們的尊嚴與誓約。
