0x000A9C  你也在這裡啊，真是剛好，
0x000AB6  我正有話想跟你說呢。
0x000ACC  天秤之長……
0x000ADA  雖然我才剛來純潔之盾不久……
0x000AF8  但是我已經開始瞭解純潔之盾的人們
0x000B1A  心中在想的是些什麼了。
0x000B32  …………
0x000B3C  我聽說孩子們已經下定決心了，
0x000B5A  純潔之盾也該回到那自己應該駐守的地方了。
0x000B84  ……回到安蒂米昂。
0x000B98  是的。
0x000BA0  如果錯失了這次機會。
0x000BB6  以後想要再回去，恐怕就很難了吧。
0x000BD8  …………
0x000BE2  雖然「匍伏蔓延而來之物」是從混沌裡產生出
0x000C0C  來的東西，
0x000C18  但是我最近卻開始感覺，
0x000C30  它們的行動也有一定的規則。
0x000C4C  雖然不知道它們的目的究竟是什麼……
0x000C70  不過，一旦有什麼緊急狀況的話，
0x000C90  如果我們不是在安蒂米昂，
0x000CAA  能夠做出的應變就真的差很多了。
0x000CCA  的確。
0x000CD2  那裡所蘊藏的力量，
0x000CE6  是這個艾爾貝洛瓦所不能相比的呀。
0x000D08  …………
0x000D12  我會好好考慮的。
0x000D24  ……考慮離開這裡。
0x000D38  你有信心嗎？
0x000D46  ……如果我說我完全不會不安的話，
0x000D68  那肯定是在說謊。
0x000D7A  畢竟愛爾梅納斯裡的混沌是這麼地深呀。
0x000DA0  ……我這個老太婆呀，
0x000DB6  可不是無所事事地一直被關著呢。
0x000DD6  我可是有著掌管混沌與秩序的天秤之長名號…
0x000E00  我這個老太婆有一個計畫想告訴你。
0x000E22  ……請您說給我聽聽看吧。
0x000E3C  那冠上了四大學級居城之名的尊貴建築，
0x000E62  被無數的城牆與護城河所包圍的白皙城砦呀，
0x000E8C  雖然它現在落入了混沌的手中，不過，
0x000EB0  就讓我們把它的力量交還給原本的主人吧。
0x000ED8  那你打算怎麼做呢？
0x000EEC  …………
0x000EF6  就以其人之道還治其人之身吧。
0x000F14  ……果然還是要從地下著手是吧。
0x000F34  …………
0x000F3E  …………
0x000F48  …………
0x000F52  但是以我們這種半調子的實力，
0x000F70  是沒辦法攻陷安蒂米昂的。
0x000F8A  如果從地上直接進攻的話，
0x000FA4  在到達城砦的中心之前，
0x000FBC  恐怕就已經不知道會被打敗多少次了。
0x000FE0  那裡就是特地設計成不輕易讓敵人靠近的呀。
0x00100A  …………
0x001014  這件事情，相信我的朋友你是最清楚的了。
0x00103C  如果想要攻陷那裡的話，正面進攻是不行的。
0x001066  …………
0x001070  …………
0x00107A  就像「匍伏蔓延而來之物」所做的一樣……
0x0010A2  我們從地下潛入城堡的核心，
0x0010BE  直接攻擊主城就好了。
0x0010D4  ……不過，就算這樣，
0x0010EA  也不是真的有很大的勝算就是了。
0x00110A  如果你認為這是最完美的方法的話，
0x00112C  我會支持你的。
0x00113C  老師……
0x001146  …………
0x001150  …………
0x00115A  …………
0x001164  但是……我的朋友。
0x001178  在通往安蒂米昂的地下通道裡，
0x001196  有那個傢伙在把守呀。
0x0011AC  全身蓋滿了赤銅鎧甲的異形混沌－－
0x0011CE  赤壁的鄔爾戈呀。
0x0011E0  ……天秤之長。
0x0011F0  …………
0x0011FA  就如同鎖匙之長所說的一樣……
0x001218  只要那傢伙還領導著「匍伏蔓延而來之物」的
0x001248  地底的通道就非常危險。
0x001260  甚至可能會跟白皙城砦一樣地難以攻破。
0x001286  …………
0x001290  …………
0x00129A  但是……
0x0012A4  有個地方跟赤壁鄔爾戈的因緣很深厚。
0x0012C8  如果去攻擊那個地方的話，
0x0012E2  鄔爾戈一定會現身阻止的。
0x0012FC  …………
0x001306  ……那個地方就是攸利亞。
0x001320  只要能夠打倒被我們引誘出來的赤壁鄔爾戈的
0x00134A  話……
0x001352  就可以順利地破壞「匍伏蔓延而來之物」才剛
0x00137C  剛建立起來的領導組織了。
0x001396  就算那只能讓它們混亂一小段時間也好。
0x0013BC  …………
0x0013C6  ……在通往安蒂米昂的路上，
0x0013E2  有不少以前不曾碰過的強敵。
0x0013FE  但是只要他們沒有辦法組織性地行動的話……
0x001428  對純潔之盾來說，
0x00143A  就是創造了不少的生機呀。
0x001454  …………
0x00145E  那麼，要在什麼時候出發攻擊攸利亞呢？
0x001484  …………
0x00148E  在三個星期以後，
0x0014A0  天上的三個月亮會聚集在一起，
0x0014BE  在那充滿祝福的七月第三週裡。
0x0014DC  我們就朝著安蒂米昂出發，離開艾爾貝洛瓦。
0x001506  唔嗯。
0x00150E  …………
0x001518  我們年輕的純潔之盾之長呀，
0x001534  但願你能為那連續而來的艱苦戰役做好萬全的
0x00155E  準備。
0x001566  …………
0x001570  ……是的。
0x00157C  那麼，直到那即將來臨的時刻之前，
0x00159E  好好努力吧。
0x0015AC  在那即將來臨的時刻之前，我會好好努力的。
