0x000B74  羽翼之長。
0x000B80  這次您願意讓我來這裡，
0x000B98  真是令人非常感謝。
0x000BAC  ……鮑貝斯先生。
0x000BBE  還有純潔之盾的年輕領袖呀，
0x000BDA  能夠再這樣地見到你，真是令人開心。
0x000BFE  …………
0x000C08  鮑貝斯閣下……
0x000C18  唉呀唉呀，別這麼拘謹……
0x000C32  的確，當你還在學舍裡求學的時候，
0x000C54  我是教了你不少東西。
0x000C6A  …………
0x000C74  但那也是以前的事情了。
0x000C8C  今天，我只是希望以「同樣為愛爾梅納斯憂心
0x000CB6  的同志」的身分跟各位交談。
0x000CD2  …………
0x000CDC  那麼，我就不客氣地說了唷。
0x000CF8  …………
0x000D02  羅弗利。
0x000D0C  不論是你或是我……
0x000D20  都是正在為愛爾梅納斯憂心的人呀。
0x000D42  …………
0x000D4C  ……是的。
0x000D58  你們應該有反省過吧？
0x000D6E  有關帕蘭達因做事的方法呀。
0x000D8A  ……為了驅除愛爾梅納斯的混沌，
0x000DAA  十二王杯是必要的道具。
0x000DC2  所以你們就用搶的嗎……
0x000DDA  就要做到讓其他人悲傷哭泣的程度嗎！！
0x000E00  …………
0x000E0A  …………
0x000E14  ……羅弗利。
0x000E22  ∼∼∼！！！
0x000E30  …………
0x000E3A  你會這麼生氣……
0x000E4C  其實也是很正常的。
0x000E60  …………
0x000E6A  …………
0x000E74  ……因為我們的確無理地搶奪了別人的東西。
0x000E9E  然而，對修奈鐸先生來說，
0x000EB8  其實也沒有什麼其他的選擇了呀。
0x000ED8  我鮑貝斯•福亞托德……
0x000EF0  以帕蘭達因輔佐官的身分，向各位致歉。
0x000F16  ……就算你道歉也好，也沒辦法挽回什麼。
0x000F3E  難道你以為做了什麼事情之後，
0x000F5C  只要說聲抱歉，
0x000F6C  所有的事情就可以當作沒發生過嗎……
0x000F90  ……實在是非常地抱歉。
0x000FA8  …………
0x000FB2  鮑貝斯閣下……
0x000FC2  …………
0x000FCC  雖然事情不能挽回，
0x000FE0  不過，我還是來了。
0x000FF4  就算各位沒有辦法接受我也好。
0x001012  ……老師。
0x00101E  就請您說完要說的話吧。
0x001036  …………
0x001040  …………
0x00104A  ……聖瑟維艾斯以黑暗的力量召喚混沌，
0x001070  還有葛斯貝布洛違反道義、
0x00108A  背叛了賢者圓桌的這兩件事情。
0x0010A8  …………
0x0010B2  這兩件事情都是毫無根據的。
0x0010CE  以後，我們不會再追究這兩件事情了。
0x0010F2  如果可以的話……
0x001104  這些話，
0x00110E  我希望可以由修奈鐸先生親口說給我們聽。
0x001136  ……總有一天，會有那個機會的。
0x001156  …………
0x001160  那麼，他們大家都平安無事吧……
0x001180  這是當然的。
0x00118E  …………
0x001198  ……那麼，帕蘭達因現在打算怎麼做？
0x0011BC  眺望萬物的尖塔，
0x0011CE  現在正在全力查訪最後一個王杯的下落。
0x0011F4  你們預計什麼時候可以找到？
0x001210  ……現在還需要一小段時間。
0x00122C  雖然這一切是要看上天的旨意……
0x00124C  不過，今年以內應該還沒有辦法找到吧。
0x001272  …………
0x00127C  有什麼需要我們幫忙的嗎？
0x001296  ……黑衣施咒者。
0x0012A8  …………
0x0012B2  我聽說，純潔之盾也遭受他們的荼毒了。
0x0012D8  ……是的。
0x0012E4  如果你們能夠做到的話……
0x0012FE  我希望你們可以幫忙封印住他們黑暗的力量。
0x001328  …………
0x001332  我想，他們現在一定正在等待機會吧。
0x001356  而且他們一定會針對學舍出手的。
0x001376  也就是說，
0x001382  我們只要替帕蘭達因守住死角就好了嗎？
0x0013A8  真是不好意思……
0x0013BA  ……不，這就是純潔之盾應該扮演的角色。
0x0013E2  對吧，羅弗利？
0x0013F2  …………
0x0013FC  ……要怎麼說咧。
0x00140E  我可是不會隱藏自己心中的不滿，
0x00142E  然後只挑順耳的話來聽。
0x001446  …………
0x001450  我鮑貝斯•福亞托德，以及哈茲班•修寧格，
0x00147A  願意一起為純潔之盾效力。
0x001494  ……你們是認真的嗎？
0x0014AA  是的。
0x0014B2  眺望萬物的尖塔目的只有一個，
0x0014D0  那就是拯救愛爾梅納斯。
0x0014E8  …………
0x0014F2  ……我們也是一樣地想拯救愛爾梅納斯。
0x001518  那麼……
0x001522  就懇求各位的幫助了。
0x001538  …………
0x001542  …………
0x00154C  我瞭解了。
0x001558  也請你們兩位多多指教了。
0x001572  ……感謝你。
0x001580  真的感謝你。
