0x000EB8  感謝您的幫助……
0x000ECA  這真是要謝也謝不完的恩情呀。
0x000EE8  ……不。
0x000EF2  要道謝的話，就跟那些孩子們道謝吧。
0x000F16  純潔之盾在這短短的時間裡……
0x000F34  真的是變得十分壯大了呢。
0x000F4E  …………
0x000F58  ……加德摩斯。
0x000F68  希里鄔司閣下。
0x000F78  你們為什麼不向我們求救呢？
0x000F94  …………
0x000F9E  加德摩斯，回答呀。
0x000FB2  在大家都陷入了苦難的那個時候。
0x000FD2  我們高呼著為義而生的口號，
0x000FEE  向純潔之盾挑戰。
0x001000  …………
0x00100A  那時候……
0x001016  希里鄔司閣下認為應該要勸諫眺望萬物的尖塔
0x001040  ，希望他們改變他們的作風。
0x00105C  …………
0x001066  也許，我們當時的確應該那樣做吧。
0x001088  然而，後來所發生的事情，
0x0010A2  大家也是知道的……
0x0010B6  既然如此，
0x0010C2  我們又怎麼好意思再向大家求助呢。
0x0010E4  ……這就是你讓派洛斯與昱荻身陷危險之中的
0x00110E  理由嗎？
0x001118  …………
0x001122  …………
0x00112C  希里鄔司。
0x001138  ……請你們不要這麼逞強呀。
0x001154  難道你跟我說要保衛這個地方直到布拉奇老師
0x00117E  回來，
0x001186  這也都是在說謊嗎？
0x00119A  …………
0x0011A4  殿下……
0x0011AE  …………
0x0011B8  …………
0x0011C2  ……加德摩斯閣下。
0x0011D6  啊……
0x0011DE  您願意加入純潔之盾嗎。
0x0011F6  你願意讓我加入純潔之盾，我感覺十分欣慰。
0x001220  但是我身上有著四大學級之一的葛斯貝布洛這
0x00124A  個重擔……
0x001256  我不能讓這薪火輕易地斷送在我手上。
0x00127A  …………
0x001284  …………
0x00128E  １無論如何，我們就相信不動的橋墩的選擇。
0x0012B8  ２我知道您有所顧慮，但還是希望您能加入。
0x0012E2  無論如何，我們就相信不動的橋墩的選擇吧。
0x00130C  ……您的眼神中，真的絲毫沒有迷惑呀。
0x001332  …………
0x00133C  不，不是的。
0x00134A  其實應該說，
0x001358  是曾經經歷過了無數的迷惑與哀傷，
0x00137A  但也曾經無數次地克服了它們。
0x001398  您的眼神，給我的感覺就是這樣的。
0x0013BA  …………
0x0013C4  既然現在純潔之盾是這麼地興盛，
0x0013E4  我也就可以安心地把希里鄔司和芙莉卡託付給
0x00140E  您照顧了。
0x00141A  …………
0x001424  派洛斯、昱荻，
0x001434  ……你們兩個也留在純潔之盾吧。
0x001454  加德摩斯閣下……
0x001466  …………
0x001470  …………
0x00147A  …………
0x001484  也差不多是你們兩個離開不動的橋墩的時候了
0x0014B2  可是這樣的話……
0x0014C4  難道你們的朋友希里鄔司，
0x0014DE  有因為加入了純潔之盾，
0x0014F6  而失去了不動的橋墩的精神嗎？
0x001514  …………
0x00151E  我相信你們也能繼續保持不動的橋墩的精神。
0x001548  不，是你們非得做到呀，派洛斯。
0x001568  那就是你們身為希里鄔司的朋友，
0x001588  所必須盡的義務。
0x00159A  ……是的。
0x0015A6  昱荻，妳要好好地支持他呀。
0x0015C2  …………
0x0015CC  ……是的。
0x0015D8  純潔之盾之長呀，
0x0015EA  那麼，
0x0015F2  我就要回去繼續維持我那亦師亦友的夥伴，
0x00161A  所遺留下來的一切了。
0x001630  …………
0x00163A  …………
0x001644  那麼，希望您好好保重，
0x00165C  直到我們再次相見……
0x001672  是的。
0x00167A  直到我們再次相見……
0x001690  雖然我知道您有所顧慮，
0x0016A8  但還是希望您能夠加入。
0x0016C0  …………
0x0016CA  難道您不願意出手幫助我們嗎？
0x0016E8  這真的是……十分真誠的話語呀。
0x001708  …………
0x001712  但是，話雖如此……
0x001726  加德摩斯閣下。
0x001736  加德摩斯閣下。
0x001746  …………
0x001750  不動的橋墩，就由我們兩個來守護吧。
0x001774  不動的橋墩，就由我們兩個來守護吧。
0x001798  …………
0x0017A2  …………
0x0017AC  派洛斯與……
0x0017BA  昱荻呀……
0x0017C6  …………
0x0017D0  你們兩個……
0x0017DE  …………
0x0017E8  希望加德摩斯閣下可以去完成您應該完成的事
0x001812  情……
0x00181A  …………
0x001824  無論如何，請您盡情地去努力吧。
0x001844  …………
0x00184E  …………
0x001858  …………
0x001862  …………
0x00186C  ……我不會忘記你們兩個的這份心意的。
0x001892  …………
0x00189C  …………
0x0018A6  我不會忘記這份恩情的。
0x0018BE  …………
0x0018C8  我加德摩斯•布萊修雅，
0x0018E0  從此以後會全心全意地為你效忠。
0x001900  是的。
0x001908  派洛斯、昱荻。
0x001918  我接受你們的心意，現在，我要走了。
0x00193C  …………
0x001946  你們也好好地走下去吧。
0x00195E  好好地走你們所選擇的道路。
0x00197A  是……！！
0x001986  是……！！
0x001992  …………
0x00199C  希望……
0x0019A6  你們此後的道路能夠受到祝福。
0x0019C4  …………
0x0019CE  ……也希望純潔之盾之長受到祝福。
0x0019F0  在我們下次相見之前，
0x001A06  請各位好好保重了。
