0x000394  純潔之盾真的是很了不起。
0x0003AE  以後應該再也沒有人有理由可以否定你們了。
0x0003D8  …………
0x0003E2  但是呢，老實說，
0x0003F4  我並不認為帕蘭達因會比現在的你們還優秀。
0x00041E  …………
0x000428  而以我的立場，
0x000438  我必須要確認你們之所以比帕蘭達因還要優秀
0x000462  的理由。
0x00046C  …………
0x000476  麻煩您了。
0x000482  就算只給我一點點時間也好。
0x00049E  可以讓我待在這裡一段時間嗎？
0x0004BC  …………
0x0004C6  我一定會證明我能夠提供你一些幫助的。
0x0004EC  ……好的。
0x0004F8  原來把奧吉爾跟紐送來純潔之盾的，
0x00051A  也是你呀。
0x000526  在帕蘭達因裡……
0x000538  就是有一些孩子在跟你們並肩作戰之後，
0x00055E  想要再度與你們一同努力呀。
0x00057A  …………
0x000584  我們本來就遲早都要離開這個地方出外旅行。
0x0005AE  在這離開前的最後一段時間裡，
0x0005CC  若是能夠跟著你學習，
0x0005E2  這段時間所學到的東西，
0x0005FA  必然會對我們的將來有很大的意義。
0x00061C  修奈鐸先生。
0x00062A  那麼，純潔之盾之長呀。
0x000642  從此以後，就希望你能多多指導我們了。
