0x001A58  就在這被稱為愛爾梅納斯的大地一角，
0x001A7C  有一片生長著茂密紫杉的寧靜森林。
0x001A9E  離開這裡，不知不覺間竟已九年了……
0x001AC2  穿梭在稍一不注意就會錯過的林間小徑，
0x001AE8  跨過溶雪流出的小溪，
0x001AFE  凝視著倒映在野地水池裡的恩蘭德大山脈。
0x001B26  在這個曾經和同伴們一起度過了七年歲月的艾
0x001B50  爾貝洛瓦，
0x001B5C  能想起來的回憶已經不多了。
0x001B78  雖然如此，被朝露浸潤的草叢，
0x001B96  仍然如同要包圍著雙腳一般地迎接著我。
0x001BBC  群樹也讓刺骨的寒風溫和了許多，
0x001BDC  從葉間落下的陽光正是他們對我呢喃的話語，
0x001C06  如此豐饒的地方，是我的故鄉……
0x001C26  這只是我觀賞景色時的自言自語罷了。
0x001C4A  在愜意的散步之後……
0x001C60  會走向這裡，
0x001C6E  只是因為一種微不足道的必然。
0x001C8C  然而現在……
0x001C9A  在這無法平穩下來的呼吸中，
0x001CB6  我的心正動搖著。
0x001CC8  我回來了，愛爾梅納斯……
0x001CE2  《…………
0x001CEE  　但是，為什麼……
0x001D02  　為什麼踏進我的故鄉，
0x001D1A  　會使我心中有如此激烈的鼓動。》
0x001D3C  《眼前那研磨得十分銳利的黑暗吐息，
0x001D60  　隱約可以聞到。
0x001D72  　四處瀰漫著充滿災難氣息的混沌大氣。
0x001D98  　…………》
0x001DA6  《心中的某處，愉悅之情油然而生。
0x001DC8  　憶起了吾友的雙眸，與他誠摯的心。
0x001DEC  　像他這麼任意妄為的人，
0x001E06  　為什麼會向人求救？
0x001E1C  　…………》
0x001E2A  就因為這樣才召喚我回來的嗎？
0x001E48  愛爾梅納斯啊……
0x001E5A  您終於回來了……
0x001E74  真的……
0x001E7E  幸好您安然無恙。
0x001E90  妳是……
0x001E9A  好想見您一面……
0x001EAC  我衷心地期待著，
0x001EBE  啊啊……真是好長的一段時間。
0x001EDC  ……是帕彌菈，對吧？
0x001EF2  是的……
0x001EFC  …………
0x001F06  真的跟以前完全不一樣了。
0x001F20  是啊，都已經過了九年呢。
0x001F40  ……而您卻跟那時候看起來一模一樣。
0x001F64  不過……
0x001F6E  不，您現在比以前要更有風采了呢。
0x001F90  …………
0x001F9A  您知道我現在有多開心嗎？
0x001FB4  倒是，您那在充滿混沌的世界裡旅行，
0x001FD8  一定克服了不少苦難吧。
0x001FF0  一切都是為了屢行我的誓願。
0x00200C  雖然遭遇了不少苦難，
0x002022  然而在勞苦的空隙間，
0x002038  卻沒有露出為難的表情……
0x002052  就像那時候一樣，
0x002064  總是若無其事地，像這樣地微笑著。
0x002086  過去的好友寄信來說……
0x00209E  很想見我一面，這真是讓我感到非常開心。
0x0020C6  讀著他的信，
0x0020D4  他的聲音、他的面容就浮現在面前。
0x0020F6  真是令人充滿懷念的一封信。
0x002112  …………
0x00211C  ……信裡面也常常提到妳的事情。
0x00213C  雖然領導著愛爾梅納斯裡屈指可數的人才，
0x002164  但是奧爾菲卻辦法真正地到達那才能的頂端。
0x00218E  他在信裡都說了些什麼呢？
0x0021A8  他說妳很用心地支持著純潔之盾的孩子們，
0x0021D0  也很用心地領導著他們。
0x0021E8  而妳那優雅的舉止與態度，
