0x00022C  已經九年了嗎？
0x00023C  這裡真的絲毫也沒有改變哪……
0x00025A  …………
0x000264  比起那個時候，
0x000274  一點也沒有現在這樣的閒暇。
0x000290  現在心情之所以會這麼安祥，
0x0002AC  這都是因為和你－奧爾菲一同度過的時光，
0x0002D4  正圍繞在這房間中吧？
0x0002EA  然而，
0x0002F2  無論在這黑夜的寂靜中是多麼地愜意，
0x000316  從那深遂黑闇的淵藪之中，
0x000330  它們仍不斷地匍伏蔓延而出。
0x00034C  你就是抱著那熾熱的思念，
0x000366  在混沌的漩渦中捨身而戰嗎？
0x000382  前來愛爾梅納斯的孩子們，
0x00039C  勇敢地選擇了苦難的道路。
0x0003B6  離開了那在遙遠彼方的故鄉……
0x0003D4  前來依靠這些沒有血緣羈絆的師長們，
0x0003F8  以及依靠這些同甘共苦的夥伴們。
0x000418  然而……你卻離開了這裡。
0x000432  將孩子們留在這裡，把一切都托付給恩師。
0x00045A  因為你非得一個人去面對這命運，是嗎？
0x000480  如果這就是你心中所希望的。
0x00049C  那我便暫時代替你吧，
0x0004B2  照顧你費心栽培的孩子們，
0x0004CC  以及這愛爾梅納斯的精粹……
0x0004E8  位列四大學級之一、我們的故鄉伊諾森提雅。
0x000512  啊啊……這樣也就能對他們有所回應了，
0x000538  在那幼小眸子中所深藏的夢想，
0x000556  那純真的願望啊……
