0x0018C8  果然，你……
0x0018D6  仍然感到悔恨是嗎。
0x0018EA  老師……
0x0018F4  非常抱歉。
0x001900  因為我的無能，
0x001910  讓賢者的名聲敗壞了。
0x001926  的確如此。
0x001932  翡翠之都的人們，
0x001944  選擇了點燃那無益的戰火，
0x00195E  接著他們自身也很快地被火苗所吞噬。
0x001982  …………
0x00198C  會故意放棄手中幸福的人們，
0x0019A8  總是會存在於那身處幸福的人群之中。
0x0019CC  …………
0x0019D6  在這樣一個混亂的時代……
0x0019F0  所有人的心靈都被矇蔽了。
0x001A0A  而有些事情就是無法避免。
0x001A24  而以你一人之力，
0x001A36  當然也會有無法挽救的悲劇，
0x001A52  這怎麼能說是你敗壞了賢者的名聲呢。
0x001A76  …………
0x001A80  我曾經想過，身陷迷惑之中的，
0x001A9E  說不定是我自己吧？
0x001AB2  賢者只不過是一個虛名，
0x001ACA  雖然被這樣稱呼令人開心……
0x001AE6  …………
0x001AF0  然而，
0x001AF8  這名號可是被那些自掘墳墓的人加在我身上的
0x001B28  我啊……
0x001B32  對於這次和你相見，實在是感觸良多。
0x001B56  只要有你在這裡坐鎮，
0x001B6C  我相信純潔之盾一定可以重生。
0x001B8A  我是如此相信的。
0x001B9C  老師……
0x001BA6  失敗的時候並不表示一切都結束了。
0x001BC8  只有在你自己也放棄的時候，
0x001BE4  才會是結束的時候。
0x001BF8  …………
0x001C02  今天我再一次地把這句話送給你作為警惕。
0x001C2A  非常感謝。
0x001C36  …………
0x001C40  …………
0x001C4A  雖然是這麼說……
0x001C5C  但是誰又想得到，這樣的事情竟然會發生呢。
0x001C86  羅亞爾•聖提竟然會變成一片斷垣殘壁。
0x001CAC  到底發生了什麼事呢……？
0x001CC6  在羅亞爾•聖提到底發生了什麼事？
0x001CE8  啊啊，那是……在銀鐘祭的夜晚。
0x001D08  在黑暗的夜色中，無論是誰也仰望著星空，
0x001D30  在心中述說著各自的願望的夜裡。
0x001D50  那本來應該是一個神聖的夜晚。
0x001D6E  …………
0x001D78  然而，在夜空中閃耀的，
0x001D90  就連一顆星星也沒有。
0x001DA6  就好像被墨水渲染過了一樣，
0x001DC2  是一片完全的黑暗。
0x001DD6  在銀鐘祭的晚上竟然沒有星光……
0x001DF6  是的，沒有星光照耀的銀鐘，
0x001E12  所顯示的……
0x001E20  那就是無止盡混沌的開始。
0x001E3A  「匍伏蔓延而來之物」……
0x001E54  它們在襲擊的角笛聲中，
0x001E6C  來勢洶洶地蜂擁而出。
0x001E82  從位於中央校舍地底的深遂迷宮之中。
0x001EA6  我們為了壓制這場混亂，挺身與它們一戰。
0x001ECE  ……！？
0x001ED8  如果可以的話，
0x001EE8  我們也不想讓孩子們背負戰鬥的苦難啊。
0x001F0E  …………
0x001F18  當然，我也沒有忘記。
0x001F2E  它們是會映照出對手的力量與罪孽的，
0x001F52  充滿災禍的鏡子。
0x001F64  這正是它們被稱為「匍伏蔓延而來之物」的原
0x001F94  老師……
0x001F9E  就如同隨著光線的明亮璀璨，
0x001FBA  陰影也會更加地黑暗。
0x001FD0  它們的力量可以無限制地隨著敵人而增幅。
0x001FF8  …………
0x002002  與它們敵對的人，罪孽將無所遁形，
0x002024  而針對那罪孽的程度，
0x00203A  它們會毫不留情地給予制裁。
0x002056  我也是在這個時候才發現的……
0x002074  能夠與「匍伏蔓延而來之物」對抗的，
0x002098  就只有還保持著澄澈心靈的孩子們了。
0x0020BC  …………
0x0020C6  本來，大多數的賢者都已經朝著混亂的世界展
0x0020F0  開旅行。
0x0020FA  留守在學舍的賢者屈指可數……
0x002118  …………
0x002122  我們豁出全力，
0x002132  盡可能地讓孩子們能夠逃離這場災難。
0x002156  但是，憑我們的力量就能拯救所有人嗎？
0x00217C  現在，也只能祈禱他們能夠存活在這愛爾梅納
0x0021A6  斯的某處而已……
0x0021B8  …………
0x0021C2  就這樣地，
0x0021CE  羅亞爾•聖提竟在三天之內就被攻破了。
0x0021F4  對孩子們來說，
0x002204  那真是恐怖而又漫長的三天呀。
0x002222  ……那您知道各位長老的下落嗎？
0x002242  無論是守護之長、言靈之長、四書之長、
0x002268  鎖匙之長、或是沉默之長……
0x002284  …………
0x00228E  現在恐怕都在那一片廢墟之中吧。
0x0022AE  在使魔無法到達的遠方嗎？
0x0022C8  或是困守在無法穿透的障壁之中呢？
0x0022F0  那麼，校長又在哪兒呢……？
0x00230C  他現在也還在旅途之中。
0x002324  …………
0x00232E  就在愛爾梅納斯深陷混沌之中的現在，
0x002352  他應該是在險峻的天空山脈，
0x00236E  與那晦暗的樹海包圍之中。
0x002388  那也不是普通人可以隨便進入的地方呀。
0x0023AE  然而「匍伏蔓延而來之物」卻從羅亞爾•聖提
0x0023D8  地底的黑暗之中洶湧而出。
0x0023F2  並且在一瞬間就吞沒了中央校舍。
0x002412  真的是它們召來了充滿世界的混沌，
0x002434  而且現在更準備襲擊賢者的學舍嗎？
0x002456  ……這現在還不能妄下斷言。
0x002472  雖然如此，現在仍然有一些能確定的事情。
0x00249A  …………
0x0024A4  聖瑟維艾斯的「沉思的聖堂」、
0x0024C2  葛斯貝布洛的「不動的橋墩」、
0x0024E0  接著還有帕蘭達因的「眺望萬物的尖塔」。
0x002508  這些全部都是守護著羅亞爾•聖提的四個方位
0x002532  城郭。
0x00253A  ……雖然如此，
0x00254A  卻只有我們伊諾森提雅失去了四大的居城。
0x002572  這一切都是我的責任呀。
0x00258A  別這樣說，老師。
0x00259C  我支持您從安蒂米昂撤退的決斷。
0x0025BC  …………
0x0025C6  對於現在的伊諾森提雅來說，
0x0025E2  要守住那個地方已經很困難了不是嗎。
0x002606  雖然作為一個學習場所並不會有什麼問題，
0x00262E  但是空間仍然太大了一點。
0x002648  在這裡的話，感覺就輕便得多了。
0x002668  …………
0x002672  想起在那裡生活的種種……
0x00268C  有不少歡笑、學習了不少東西、也做了不少調
0x0026B6  皮搗蛋的事情、被責罵了不知道多少次。
0x0026DC  然而，這裡是一個儲備戰力的好地方。
0x002700  抱歉……
0x00270A  老師啊，請您打起精神。
0x002722  現在所要做的，
0x002732  就是用心地、沉穩地繼續努力下去。
0x002754  …………
0x00275E  在我們重回白皙城砦的時候，
0x00277A  純潔之盾也將在彼此的羈絆中合為一體。
0x0027A0  從你的口中，
0x0027AE  聽到這樣的話語……
0x0027C2  …………
0x0027CC  你真的是成熟了不少。
0x0027E2  雖然在羅亞爾•聖提與同伴們失散。
0x002804  然而那所造成的結果，
0x00281A  卻是讓我再度地見到了你。
0x002834  所以我能夠繼續存活下去。
0x00284E  所以我也能夠克服這些苦難。
0x00286A  …………
0x002874  …………
0x00287E  老師，抱歉打擾您一下……
0x002898  ……請進。
0x0028A4  打擾了。
0x0028AE  打擾了。
0x0028B8  …………
0x0028C2  怎麼了嗎？
0x0028CE  那詛咒的闇影又出現了。
0x0028E6  就在這艾爾貝洛瓦周圍……
0x002900  …………
0x00290A  ……在哪裡？
0x002918  數量又有多少？
0x002928  在達雷西昂那裡。
0x00293A  能夠確認的數量十分少……
0x002954  無論怎麼在守護塔上瞭望，
0x00296E  就是沒有辦法確定。
0x002982  ……別擔心。
0x002990  ……嗯？
0x00299A  如果它們要攻擊這裡的話，
0x0029B4  早就攻打過來了。
0x0029C6  …………
0x0029D0  …………
0x0029DA  …………
0x0029E4  …………
0x0029EE  要試著跟它們戰鬥看看嗎？
0x002A08  或者是去稍微查探一下？
0x002A20  …………
0x002A2A  對方距離這裡還有一段距離，
0x002A46  目前還不確定它們會不會再繼續逼近。
0x002A6A  老師……
0x002A74  老師……
0x002A7E  …………
0x002A88  希望你們能這樣想……
0x002A9E  「為了阻止它們，所以我才守在這裡。」
0x002AC4  倒是達雷西昂的守護塔，仍然健在嗎？
0x002AE8  是的。
0x002AF0  …………
0x002AFA  那個地方雖然老舊，
0x002B0E  卻是個十分堅固的城砦。
0x002B26  嗯嗯……
0x002B30  瑟希莉絲、伊里安。
0x002B44  讓它們見識見識我們伊諾森提雅的實力吧！
0x002B6C  …………
0x002B76  …………
0x002B80  別擔心，來，深呼吸一下。
0x002B9A  …………
0x002BA4  …………
0x002BAE  ……回憶一下吧。
0x002BC0  在這愛爾梅納斯所度過的點點滴滴。
0x002BE2  過去你們是如何努力地來到這裡。
0x002C02  …………
0x002C0C  …………
0x002C16  你們在這裡努力求學的過程，
0x002C32  奧爾菲的信裡不知道已經提過了多少次。
0x002C58  你們曾經那麼拚命地追求真理與夢想，
0x002C7C  我都已經知道了。
0x002C8E  曾經與你們一同奮鬥到現在的夥伴們，
0x002CB2  現在都已經不在這裡了……
0x002CCC  然而，他們一定能感受到你們的思念，
0x002CF0  就如同他們現在正浮現在你們的腦海中一般。
0x002D1A  一定是這樣的。
0x002D2A  啊……
0x002D32  …………
0x002D44  你們能夠做到吧？
0x002D56  ……是的！！
0x002D64  ……是的！！
0x002D72  回答得很好。
0x002D80  就照你們心裡所想的去努力吧。
0x002D9E  是，老師！
0x002DAA  是，老師！
0x002DB6  帕彌菈。
0x002DC0  當然，我也立誓一定努力作戰。
0x002DDE  對於您所指導的一字一句，
0x002DF8  我都打從心底感到愉悅。
0x002E10  …………
0x002E1A  在這嶄新的舞台……
0x002E2E  預祝你們的未來一帆風順……
