0x000BE8  《……這純潔之盾，
0x000BFC  　真的有辦法繼續前進嗎？
0x000C16  　當帕彌菈問我這樣的問題時，她的雙眼裡，
0x000C40  　露出了十分深沉的恐懼。》
0x000C5C  《在這個伊諾森提雅裡，
0x000C74  　也只剩下三個人了……
0x000C8C  　也難怪她會擔憂呀。》
0x000CA4  《然而，正是在這樣的危急時刻，
0x000CC4  　才會有嶄新的突破出現。》
0x000CE0  …………
0x000CEA  啊……
0x000CF2  怎麼了嗎？
0x000CFE  克莉絲他們……
0x000D0E  應該都沒事吧？
0x000D1E  …………
0x000D28  …………
0x000D32  我是這麼相信著的。
0x000D46  …………
0x000D50  ……在羅亞爾•聖提的戰鬥裡，
0x000D6E  每個人都毅然面對那混沌的恐怖。
0x000D8E  我想……
0x000D98  他們現在一定也正忍耐著不安，
0x000DB6  並且朝著這裡前進吧。
0x000DCC  還能再見到他們嗎？
0x000DE0  真的還能再見面嗎？
0x000DF4  ……瑟希莉絲，妳不用擔心。
0x000E10  無論是格列佛、柏爾德、克莉絲，
0x000E30  還是艾克索，一定都會平安回來的……
0x000E54  …………
0x000E5E  因為那些孩子們都曾經毫無疑慮地，
0x000E80  為了純潔之盾而奮鬥。
0x000E96  而我們也要像他們一樣保持信念。
0x000EB6  帕彌菈學姊。
0x000EC4  在困境中燃燒自己的生命，
0x000EDE  在深信的夥伴面前，獻上自己所有的熱情。
0x000F06  相信自己、相信朋友……
0x000F1E  他們毫無怨言地戰鬥過。
0x000F36  …………
0x000F40  一旦開口想說些什麼，
0x000F56  就容易說出一些喪氣話，
0x000F6E  而造成自己跟別人的不安。
0x000F88  如果自己沒注意到，
0x000F9C  還持續撒嬌的話……這是不行的。
0x000FBC  那、那樣的事情，我是絕對不會做的。
0x000FE0  嗯嗯，當然。
0x000FEE  ……既然如此，
0x000FFE  就相信他們會平安無事地回來，
0x00101C  而我們則負責守住這個家園。
0x001038  …………
0x001048  只要有妳，有伊里安，有我在。
0x001066  從一個人、兩個人，
0x00107A  我們現在已經有三個人在一起了。
0x00109A  ……是的。
0x0010A6  讓我們一起加油吧，瑟希莉絲？
0x0010C4  ……帕彌菈學姊。
0x0010D6  呵呵……
0x0010E6  我不久前也曾經像妳一樣問過老師。
0x001108  我問他：這個純潔之盾，
0x001120  真的還能延續下去嗎？
0x001136  …………
0x001140  他也是這麼回答我的。
0x001156  老師他……
0x001162  就因為聽到了這樣的回答，
0x00117C  所以我也稍微地堅強了一點呢。
0x00119A  …………
0x0011A4  那……明天也要早點起來加油唷？
0x0011C4  啊……
0x0011CC  那麼，老師……
0x0011DC  我先失陪了。
0x0011EA  …………
0x0011F4  嗯嗯，晚安。
0x001202  …………
0x00120C  ……瑟希莉絲？
0x00121C  我……
0x001224  我曾經聽過很多您在外旅行時的事蹟，
0x001248  真的聽說了不少。
0x00125A  在聽人述說的時候，
0x00126E  就好像我也跟您一起在那故事裡旅行一樣。
0x001296  …………
0x0012A0  這麼地纖細……
0x0012B0  這麼地機敏……
0x0012C0  並且這麼地悲傷、又是這麼地慈愛。
0x0012E2  ……奧爾菲說話的方式很特別呢。
0x001302  是呀，非常容易打動人心。
0x00131C  不，不是這樣的！
0x00132E  我一直都在想，
0x00133E  如果這些故事我也曾經親身經歷的話，
0x001362  如果老師您願意的話……
0x00137A  那個……關於您的事蹟，我想知道得更多！
0x0013A2  …………
0x0013AC  在這愛爾梅納斯裡度過的每一天，
0x0013CC  如果都能像您在旅途中所經歷的那樣生活……
0x0013F6  那該有多好……
0x001406  我、我好想接觸那故事裡的一切，
0x001426  我也好想、好想進入您的故事裡面。
0x001448  …………
0x001452  晚安……！
0x00145E  ……嗯嗯，晚安。
