0x000520  羅沙麗亞也離開了，只剩下三個人……
0x000544  雖然我也像帕彌菈一樣，懷疑著……
0x000566  「現在的純潔之盾究竟還能有什麼作為呢？」
0x000590  因而感到有點不安……
0x0005A6  他們一定會有很好的表現的。
0x0005C2  不過，還是得暫時待在這裡，
0x0005DE  學習一些必須瞭解的事物吧。
0x0005FA  十三年前，當一切才剛開始的時候，
0x00061C  也是只有三個人。
0x00062E  是的。
0x000636  ……那時候羅弗利對您的批評，
0x000654  還真的十分難聽哪。
0x000668  當時我還在想，
0x000678  這麼兇悍的人也算是僧侶嗎？
0x000694  是啊，真的是這樣。
0x0006A8  那時候對他的處罰總是那麼嚴苛，
0x0006C8  他會有一兩句怨言也是很正常的。
0x0006E8  雖然他真的是個令人頭疼的傢伙……
0x00070A  但也就因為他，讓我沒什麼心去煩惱其他事。
0x000734  真的是這樣呢。
0x000744  比起來，這些孩子們實在太優秀了。
0x000766  只是要跟上我現在所教的東西，
0x000784  實在是非常困難呀。
0x000798  做得到嗎？
0x0007A4  那些孩子們……
0x0007B4  我相信他們可以的。
0x0007C8  無論如何，
0x0007D4  他們會有必須走出艾爾貝洛瓦的時候。
0x0007F8  …………
0x000802  大圖書館那裡，
0x000812  現在情況已經十分恐怖了吧？
0x00082E  但是若沒有研讀那裡收藏著的典籍的話，
0x000854  也沒有辦法達到真正高深的程度。
0x000874  …………
0x00087E  而且現在聖者的墳墓也無法通行了。
0x0008A0  為了繼承那些曾在世上的聖者的精神……
0x0008C6  為了能夠克服那些嚴苛的戰鬥……
0x0008E6  還是需要讓他們去參拜一下呀。
0x000904  就算是迷失之森也好、火炎之谷也好、
0x000928  靜寂之都也好，
0x000938  總有一天都必須讓他們去見識一下。
0x00095A  然而在那之前……
0x00096C  我們就把目標放在安蒂米昂吧。
0x00098A  啊啊，的確應該這樣。
0x0009A0  首先，要回到一切的起點。
0x0009BA  是啊，要回到一切的起點。
