0x0007E4  果然，妳還是得離開了嗎，艾爾雪？
0x000806  他們現在正處於危急存亡的關頭呀……
0x00082A  殿下，非常抱歉……
0x00083E  乞望您能夠批准我暫時離開您的身邊。
0x000862  就算我同意妳離開，
0x000876  日後妳還是沒辦法擺脫背叛者的污名呀。
0x00089C  ……這我已經有所覺悟了。
0x0008B6  妳要去的地方是眺望萬物的尖塔嗎？
0x0008D8  那麼，妳心裡只要想著能在帕蘭達因實現自己
0x000902  的心願就好……
0x000912  …………
0x00091C  ……就不用再顧慮，
0x000930  以後是不是要活著回到葛斯貝布洛了。
0x000954  …………
0x00095E  所以，就盡情地去奮鬥吧。
0x000978  如果妳體內所流動的聖瑟維艾斯的血，
0x00099C  還感到痛苦的話，就盡情地去努力吧。
0x0009C0  ……殿下。
0x0009CC  妳在羅亞爾•聖提所受的傷痛還沒有痊癒。
0x0009F4  而我也不希望再虧欠妳什麼了。
0x000A12  …………
0x000A1C  然而，我也相信妳所抱持的原則，
0x000A3C  和葛斯貝布洛貫徹道義的信念相同。
0x000A5E  我不禁懷疑。
0x000A6C  妳體內所流的，真的是聖瑟維艾斯的血嗎？
0x000A94  不過，我也沒辦法再挽留妳了。
0x000AB2  …………
0x000ABC  如果我們還能繼續生存的話，
0x000AD8  希望還有重逢的機會。
0x000AEE  在那之前，千萬要好好活下去呀。
0x000B0E  感謝您的關心……
0x000B20  也希望殿下要好好保重自己啊。
0x000B3E  這個被陽光充分照耀的地方還真是舒服呀。
0x000B66  連因為體力耗弱而在此歇息的鳥兒，
0x000B88  都再度充滿活力地在空中展翅了呢。
0x000BAA  加德摩斯，身體狀況還好吧？
0x000BC6  馬馬虎虎啦……
0x000BD6  不過，現在還沒辦法用劍就是了。
0x000BF6  我們的老師─布拉奇•巴圖，
0x000C12  現在行蹤不明，
0x000C22  統領四天王的派洛斯•菲克特班，
0x000C42  現在也還沒有辦法持劍作戰。
0x000C5E  …………
0x000C68  老師是你的朋友。
0x000C7A  在這種情況下，
0x000C8A  身為他的朋友應該要做些什麼呢？
0x000CAA  殿下。
0x000CB2  我們的宿命是依道義立身，
0x000CCC  依存著道義而生存。
0x000CE0  遵循這樣生活方式的人，在這種情況下，
0x000D06  應該要不斷地保持修行才是……
0x000D24  …………
0x000D2E  布拉奇老師曾經說過，
0x000D44  從他第一次看到你的時候，
0x000D5E  就感覺你是適合接掌他指揮杖的人選。
0x000D82  胡說。
0x000D8A  我才不過十二歲，
0x000D9C  怎麼可以把四大學級之一的未來交到我手上。
0x000DC6  殿下所擁有的力量和我們不同，
0x000DE4  不管是那力量的本質還是它所代表的意義。
0x000E0C  因為雖然您能夠瞭解與使用魔法，
0x000E2C  卻仍然敬重葛斯貝布洛的劍與道義。
0x000E4E  …………
0x000E58  您擁有這麼兼容並包的心志與才能。
0x000E7A  兩年前的那一天，您來愛爾梅納斯的時候，
0x000EA2  所有人的心中一定都認為您應該歸屬於帕蘭達
0x000ECC  因的俊才吧。
0x000EDA  然而，布拉奇老師卻看出來了。
0x000EF8  只重視邏輯與魔法的帕蘭達因並不是真正適合
0x000F22  您的地方。
0x000F2E  …………
0x000F38  懇求您領導我們吧。
0x000F4C  希望大帝國貝爾德拉奇的謬斯大公的子嗣，
0x000F74  能夠成為我們霸道的正柱統帥。
0x000F92  我們以葛斯貝布洛所誇耀的道義，
0x000FB2  向殿下宣誓效忠。
