0x000A9A  ……老師。
0x000AA6  《「她就像在月光下開放的嬌弱水仙一樣」
0x000ACE  　奧爾菲似乎曾經這樣形容過。
0x000AEC  　不過那股清澈的聲音，
0x000B04  　似乎帶著幾許顫抖。》
0x000B1C  …………
0x000B26  《是因為夜晚的寒氣令她顫抖，
0x000B44  　或者是因為一個人來到這間屋子而不安？》
0x000B6E  ……老師？
0x000B7A  瑟希莉絲。
0x000B86  這麼晚還來打擾您……抱歉。
0x000BA2  ……請進。
0x000BB4  打擾了。
0x000BBE  …………
0x000BC8  妳這樣不冷嗎？
0x000BD8  ……有一點。
0x000BE6  那就要多穿一點啊。
0x000BFA  我泡熱茶給妳喝。
0x000C0C  …………
0x000C16  …………
0x000C20  老師……
0x000C30  老師在回來之前，
0x000C42  就已經知道大家都在艾爾貝洛瓦了嗎？
0x000C66  …………
0x000C70  那麼，也就是說，老師有預知的能力囉？
0x000C96  啊啊，這個啊……
0x000CA8  雖然說的確有學過一點預知術。
0x000CC6  但幾乎是完全學不會呀。
0x000CDE  既然如此的話，
0x000CEE  為什麼會這麼巧地回到這裡呢？
0x000D0C  讓我回到這裡的原因，
0x000D22  大概比妳想到的還多很多吧……
0x000D40  抱歉……
0x000D4A  看來妳對預知能力很有興趣？
0x000D66  那，那個……
0x000D7C  我還是直說吧。
0x000D8C  …………
0x000D96  如果用比較容易了解的方式來說呢，
0x000DB8  我是因為受到一股「希望能夠見到某種事物」
0x000DE2  的思念力量所影響。
0x000DF6  只是這樣的話……
0x000E08  沒錯，我當時是打算走向羅亞爾•聖提的，
0x000E30  而且同時也想著要去安蒂米昂一趟。
0x000E52  但是呀……在不知不覺間，
0x000E6C  我的腳就自己走向這裡了。
0x000E86  …………
0x000E90  如果那天我沒有回到艾爾貝洛瓦的話，
0x000EB4  現在恐怕就沒辦法過得這麼悠閒了吧。
0x000ED8  …………
0x000EE2  來，喝了這個之後就會比較暖一點了。
0x000F06  不過對貓舌的人來說……
0x000F1E  恐怕是燙得難以入口吧。
0x000F36  謝……謝謝。
0x000F44  …………
0x000F4E  …………
0x000F58  聽不懂我剛剛說的嗎？
0x000F74  就是剛剛說的，
0x000F84  為什麼我會回來這裡的原因……
0x000FA2  ……的確是聽不懂。
0x000FB6  …………
0x000FC0  我們第一次見面的時候，妳說過，
0x000FE0  想見我一面。
0x000FEE  …………
0x000FF8  是的。
0x001000  就因為妳心中強烈地想著「希望能見我一面」
0x00102A  這個想法。
0x001036  …………
0x001040  同時，雖然我只能依照信中的敘述想像你們的
0x00106A  樣子，但我也一樣地在心中抱持著想見到你們
0x001094  的念頭。
0x00109E  所以，這種「希望能夠見到某種事物」的想法
0x0010C8  ，就把我指引到這裡來了。
0x0010E2  雖然是很單純的道理，
0x0010F8  但是對這件事情來說，卻是很重要的因素。
0x001120  可是我……
0x00112C  我應該沒有這麼強的力量吧……
0x00114A  沒錯，也許妳的確沒有這種力量。
0x00116A  也許是我心中想見到的其他人裡面，
0x00118C  正好有人的想法與我的想法互相呼應吧。
0x0011B2  ……一定是這樣的。
0x0011C6  但是，其實並不是這樣的。
0x0011E6  妳所想聽的事情，
0x0011F8  其實並不是這些對吧？
0x001216  …………
0x001220  我……
0x001228  我、我……
0x001234  …………別害怕。
0x001246  知道嗎，害怕向別人發問是不好的。
0x001268  真，真的。
0x001274  真的沒什麼。
0x001282  瑟希莉絲……
0x001290  ……抱歉，我先離開了！
0x0012B0  唉呀呀……
0x0012BC  但是，這孩子根本就是……
0x0012D6  一副比面對著恐怖的巨龍還要緊張的態度嘛。
0x001300  真是個大問題哪。
