0x0029A4  《那一天，對聖瑟維艾斯來說……
0x0029C4  　可以說是暫時走下了歷史的舞台吧。
0x0029E8  　總是走在人們憧憬目光前的法娜•修貝流士
0x002A12  　，現在也是這樣地獨自漂流。》
0x002A32  《到底發生了什麼事呢？
0x002A4A  　無論是誰都想知道這個問題的答案。》
0x002A70  《也許有些人對這件事情漠不關心。
0x002A92  　雖然大家都是在學舍中求學的同伴，
0x002AB6  　然而對聖瑟維艾斯也都有一定程度的敬畏吧
0x002AE8  《能讓懦弱的伊里安，這樣直接地表達出心中
0x002B12  　的想法。
0x002B1E  　這也表示他真的很敬畏聖瑟維艾斯呀。》
0x002B46  法娜學姊！
0x002B52  真的，真的很令人高興。
0x002B6A  您能安然無事，真是令人開心呀！
0x002B8A  你看起來似乎非常地努力呢。
0x002BA6  就算只有一點點進步也好……
0x002BC2  我也希望可以儘量縮短跟大家的差距。
0x002BE6  原來如此……
0x002BF4  伊諾森提雅似乎也過得很安全呢。
0x002C14  安蒂米昂變成了一座空城，
0x002C2E  我還以為大家都已經失散到各地了呢。
0x002C52  你們還能存活下來，真的太好了，真的。
0x002C78  看來妳也很為我們擔心呢……
0x002C94  但是，我們的確都失散了呀。
0x002CB0  還能像現在這樣地回到這個地方的，
0x002CD2  也只有我們這幾個了。
0x002CE8  …………
0x002CF2  法娜……
0x002CFC  妳，該不會……
0x002D0C  ……帕彌菈。
0x002D1A  不，其實妳不說也可以……
0x002D34  …………
0x002D3E  「沉思的聖堂」─凡迪斯斐爾已經淪陷了。
0x002D66  聖瑟維艾斯已經淪陷了。
0x002D7E  怎麼會連沉思的聖堂也……
0x002D98  中央校舍都已經被攻破了。
0x002DB2  我想這也沒有什麼值得驚訝了吧。
0x002DD2  那麼，法娜學姊……
0x002DE6  其他的人都到哪兒去了呢……
0x002E02  抱歉，伊里安……
0x002E14  不論是一直很照顧你的席菈也好，
0x002E34  還是支撐著聖瑟維艾斯的費爾德訥•派隆也好
0x002E64  大家到底怎麼樣了，我完全都不知道。
0x002E88  法娜學姊……
0x002E96  ……然而。
0x002EA2  聖瑟維艾斯的精神是不會毀滅的。
0x002EC2  雖然連愛爾梅納斯的象徵也崩潰了，
0x002EE4  而且學舍已經陷入了這樣的困境……
0x002F06  嗯嗯……
0x002F10  大家，現在一定也在某個地方，
0x002F2E  一起吟誦著光明的話語吧。
0x002F48  我是這麼相信著的。
0x002F5C  …………
0x002F66  聖瑟維艾斯的大家都……
0x002F7E  都是很了不起的人呀。
0x002F94  雖然我們求學的地方不同，
0x002FAE  但是他們都是很優秀的前輩呀。
0x002FCC  你還真是個值得疼愛的人呢……
0x002FEA  已經沒有機會再見到他們了嗎？
0x003008  每次只要我向他們請教問題，
0x003024  他們總是會耐心地指導到我瞭解為止。
0x003048  …………
0x003052  在我有困難的時候，
0x003066  也總是受到他們的幫助。
0x00307E  伊里安……
0x00308A  雖然如此，可是當他們面臨危難的時候……
0x0030B2  我，我卻沒辦法去幫助他們……
0x0030D0  可憐哪……
0x0030DC  可是……
0x0030E6  可是，我在純潔之盾這樣的保護之下……
0x00310C  打從心底感覺很有安全感。
0x003126  我其實是很幸運的。
0x00313A  …………
0x003144  啊……真是令人安心。
0x00315A  可是我竟然忘記了還有人身在苦難之中，
0x003180  還突然開心了起來。
0x003194  我……
0x00319C  我真是太差勁了。
0x0031AE  伊里安……
0x0031BA  我根本沒有那種資格……
0x0031D2  去讓那些優秀的前輩教導我……
0x0031F0  我那麼……
0x0031FC  我那麼敬愛的人們都已經不在了……
0x00321E  …………
0x003228  雖然如此，雖然如此……
0x003240  可是，我現在居然還這麼地……
