0x000BD4  這裡就是愛爾梅納斯……
0x000BEC  呼∼∼！！
0x000BF8  看來是非進去不可了，嗯，絕對是這樣的。
0x000C20  總之，我就先想辦法找到有書桌的地方吧！！
0x000C4A  絕對有的，絕對會有書桌在這裡的某個地方！
0x000C74  因為我會找到它的∼∼∼！！！
0x000C92  雖然我是不想唸書啦，
0x000CA8  因為每次一坐在椅子上呀，
0x000CC2  就想靠在椅背上好好地坐著睡一覺∼
0x000CE4  可是呢可是呢，
0x000CF4  待在這裡就再也不用為找食物的事情操勞了，
0x000D1E  而且這裡的水呀，真是超棒的咧，
0x000D3E  可以把皮膚洗得亮晶晶的呢！
0x000D5A  妳好像之前也有在這附近摸索些什麼呢。
0x000D80  咦咦∼∼∼！？
0x000D90  不不不不可以呀，
0x000DA2  你要是這樣說的話！！
0x000DB8  …………
0x000DC2  就好像在講我是個大路痴，不是嗎！？
0x000DE6  雖然這麼說，其實我是在實習斥候的工作，
0x000E0E  所以當然是不∼可以太深入啦∼∼∼！！
0x000E34  …………
0x000E3E  ……欸嘿嘿。
0x000E4C  妳想去哪兒呢？
0x000E5C  要去有書桌的地方。
0x000E70  要到我家來看看嗎！？
0x000E86  不行不行！！
0x000E94  只有要偷偷跑進去調查的時候，
0x000EB2  才可以到陌生人的家裡面！！
0x000ECE  ……呃。
0x000ED8  啊啊，不是啦不是啦，
0x000EEE  叡智的殿堂帕蘭達因才是我所說的，
0x000F10  可以好好地讓妳休息一下的我的家呀。
0x000F34  帕蘭達因？
0x000F40  那裡有個眺望萬物的尖塔。
0x000F5A  妳……沒有聽說過嗎？
0x000F70  這是我第一次就是了。
0x000F86  第一次？
0x000F90  第一次到愛爾梅納斯？
0x000FA6  嗯∼∼∼
0x000FB0  我正在參加入學考試，我希望是。
0x000FD0  我們真的可以在這裡閒聊嗎？
0x000FEC  你也是考生嗎？
0x000FFC  參加……入學考試……？
0x001014  正是！
0x00101C  ……這個森林很危險。
0x001032  難道妳只有一個人在這裡嗎？
0x00104E  妳沒有跟賢者們同行嗎？
0x001066  我爺爺呀，已經去世了唷。
0x001080  所以，我才會跑來這裡嘛。
0x00109E  要變成賢者啊，在這裡。
0x0010B6  雖然我可能做不到啦……
0x0010CE  但是我在這裡想做各式各樣的事情呀！
0x0010F2  妳的爺爺叫什麼名字呢？
0x00110A  貝爾納雷信•溫菲。
0x00111E  …………
0x00112E  難道是……
0x00113A  難道是那位答哈忒瑪的弓神閣下？
0x00115A  嗯∼∼∼
0x001164  我也不是很清楚耶。
0x001178  我爺爺的事情，我一點都不瞭解哪。
0x00119A  欸嘿嘿，我真是個壞孫女對吧。
0x0011B8  他真是個溫柔的爺爺呢。
0x0011D0  你怎麼會知道！？
0x0011E2  當然知道呀，
0x0011F0  看妳的樣子就知道了。
0x001206  這樣啊。
0x001210  看來帕蘭達因好像也是個好地方呢。
0x001232  嗯，是啊……
0x001240  總之，還馬馬虎虎啦。
0x001256  我可是這麼認為的呢∼
0x00126C  如果妳……
0x00127E  如果妳願意來的話，
0x001292  我們真的很歡迎唷。
0x0012A6  嗯∼∼∼
0x0012B0  在帕蘭達因裡也有書桌跟椅子唷！
0x0012D0  真的嗎！？
0x0012DC  大概，吧。
0x0012E8  雖然我不確定妳會不會喜歡它們啦。
0x00130A  謝謝∼∼∼！！
0x00131A  我是凱洛特！
0x001328  凱洛特•溫菲！
0x001338  我是紐•普勞迪司。
0x00134C  歡迎妳來到叡智的殿堂•帕蘭達因。
0x00136E  請多多指教！
0x00137C  也請妳多多指教呀。
0x001390  凱洛特•溫菲。
