0x001364  做得好，修奈鐸。
0x001376  啊……
0x00137E  …………
0x001388  雖然賢者圓桌現在寄宿在你這裡，
0x0013A8  不過那也是因為已經找不到其他更合適的地方
0x0013D8  真是給你添了不少麻煩呀。
0x0013F2  蕾芃•葛特巴法閣下，
0x001408  代理校長職務的華麗眺望萬物之長呀，
0x00142C  您的安全比一切事物都來的重要。
0x00144C  …………
0x001456  海神之長─聶葫•德納閣下。
0x001472  門戶之長─鮑貝斯•福亞托德閣下。
0x001494  積石之長─鮑伯•亞德拉斯閣下。
0x0014B4  敝人對於能夠在眺望萬物的尖塔接待你們，
0x0014DC  真的是感到非常地榮幸。
0x0014F4  …………
0x0014FE  辛苦你了。
0x00150A  聖瑟維艾斯怎麼樣了呢？
0x001522  就如各位所知道的一樣……
0x00153C  黑闇的舵手，漆黑的奈比洛斯•盧希弗吉，
0x001564  擁護混沌的意志非常堅定。
0x00157E  甚至甘願接受鎖鏈束縛也堅不吐實。
0x0015A0  …………
0x0015AA  而那些孩子們，在沉思的聖堂被捕，
0x0015CC  現在正被關在黑暗的牢獄裡。
0x0015E8  真是悲哀呀。
0x0015F6  他們連自己的老師是混沌的爪牙都不知道。
0x00161E  …………
0x001628  …………
0x001632  ……混沌是從黑闇之中產生出來的。
0x001654  聖瑟維艾斯的總裁奈比洛斯•盧希弗吉，
0x00167A  引導了匍伏蔓延而來之物攻擊學舍，
0x00169C  這一切都已經確定了嗎？
0x0016B4  她用沉默拒絕協助我們消除混沌，
0x0016D4  這就是最好的證據。
0x0016E8  …………
0x0016F2  …………
0x0016FC  奈比洛斯的老師，
0x00170E  沉默之長吉爾梅亞•凡瓦圖克也還在……
0x001734  還在靜寂之都－聖者的墳墓裡，
0x001752  保持一貫的沉默嗎？
0x001766  算了，反正那一位好像一向都是這樣嘛。
0x00178C  你現在議論的，正是四賢使之一的人物，
0x0017B2  請你小心你的措辭！！
0x0017C8  …………
0x0017D2  …………
0x0017DC  …………
0x0017E6  ……如果他們有異議的話，
0x001800  應該會要求一個為自己辯白的機會吧。
0x001824  在孤立無援的情況下，
0x00183A  沒有人想要為自己辯解，反而選擇了沉默。
0x001862  我想這答案已經很明顯了。
0x00187C  不要這麼隨便就妄下斷語呀，修奈鐸。
0x0018A0  只要還有任何一個聖瑟維艾斯的成員存活，
0x0018C8  我們賢者圓桌就必須想辦法打破那沉默，
0x0018EE  聽取你們雙方的說法。
0x001904  那是當然的。
0x001912  而負責最後辯護的人，
0x001928  就是聖瑟維艾斯的輔佐官了。
