0x00082A  咕，嗯∼∼∼！
0x00083A  ……我還是太衝動了呀。
0x000852  光是打破沉默的戒律就已經很糟糕了，
0x000876  甚至還因為「三愚」的影響，
0x000892  而把怒氣表現出來了……
0x0008AA  這樣，不就一眼可以看出交涉一定會決裂了嗎
0x0008D8  唉唉，艾爾雪•貝爾薩，
0x0008F0  妳的修行還不夠呀……
0x000906  費爾德訥•派隆。
0x000918  我沒有辦法忘記你的眼神……
0x000934  離開聖瑟維艾斯的那一天，
0x00094E  你甚至還對我說了這樣的話：
0x00096A  「妳要抬頭挺胸地面對妳應該完成的事情」
0x000992  笨蛋，你真是個笨蛋呀，
0x0009AA  竟然對這麼無能的我有這麼高的評價……
0x0009D0  《我想拯救聖瑟維艾斯，
0x0009E8  　想拯救愛爾梅納斯。
0x0009FE  　然而……》
0x000A0C  《雖然說著要拯救故鄉的大話，
0x000A2A  　可是追根究底，
0x000A3C  　我還不是只考慮到自己的事情而已。
0x000A60  　一切都只是我自己所希望的而已。》
0x000A84  那時候也是這樣，
0x000A96  現在的我更是完全沒有進步。
0x000AB2  我的劍會被大家捨棄，這也是理所當然的。
0x000ADA  用那種無論是誰聽到了，
0x000AF2  都會認同的理由去搪塞，
0x000B0A  藉以一口氣發洩那紛亂的情緒……
0x000B2A  真是的，不過……跟紐•普勞迪斯說的一樣。
0x000B54  一個人的弱點一旦被刺傷，
0x000B6E  就會做出愚蠢的行為。
0x000B84  若是被他人喝叱的時候，
0x000B9C  無論多想要保持風度也是……
0x000BB8  被人看作是禍根而遭到責備的時候，
0x000BDA  我又回應了些什麼呢？
0x000BF0  我真的是一點也不成熟呀。
0x000C0A  …………
0x000C14  ……別過來，否則我就不客氣了。
0x000C34  我艾爾雪•貝爾薩，
0x000C48  對這件事可是一點也不會猶豫。
0x000C66  如果妳心裡有什麼心事，
0x000C7E  沒辦法對別人訴說的話，至少，
0x000C9C  妳也可以說給我聽聽吧。
0x000CB4  ……老師一定會這樣對我們說的，不是嗎？
0x000CDC  薛莉爾！
0x000CE6  原來妳沒事呀……！
0x000CFA  是呀，就像妳看到的一樣。
0x000D14  那聖瑟維艾斯呢？
0x000D26  妳那邊有什麼消息嗎？
0x000D3C  奈比洛斯閣下現在也跟費爾德訥他們在一起。
0x000D66  雖然被囚禁在眺望萬物的尖塔裡……
0x000D88  她也一定執著教鞭教導大家，
0x000DA4  在牢獄中應有的態度跟生活方式吧。
0x000DCE  啊啊，不管是費爾德訥、法娜還是席菈也好，
0x000DF8  大家一定都還活著的。
0x000E0E  一定的。
0x000E18  那麼。
0x000E20  就跟我一起走吧，到伊諾森提雅去。
0x000E42  ……果然，只剩下這一條路了嗎？
0x000E62  唉呀，和葛斯貝布洛斷絕了關係、
0x000E82  在帕蘭達因的門口被驅逐、而聖瑟維艾斯又被
0x000EAC  囚禁了……
0x000EB8  除了純潔之盾以外，
0x000ECC  妳還知道有什麼更好的地方可以去嗎？
0x000EF0  …………
0x000EFA  那……真的沒有嗎……
0x000F10  艾爾雪呀，就連羅弗利閣下也對我說，
0x000F34  「妳可以去的地方就只剩下純潔之盾了」呀。
0x000F5E  ……妳不要被那個男的給騙了，
0x000F7C  伊諾森提雅早就四分五裂了，
0x000F98  我最近遇到了「司法」羅沙麗亞•奧笛納。
0x000FC0  …………
0x000FCA  也許她被「劍將」奧吉爾說服，
0x000FE8  不知道什麼時候也歸入了帕蘭達因麾下。
0x00100E  只剩下白銀的薔薇獨力支撐，
0x00102A  我們去純潔之盾又能獲得什麼幫助呢？
0x00104E  所以……妳是不想去囉？
0x001066  嘖……
0x00106E  如果聽信那個傢伙的建議的話，
0x00108C  說不定會碰到什麼麻煩事吧。
0x0010A8  就算是這樣也沒關係嗎？
0x0010C0  那就是艾爾雪妳自己要決定的事情了呀。
0x0010E6  …………
0x0010F0  至少……
0x0010FA  羅弗利閣下現在正代替我被帕蘭達因囚禁著，
0x001124  就算妳不去純潔之盾，我也是得去的。
0x001148  真是狡猾的傢伙，
0x00115A  就是用這種手段把別人引進麻煩裡嗎，
0x00117E  如果他保持沉默的話，其實還蠻可愛的咧。
0x0011A6  唉呀，艾爾雪。
0x0011B6  那不是在說妳自己嗎？
