0x000A04  學長……我不瞭解……
0x000A1A  為什麼帕蘭達因的總帥─修奈鐸•華倫斯提，
0x000A44  會把聖瑟維艾斯當作是混沌的根源呢？
0x000A68  他把與聖瑟維艾斯所執掌光明互補的黑闇力量
0x000A92  稱為混沌。
0x000A9E  然而，奈比洛斯閣下怎麼可能……
0x000ABE  為什麼要散播這些毫無憑據的謠言呢？
0x000AE2  我沒有辦法接受……！！
0x000AFA  因為拒絕一起跟「匍伏蔓延而來之物」作戰，
0x000B24  以及讓出能夠消除混沌的愛爾梅納斯密寶─
0x000B4C  十二王杯……
0x000B5A  奈比洛斯閣下保持沉默，
0x000B72  卻也因此承受了一切指責……
0x000B8E  就算如此，妳現在也相信著妳的老師嗎？
0x000BB4  ……是的。
0x000BC0  奈比洛斯閣下被囚禁的時候，
0x000BDC  我本來也想追隨她的腳步一起被囚禁的……
0x000C04  然而那時候，我卻被羅弗利先生給救了出來。
0x000C2E  …………
0x000C38  他代替我受刑，以他自己的名譽起誓……
0x000C5E  …………
0x000C68  …………
0x000C72  《不顧一切危險，
0x000C84  　奈比洛斯閣下堅持沉默……
0x000CA0  　她恐怕是抱著讓沉思的聖堂毀滅的覺悟，
0x000CC8  　才因此拒絕的。》
0x000CDC  …………
0x000CE6  現在十二王杯的下落是……？
0x000D02  帕蘭達因擁有三個，
0x000D16  在葛斯貝布洛收藏著一個，
0x000D30  而聖瑟維艾斯保管了七個，
0x000D4A  剩下的一個目前不知去向……
0x000D66  聖瑟維艾斯不愧是四大學級之首呀，
0x000D88  可是，純潔之盾裡竟然一個也沒有嗎？
0x000DAC  九年前……
0x000DB8  學長們曾經將所有的十二王杯都贏回來，
0x000DDE  那份成就的偉大，
0x000DF0  就算是現在，我也能夠感受得到。
0x000E10  勝利女神是不可捉摸的呀，
0x000E2A  而且那時候的情況跟現在也不太一樣。
0x000E4E  …………
0x000E58  …………
0x000E62  學長……
0x000E6C  為了對抗利用元素力量的魔法，
0x000E8A  人們創造了光明的魔法。
0x000EA2  而那光明的力量，來自於黑闇的話語中。
0x000EC8  …………
0x000ED2  我認為這兩種法術都是榮耀的存在，
0x000EF4  並且一直深愛著這份光榮。
0x000F0E  而學長你……
0x000F1C  也認為那黑闇……
0x000F2E  因為被稱為黑闇，所以……
0x000F48  就相當於被稱為混沌的邪惡存在嗎？
0x000F6A  都到了這種時候，何必再問這種問題呢。
0x000F90  就因為我曾經追隨沉思的聖堂，
0x000FAE  所以我才會感受到這一分榮耀。
0x000FCC  並且也因為我能體會黑闇的安寧……
0x000FEE  所以黑闇與混沌之間的疑問令我恐懼呀！
0x001014  人都可能對無法看穿的黑闇感到畏懼，
0x001038  所以會有害怕黑闇的本能。
0x001052  …………
0x00105C  然而，聖瑟維艾斯所學習的知識，
0x00107C  對純潔之盾來說，是遙不可及的珍貴資產。
0x0010A4  …………
0x0010AE  有人會對這樣的力量有所感念，
0x0010CC  也有人卻會對這樣的力量感到厭惡。
0x0010EE  而我則是想要去拯救那將慈愛的光明與安寧的
0x001118  黑闇分享給我們的，
0x00112C  四大學級之一的盟友。
0x001142  孩子們也抱著這樣的想法，
0x00115C  想去援救聖瑟維艾斯。
0x001172  學長……
0x00117C  我覺得您是以率直的、有活力的、毫無虛偽的
0x0011A6  笑容，
0x0011AE  這麼周到地照顧著伊諾森提雅的孩子們……
0x0011D6  …………
0x0011E0  …………
0x0011EA  …………
0x0011F4  我希望您也能在我有所迷惑的時候，
0x001216  在我身邊守護我。
0x001228  嗯嗯。
0x001230  而我也希望妳能夠好好地守護那些孩子們。
0x001258  是的……！
0x001264  既然我們面對的，
0x001276  是賢者所不能對抗的混沌……
0x001292  果然還是需要十二王杯的力量吧。
0x0012B2  …………
0x0012BC  這是解開隱藏在愛爾梅納斯裡的秘密關鍵。
0x0012E4  因為這份力量是如此地高貴，
0x001300  甚至是過分地強大，
0x001314  所以才會被分散在十二王杯之中。
0x001334  不知道從什麼時候開始，
0x00134C  那個就成為了四大學級之間競賽的戰利品。
0x001374  而這些奇蹟的結晶，帶來了眾神的祝福。
0x00139A  …………
0x0013A4  為了追求那消滅混沌的奇蹟，
0x0013C0  帕蘭達因朝著追求十二王杯而前進。
0x0013E2  奈比洛斯•盧希弗吉寧可接受他人的指責，
0x00140A  也不願意交出十二王杯。
0x001422  奈比洛斯恐怕已經……
0x001438  老師。
0x001440  …………
0x00144A  …………
0x001454  唔……
0x00145C  我們重返安蒂米昂的時機，究竟會是何時呢？
0x001486  那時機總有一天會到來吧。
0x0014A0  那就是孩子們將思念傳達給我們的時候。
0x0014C6  那麼，我們就只有好好地守護他們了。
0x0014EA  是的。
0x0014F2  希望老師多多協助。
