0x0008FA  這裡是∼！！！
0x00090A  太好啦∼∼∼
0x000918  這裡有書桌耶∼∼∼
0x00092C  而且連椅子也有呢！！
0x000942  哈∼∼∼∼∼
0x000950  這種感覺是什麼呀，這種懷念的感覺。
0x000974  給人一種……
0x000982  不知道什麼時候曾經來過這裡的感覺呢……
0x0009AA  雖然有一大堆又厚又重的書，
0x0009C6  看起來好像永遠也看不完的樣子……
0x0009E8  嗯，這個是……
0x0009F8  呵呵∼這個我看得懂唷。
0x000A10  什麼什麼……
0x000A1E  帕彌菈也是，
0x000A2C  不知不覺間變得很成熟了。
0x000A46  瑟希莉絲，
0x000A52  純粹的思維結晶。
0x000A6C  個人觀感明顯，總是保持率直的微笑，
0x000A90  雖然在苦難之中也能筆直地走出自己的路，
0x000AB8  英姿凜凜的公主。
0x000ACA  艾爾雪，
0x000AD4  以道義為信念，堅定地生活著。
0x000AF2  伊里安，
0x000AFC  努力地想要變得更率直，正在改頭換面中。
0x000B24  奎絲忒，
0x000B2E  沉默地編織自己的夢想，可愛的精靈。
0x000B52  總有一天，大家都會走上各自的道路吧……
0x000B7A  嗯∼∼∼∼！
0x000B88  寫得真是莫名其妙∼討厭！！
0x000BA4  要寫日記的話就給我寫得像日記一點啊，
0x000BCA  要給我寫得清清楚楚的，清清楚楚的！！
0x000BF0  《……？》
0x000BFC  我想想，這個人應該是這裡的老師吧！
0x000C20  不過，本來以為是小孩的這個帕彌菈，
0x000C44  還真是讓人蠻感興趣的呢∼∼！
0x000C62  看來妳看得很高興嘛？
0x000C78  是啊是啊，要是內容更多一點就好了……
0x000C9E  唉呀啊啊啊啊啊！！！
0x000CB4  欸嘿嘿，其實也不是很討厭啦，
0x000CD2  像這樣的……日記？
0x000CE6  承蒙指教了。
0x000CF4  …………
0x000D06  凱洛特！！
0x000D12  凱洛特•溫菲！
0x000D22  那你呢！？
0x000D2E  …………
0x000D38  我啊，是這個房間的主人。
0x000D52  老師？
0x000D5A  歡迎妳來到純潔之盾伊諾森提雅。
0x000D7A  住的房子很小，
0x000D8A  可是你為人度量倒是蠻大的呢……！
0x000DAC  謝謝。
0x000DB4  可是可是，我還真不知道……
0x000DD0  原來愛爾梅納斯是這麼危險的地方呢。
0x000DF4  …………
0x000DFE  每天都在這裡過著這麼可怕的生活，
0x000E20  那我就可以變成了不起的賢者了，
0x000E40  對吧∼∼∼
0x000E4C  …………
0x000E56  你要相信我嘛∼
0x000E66  倒是，這裡看起來有一些不平凡的孩子呢。
0x000E8E  那應該有年輕的女孩在這裡吧？
0x000EAC  是跟我差不多大的嗎？
0x000EC2  還是比我小一點呢……
0x000ED8  雖然這裡風景很漂亮，
0x000EEE  不過也有很多黑影在四周晃來晃去呢！！
0x000F14  嗯∼∼∼真不愧是愛爾梅納斯！
0x000F32  黑影……？
0x000F3E  是的！！
0x000F48  《匍伏蔓延而來之物……？
0x000F62  　這位少女有碰到過？》
0x000F7A  ……這裡就是伊諾森提雅，對吧？
0x000F9A  嗯嗯。
0x000FA2  ……原來如此啊。
0x000FB4  那這裡就是爺爺的故鄉囉∼
0x000FCE  …………
0x000FD8  凱洛特啊，如果妳願意的話，
0x000FF4  可不可以把剛剛說的話再說詳細一點？
0x00101E  如果你可以讓我參加考試的話！
0x00103C  我什麼都會說唷！
