0x000222  早安。
0x00022A  我已經把凱洛特的敘述整理出頭緒了……
0x000250  她之前所說的地點，
0x000264  應該是在那倒映著無數樹木的綠色湖泊－
0x00028A  「巴爾西亞」附近。
0x00029E  那裡有切開山脈的急峻溪流「魯提沙」流過，
0x0002C8  也在半眼塑像所在的「帖拉芬」森林附近。
0x0002F0  巴爾西亞、魯提沙、帖拉芬……
0x00030E  而在他們所交會的地方，有個達雷希昂砦，
0x000336  雖然是個古老的城砦，
0x00034C  但是四周卻有著許多堅固的守護塔。
0x00036E  …………
0x000378  我們要往達雷希昂擴張防衛線嗎？
0x000398  正好……
0x0003A2  這次可以把凱洛特帶去當作斥候，
0x0003C2  她的實力足以一個人排除萬難來到這裡，
0x0003E8  我對她的表現十分期待。
0x000400  …………
0x000410  如果真的打不過的話，那個時候……
0x000432  因為「匍伏蔓延而來之物」在白天時，
0x000456  地面上的行動緩慢，所以只要逃跑就好了。
0x00047E  是的。
