0x0003EE  純潔之盾現在正在蓄積實力。
0x00040A  ……他們現在正處於這漩渦的中心呀。
0x00042E  那真是一位傑出的賢者呀。
0x000448  也正因為如此，
0x000458  就算賢者圓桌已經有所裁定了，
0x000476  他還是勇於庇護聖瑟維艾斯。
0x000492  …………
0x00049C  他現在已經接納了聖瑟維艾斯的法娜•修貝流
0x0004CC  無論他對事實瞭解了多少，
0x0004E6  現在要叫他放手，應該也是沒辦法了吧。
0x00050C  ……就算是在受到了「匍伏蔓延而來之物」威
0x000536  脅的時候？
0x000542  他就是這樣的一個人。
0x000558  那麼……我們就得加強監視囚禁在安蒂米昂的
0x000582  傑萊特•羅弗利。
0x000594  並且必須把法娜•修貝流士帶來這眺望萬物的
0x0005BE  尖塔。
0x0005C6  …………
0x0005D0  ……請你這樣命令純潔之盾吧。
0x0005EE  …………
0x0005F8  他們不會就這樣屈服的。
0x000610  他們也一定會用毫不猶豫的手段，
0x000630  想辦法把傑萊特•羅弗利從牢獄裡救出來吧。
0x00065A  那麼，我們不如命令那遵守道義的霸道正柱。
0x000684  葛斯貝布洛應該會為了讓純潔之盾走上正途而
0x0006AE  努力吧。
0x0006B8  …………
0x0006C2  眺望萬物之長呀，
0x0006D4  懇求您將四大學級合而為一吧，
0x0006F2  在這麼危急的時刻，已經沒有時間猶豫了。
0x00071A  修奈鐸，你應該很瞭解的呀。
0x000736  就因為在這麼重要的時刻，
0x000750  所以只有這件事是不可以做的。
0x00076E  ……蕾芃。
0x00077A  抱歉。
0x000782  ……不。
0x00078C  在學舍真正的主事長老不在時，
0x0007AA  能夠判決聖瑟維艾斯有和混沌共謀的嫌疑，
0x0007D2  就已經很足夠了。
0x0007E4  我也不會強求要有更大的進展。
0x000802  …………
0x00080C  那麼，我要離開了。
0x000820  美麗的眺望萬物之長呀。
0x000838  希望無論在什麼時候、什麼樣的情況下，
0x00085E  您所做的指揮都是正確的。
0x000878  …………
