0x000D06  久候多時了。
0x000D14  唉呀，這位該不會是……
0x000D2C  …………
0x000D36  炎之帝……
0x000D42  …………
0x000D4C  真是個古老的稱號呀。
0x000D62  …………
0x000D6C  您的來訪令人驚訝呀，門戶之長，
0x000D8C  您今天究竟是為了什麼事情而來的呢？
0x000DB0  以下，是賢者圓桌的傳話，
0x000DCA  希望各位容許我發言。
0x000DE0  …………
0x000DEA  …………
0x000DF4  純潔之盾已經收容了聖瑟維艾斯的成員，
0x000E1A  這是毫無疑問的。
0x000E2C  ……在羽翼之長同意的情況之下。
0x000E4C  我們希望不動的橋墩，
0x000E62  可以將法娜•修貝流士引渡過來看管，
0x000E86  並且將她拘提到眺望萬物的尖塔來。
0x000EA8  …………
0x000EB2  ……引渡？
0x000EBE  純潔之盾現在尚未墮落。
0x000ED6  他們之所以會收容法娜•修貝流士……
0x000EFA  說是「正在等待一個適當的時機，
0x000F1A  將她移交給眺望萬物的尖塔」也不為過吧？
0x000F42  是的。
0x000F4A  但那也許是在他們回到安蒂米昂的那一天……
0x000F74  …………
0x000F7E  希望各位轉達他們：
0x000F92  「在他們沒有進一步合作的情況下，
0x000FB4  賢者圓桌是不會釋放所扣押的犯人─
0x000FD6  傑萊特•羅弗利的。」
0x000FEC  …………
0x000FF6  …………
0x001000  那麼，如果純潔之盾拒絕了我們的要求的話，
0x00102A  要怎麼處理呢？
0x00103A  ……那就只有討伐他們一途了。
0x001058  …………
0x001062  ……！！
0x00106C  這件事由我們全權負責。
0x001084  終於，四大學級之一的葛斯貝布洛呀。
0x0010A8  你們向賢者圓桌表現忠義的時候到了。
0x0010CC  …………
0x0010D6  是……！！
0x0010E2  終於要開始忙起來了，
0x0010F8  剛好我的傷也恢復了，
0x00110E  正是想要舒展一下筋骨的時候……！
0x001130  你剛剛聽見了吧？
0x001142  這是要命令他們拋棄自己曾經救過的人……
0x00116A  否則就不會釋放他們的朋友耶！！
0x00118A  ……殿下。
0x001196  如果不乖乖聽話的話，就要攻擊他們？
0x0011BA  真是莫名奇妙……！
0x0011CE  …………
0x0011D8  那些傢伙已經攻下了聖瑟維艾斯，
0x0011F8  居然還不滿足……
0x00120A  還得寸進尺地想要攻打純潔之盾！？
0x00122C  這樣是不可以的。
0x00123E  有賢者圓桌在背後支持的帕蘭達因，
0x001260  現在已經成為全學舍的中樞，
0x00127C  以道義為生存原則的我們─葛斯貝布洛，
0x0012A2  是不可以對他們所說的話有任何懷疑的。
0x0012C8  難道你在害怕嗎，加德摩斯！！
0x0012E6  難道犯顏直諫在上位者的錯誤，
0x001304  就不是我們應該做的事情嗎！？
0x001322  殿下……！
0x00132E  夠了，你退下吧！
0x001340  莫名其妙……
0x00134E  這……難道這就是愛爾梅納斯的真面目嗎？
0x001376  看來您心情非常地不好呢。
0x001390  你這傢伙，紐•普勞迪斯……！
0x0013AE  我是來給你忠告的，請你稍微冷靜一下吧。
0x0013D6  ……為什麼？
0x0013E4  為什麼帕蘭達因要把事情做到這麼絕！？
0x00140A  回答我！紐！
0x001418  只要純潔之盾願意把聖瑟維艾斯的法娜•修貝
0x001442  流士交給你們，
0x001452  這一切不就沒問題了嗎。
0x00146A  我真不懂你為什麼會生氣耶。
0x001486  就算只多一兩個也好，同伴也是越多越好呀！
0x0014B0  其他的處理方式還很多，不是嗎！？
0x0014D2  同伴？
0x0014DA  哈，你是認真地這麼說嗎？
0x0014F4  希里鄔司•謬斯。
0x001506  看來你在葛斯貝布洛裡過的日子，
0x001526  都是白活的了。
0x001536  你說什麼！？
0x001544  聖瑟維艾斯召喚了混沌。
0x00155C  這可是當事人自己也已經默認的了。
0x00157E  而純潔之盾也跟他們是一丘之貉，
0x00159E  這也是幾乎可以確定的事情。
0x0015BA  你這傢伙……
0x0015C8  而那些被奈比洛斯曾經教導過的人們也是，
0x0015F0  跟她過從甚密的人們也是。
0x00160A  在長歪了的枝芽開出醜惡的花朵以前，
0x00162E  把它給修剪掉，
0x00163E  這不是理所當然的事情嗎。
0x001658  你將四大學級之首的聖瑟維艾斯，
0x001678  稱做是長歪了的枝芽！？
0x001690  他們已經不是四大學級之首了。
0x0016AE  嗯！？
0x0016B6  侵蝕著愛爾梅納斯的混沌，不能不消除。
0x0016DC  然而聖瑟維艾斯卻拒絕交出十二王杯。
0x001700  …………
0x00170A  既然那黑闇要庇護混沌的話，
0x001726  那麼除了將他們一起連根拔起之外，
0x001748  還有什麼其他的辦法呢？
0x001760  ……這就是帕蘭達因的想法嗎？
0x00177E  還是說這也是賢者圓桌的決定呢！？
0x0017A0  ……請注意一下你是用什麼態度在跟誰說話。
0x0017CA  就算只有一點點危險的舉動也好，
0x0017EA  就算你們是為義而生的葛斯貝布洛也好，
0x001810  我們也不會有絲毫寬恕的。
0x00182A  ∼∼！！
0x001834  你只要做好你應該做的事情就可以了。
0x001858  …………
0x001862  希望以後還有機會見面，希里鄔司•謬斯。
0x00188A  那麼，就再見了。
0x00189C  ……！！！
