0x001282  《三年前的那一天。
0x001296  　我在猛烈的暴風雪中立下誓言。
0x0012B6  　把自己的肌膚切開，
0x0012CC  　讓那永久的凍土染上鮮紅的血色。
0x0012EE  　要向那奪走了父母生命的惡魔復仇。》
0x001314  《要向那奪走了雅斯斐斯的朋友，
0x001334  　以及故鄉的一切的惡魔復仇。
0x001352  　要消滅那些披著人皮的惡魔。
0x001370  　那些用地獄的火焰，把我所愛的一切都燒成
0x00139A  　灰燼的─貝爾鐸可勞的魔法師呀。》
0x0013BE  《要讓你們的親朋好友、甚至子子孫孫，
0x0013E4  　都毫釐不差地感受到我所體驗的地獄。
0x00140A  　無論是所愛的事物，
0x001420  　或是愛護我的人們，全部都被奪走了的我，
0x00144A  　要化身為殘酷的修羅而復仇。》
0x00146A  《曾經立下了這樣誓願的我……
0x001488  　真的有辦法完成它嗎？》
0x0014A2  《我對於復仇的覺悟，絕對毫無虛假。
0x0014C6  　然而，在這無法一一計算的日子裡，
0x0014EA  　我的心漸漸地被混沌與黑闇所侵蝕，
0x00150E  　這情況我也十分瞭解。》
0x001528  《如果不能保持神志清醒的話，
0x001546  　就連是否已經如願復仇了，
0x001562  　我都無法感受到。
0x001576  　如果不能保持神志清醒的話，　
0x001596  　就連自己都會失去了吧。》
0x0015B2  …………
0x0015BC  夏朧……！
0x0015C8  已經恢復了嗎？
0x0015D8  身體沒問題吧？
0x0015E8  妳……真了不起。
0x0015FA  ……咦？
0x001604  我……
0x00160C  我到底應不應該待在這裡……
0x001628  就連這樣的事情也讓我感到不安。
0x001648  欸，啊！
0x001652  抱歉，妳現在應該是想一個人靜一靜吧……
0x00167A  不，不是這樣的……！
0x001690  在這大地的邊緣，
0x0016A2  雖然有一種終於已經不用再漂泊的感覺……
0x0016CA  然而，
0x0016D2  我終究再過沒多久就得收拾行李離開了吧。
0x0016FA  別擔心呀！
0x001706  這裡的大家都是好人呀！
0x00171E  在夏朧還在睡的時候，法娜已經說了唷。
0x001744  …………
0x00174E  嗯，她已經很認真地說，
0x001766  要讓妳一起留下來了唷！！
0x001780  我聽說了。
0x00178C  那！？
0x001794  我很開心。
0x0017A0  真的。
0x0017B0  但是，這個溫暖的地方，
0x0017C8  說不定會因為我而遭到破壞啊。
0x0017E6  所以，我沒有可以待在這裡的資格。
0x001808  …………
0x001812  所以，那個……
0x001822  就連妳對我這麼地溫柔，
0x00183A  都反而讓我很害怕。
0x00184E  呼∼∼∼！！！
0x00185E  抱歉。
0x001866  我啊！！！
0x001872  對我年紀小時候的事情，都沒有什麼印象了。
0x00189C  …………
0x0018A6  但是，真的很神奇。
0x0018BA  我可以記得很清楚，爺爺的手給我的感覺。
0x0018E2  雖然那上面有很多的縐紋，
0x0018FC  也佈滿了各種傷痕……
0x001912  嗯嗯，但是還是很溫暖。
0x00192A  被爺爺摸著頭而睡去的事情，
0x001946  我也記得很清楚。
0x001958  …………
0x001962  然後，在爺爺去世了之後才知道，
0x001982  原來他曾經是一個賢者。
0x00199A  …………
0x0019A4  給了我這麼美好回憶的爺爺，
0x0019C0  過去都在追求著些什麼事情呢？
0x0019DE  我只是想知道這件事情。
0x0019F6  所以呢，我就來到了這裡。
0x001A10  凱洛特……
0x001A1C  真的很奇怪呢。
0x001A2C  明明就連他的臉都已經回想不起來了，
0x001A50  這樣還能確定我跟他見過面嗎？
0x001A6E  這，哪會啊，一點也不奇怪呀……
0x001A8E  謝謝！
0x001A96  就是因為∼∼∼這樣咧，所以……
0x001AB6  沒錯，我要在這裡當一個賢者！
0x001AD4  ……………………
0x001AE6  如果這樣的想法……
0x001AFA  夏朧妳也有的話。
0x001B0C  就一定沒問題的，嗯！
0x001B22  …………
0x001B2C  要一起加油嗎？
0x001B3C  …………
0x001B46  我……
0x001B54  我，我……
0x001B60  我會來到這裡，是因為……
0x001B7A  要說這種事情的話就ＳＴＯＰ∼∼∼！
0x001B9E  凱洛……
0x001BA8  就算不說也沒關係。
0x001BBC  妳的心情，我也稍微可以瞭解……
0x001BDC  爺爺以前是這樣的……
0x001BF2  我應該也是這樣的吧，我有這個信心。
0x001C16  …………
0x001C20  一起好好加油吧！！！
0x001C36  我們兩個都是自己一個人努力來到這裡的！
0x001C5E  然後呢，我們兩個，
0x001C72  就在這裡繼續一起努力吧！！
0x001C8E  所以呢，這真是令人興奮不是嗎！！
0x001CB0  …………
0x001CBA  對吧！？
0x001CC4  我們也可以嗎……
0x001CD6  那個……
0x001CE0  嗯？？？
0x001CEA  變、變成朋友……
0x001CFC  當然，當然可以！！
0x001D10  我本來就已經這麼想了！！
0x001D2A  …………
0x001D34  我是凱洛特•溫菲！！
0x001D4A  我是從那充滿了栗色榛木的答哈忒瑪森林而來
0x001D74  ，為了成為賢者而勇往直前！
0x001D90  ……呵呵。
0x001D9C  我是夏朧•佛洛斯蘋。
0x001DB2  從那遙遠的北壁─雅斯斐斯的彼端而來，
0x001DD8  最後漂流到這世界邊緣的聖域。
0x001DF6  然後這樣地，與妳相遇。
0x001E0E  …………
0x001E18  謝謝妳。
0x001E22  能夠認識凱洛特真的是太好了。
0x001E40  啊，終於笑了！！
0x001E52  請多多指教，夏朧。
0x001E66  請多多指教，凱洛特。
0x001E7C  加油吧。
0x001E86  在成為賢者之前，一起努力。
0x001EA2  嗯！！
0x001EAA  《在這裡的話，也許辦得到吧。
0x001EC8  　我想要一心一意地學習，
0x001EE2  　然後讓自己的意志更加堅定。
0x001F00  　在這……世界邊緣的聖域裡……》
0x001F22  凱洛特、夏朧。
0x001F32  你們兩個打算怎麼樣呢？
0x001F4A  在這裡求學的話，就可以變成賢者對吧！？
0x001F72  只要妳一心一意地去努力的話。
0x001F90  總有一天會成功的。
0x001FA4  …………
0x001FAE  …………
0x001FB8  我想測驗你們兩個的能力看看，
0x001FD6  好嗎？
0x001FDE  好！！！
0x001FE8  好！！！
0x001FF2  您要給他們做測驗嗎？
0x002008  雖然能靠自己的力量到達這裡，就表示她們的
0x002032  能力已經很足夠了。但無論如何，也得確定一
0x00205C  下呀。如果她們加入了之後，會拖累我們的話
0x002086  ，那可不行。或者，如果她們的能力對我們來
0x0020B0  說並不必要的話，就給她們不及格吧。
0x0020D4  唉呀唉呀，這還真是……
0x0020EC  您的個性還真是一絲不茍呀。
0x002108  不過，收留她們不是也很好嗎？
0x002126  無論是哪一位也好，都是現在的伊諾森提雅，
0x002150  所沒有的重要存在呀。
